,Legislative,DEM,OTH,REP,UNA
0,01A,0.18220263532763534,0.011618589743589744,0.6819800569800569,0.12419871794871795
1,01B,0.2713910998552822,0.014652677279305354,0.5533646888567294,0.16059153400868306
2,01C,0.21543050485264,0.01170866352061259,0.6095628172023863,0.16329801442436115
3,02A,0.2736102236421725,0.013567625133120341,0.516762513312034,0.19605963791267306
4,02B,0.43577330234959977,0.017686547895688097,0.3368190033565711,0.209721146398141
5,03,0.5024360169618959,0.013322907581726865,0.24940603290126612,0.23483504255511112
6,04,0.3297243367082995,0.011368955238587934,0.4311211292587392,0.22778557879437342
7,05,0.2698063324605012,0.014749598370713319,0.5111760464498502,0.2042680227189354
8,06,0.4121305466739453,0.016591281291429463,0.38873508539343365,0.18254308664119162
9,07A,0.39399647815225847,0.013944059953315041,0.4105614480527458,0.18149801384168066
10,07B,0.27544228099526574,0.014843555334068986,0.5185989392375325,0.1911152244331328
11,08,0.5575574873808189,0.016369882220975882,0.24659983174425126,0.17947279865395402
12,09A,0.4245857255323643,0.011194531385011234,0.31191075097448107,0.2523089921081434
13,09B,0.5214900966289188,0.011280661099208604,0.2174369288618775,0.2497923134099952
14,10,0.684206341634068,0.01265782527112553,0.14836370575326782,0.15477212734153867
15,11A,0.6964935327405012,0.01318714632174616,0.12712206952303962,0.163197251414713
16,11B,0.5728051391862955,0.01197931396711244,0.24966668013413598,0.16554886671245606
17,12A,0.5835012987012987,0.013111688311688312,0.1796987012987013,0.2236883116883117
18,12B,0.48639132621695635,0.017157547644330185,0.29184597328564243,0.20460515285307104
19,13,0.5831842576028623,0.012753188297074268,0.17368284378787005,0.23037971031219343
20,14,0.5836663795173066,0.011184702941633363,0.1958311561763003,0.2093177613647597
21,15,0.5508025849489264,0.012076992564797443,0.17654089361406436,0.2605795288722118
22,16,0.6367112309968704,0.008550589899042805,0.13319540651311396,0.22154277259097277
23,17,0.6126139665364192,0.012991350232107672,0.13816250876665664,0.23623217446481648
24,18,0.6718760059228739,0.010831777505955063,0.11942316358720144,0.19786905298396962
25,19,0.6171883874527369,0.01137562273826331,0.1608165782256625,0.21061941158333738
26,20,0.7412098365276212,0.01032271702367531,0.07713852874859076,0.17132891770011274
27,21,0.642516000541408,0.015410793356149815,0.14676025291490225,0.19531295318753988
28,22,0.7540847350117019,0.014807847940681117,0.07257376583039873,0.1585336512172182
29,23,0.7557024313663409,0.012572393504043482,0.08836295035685544,0.14336222477276025
