age_bracket,Legislative,Party,Count,voted_2024
65+,38C,OTH,99,73
65+,38C,REP,3478,2948
65+,38C,UNA,1091,848
65+,39,DEM,4054,3113
65+,39,OTH,111,76
65+,39,REP,1808,1335
65+,39,UNA,1840,1221
65+,40,DEM,6429,3460
65+,40,OTH,70,33
65+,40,REP,587,291
65+,40,UNA,675,293
65+,41,DEM,7824,5345
65+,41,OTH,72,36
65+,41,REP,881,581
65+,41,UNA,858,459
65+,42A,DEM,1754,1557
65+,42A,OTH,79,67
65+,42A,REP,2416,2161
65+,42A,UNA,816,686
65+,42B,DEM,1469,1268
65+,42B,OTH,46,33
65+,42B,REP,1260,1093
65+,42B,UNA,564,431
65+,42C,DEM,1017,861
65+,42C,OTH,50,43
65+,42C,REP,2467,2212
65+,42C,UNA,569,468
65+,43A,DEM,4868,3292
65+,43A,OTH,55,28
65+,43A,REP,365,205
65+,43A,UNA,509,280
65+,43B,DEM,1412,1209
65+,43B,OTH,24,16
65+,43B,REP,605,516
65+,43B,UNA,338,263
65+,44A,DEM,1363,1088
65+,44A,OTH,36,23
65+,44A,REP,948,761
65+,44A,UNA,408,284
65+,44B,DEM,4500,3622
65+,44B,OTH,85,52
65+,44B,REP,1102,863
65+,44B,UNA,738,503
65+,45,DEM,6195,3793
65+,45,OTH,71,33
65+,45,REP,758,458
65+,45,UNA,669,332
65+,46,DEM,3852,2291
65+,46,OTH,56,29
65+,46,REP,893,524
65+,46,UNA,739,349
65+,47A,DEM,3728,2287
65+,47A,OTH,139,46
65+,47A,REP,326,198
65+,47A,UNA,440,236
65+,47B,DEM,1096,674
65+,47B,OTH,65,23
65+,47B,REP,158,95
65+,47B,UNA,178,89
