,Unnamed: 0,County,DEM,OTH,REP,UNA
0,0,Allegany,24.73091364205256,1.32978723404255,58.37609511889862,15.56320400500625
1,1,Anne Arundel,43.09403675554765,1.3541852011895898,33.525139167789334,22.02663887547342
2,2,Baltimore City,79.75012225573737,1.19442773495821,6.6740813509150705,12.38136865838934
3,3,Baltimore County,54.83589871618831,1.40960026117933,26.6270896747741,17.127411347858228
4,4,Calvert,33.93206994415453,1.4574750526412101,44.28636821386066,20.32408678934358
5,5,Caroline,25.72261355355841,1.30556230264755,55.6655331552101,17.30629098858392
6,6,Carroll,25.943195860364536,1.4529270929873301,52.673192771084345,19.930684275563788
7,7,Cecil,25.134163104675462,1.52522266367898,54.82893027284539,18.511683958800152
8,8,Charles,62.079494264242626,1.09662090245449,20.27243503596271,16.55144979734015
9,9,Dorchester,37.80279365827783,1.1964401485236,47.03247480403135,13.9682913891672
10,10,Frederick,39.74772009487449,1.2265191968645701,36.07133344325922,22.95442726500171
11,11,Garrett,16.6802584530456,1.21698764192961,70.60410262844238,11.49865127658239
12,12,Harford,32.95743810918107,1.4811590762209998,45.83613606088184,19.72526675371608
13,13,Howard,53.641275397610535,1.2213682368160699,21.45737984715231,23.679976518421082
14,14,Kent,40.479170391560885,1.23368496334704,41.73073484713034,16.55640979796173
15,15,Montgomery,62.05685803809619,1.14284732903087,14.83106315905977,21.96923147381316
16,16,Prince George's,78.96464317412395,1.2757566891790502,6.44270650220411,13.31689363449288
17,17,Queen Anne's,26.86831652917812,1.3382218148487601,53.278337916284755,18.51512373968836
18,18,Saint Mary's,31.56450445293692,1.45962053233219,46.83412178656206,20.14175322816882
19,19,Somerset,34.496671373814806,1.36171071212426,50.817026427274556,13.32459148678636
20,20,Talbot,37.3240048670259,1.238484269077,43.516426212410906,17.92108465148618
21,21,Washington,29.98916723087339,1.40690589031821,49.52742044685173,19.07650643195667
22,22,Wicomico,38.1025871862474,1.4447088075793602,42.4088483055752,18.04385570059803
23,23,Worcester,30.873133650322536,1.5778794027680998,49.913686059541476,17.63530088736788
