,age_bracket,Gender,Legislative,Party,Count,voted_2024,voted_2020,voted_2016
1046,25-34,Male,33A,REP,615,374,300,194
1047,25-34,Male,33A,UNA,1022,522,344,202
1048,25-34,Male,33B,DEM,752,460,492,303
1049,25-34,Male,33B,OTH,67,27,43,21
1050,25-34,Male,33B,REP,821,542,504,340
1051,25-34,Male,33B,UNA,742,370,340,198
1052,25-34,Male,33C,DEM,712,446,455,293
1053,25-34,Male,33C,OTH,59,26,33,21
1054,25-34,Male,33C,REP,813,501,463,328
1055,25-34,Male,33C,UNA,754,374,347,198
1056,25-34,Male,34A,DEM,2104,999,1083,683
1057,25-34,Male,34A,OTH,219,91,68,53
1058,25-34,Male,34A,REP,1353,799,638,475
1059,25-34,Male,34A,UNA,1915,819,646,409
1060,25-34,Male,34B,DEM,769,495,471,322
1061,25-34,Male,34B,OTH,97,52,38,26
1062,25-34,Male,34B,REP,1144,791,712,528
1063,25-34,Male,34B,UNA,894,441,404,222
1064,25-34,Male,35A,DEM,907,554,568,367
1065,25-34,Male,35A,OTH,169,91,89,66
1066,25-34,Male,35A,REP,2495,1766,1636,1151
1067,25-34,Male,35A,UNA,1420,731,674,423
1068,25-34,Male,35B,DEM,495,226,213,148
1069,25-34,Male,35B,OTH,96,43,32,23
1070,25-34,Male,35B,REP,1346,899,717,468
1071,25-34,Male,35B,UNA,839,344,247,175
1072,25-34,Male,36,DEM,1202,555,532,317
1073,25-34,Male,36,OTH,171,83,78,48
1074,25-34,Male,36,REP,2323,1576,1264,882
1075,25-34,Male,36,UNA,1612,687,505,308
1076,25-34,Male,37A,DEM,994,316,333,228
1077,25-34,Male,37A,OTH,90,26,18,12
1078,25-34,Male,37A,REP,569,325,251,179
1079,25-34,Male,37A,UNA,715,216,190,98
1080,25-34,Male,37B,DEM,1082,515,563,336
1081,25-34,Male,37B,OTH,129,62,60,44
1082,25-34,Male,37B,REP,2072,1366,1247,883
1083,25-34,Male,37B,UNA,1291,530,471,295
1084,25-34,Male,38A,DEM,660,272,286,202
1085,25-34,Male,38A,OTH,66,25,19,17
1086,25-34,Male,38A,REP,918,560,522,366
1087,25-34,Male,38A,UNA,637,220,216,146
1088,25-34,Male,38B,DEM,796,352,384,252
1089,25-34,Male,38B,OTH,97,37,39,26
1090,25-34,Male,38B,REP,679,385,317,248
1091,25-34,Male,38B,UNA,872,334,274,149
1092,25-34,Male,38C,DEM,437,200,216,138
1093,25-34,Male,38C,OTH,80,31,29,19
1094,25-34,Male,38C,REP,1143,715,655,445
1095,25-34,Male,38C,UNA,747,292,275,137
1096,25-34,Male,39,DEM,3668,1937,2097,1287
1097,25-34,Male,39,OTH,185,75,83,43
1098,25-34,Male,39,REP,945,531,437,280
1099,25-34,Male,39,UNA,2378,1057,978,552
1100,25-34,Male,40,DEM,5292,2150,1972,1506
1101,25-34,Male,40,OTH,239,63,54,34
1102,25-34,Male,40,REP,491,171,140,99
1103,25-34,Male,40,UNA,1953,639,517,341
1104,25-34,Male,41,DEM,4560,1763,1899,1415
1105,25-34,Male,41,OTH,172,36,34,34
1106,25-34,Male,41,REP,641,280,210,128
1107,25-34,Male,41,UNA,1620,497,440,331
1108,25-34,Male,42A,DEM,491,297,336,204
1109,25-34,Male,42A,OTH,63,24,34,25
1110,25-34,Male,42A,REP,895,568,578,392
1111,25-34,Male,42A,UNA,552,283,293,163
1112,25-34,Male,42B,DEM,1014,568,553,355
1113,25-34,Male,42B,OTH,64,36,26,19
1114,25-34,Male,42B,REP,546,314,277,201
1115,25-34,Male,42B,UNA,637,316,282,173
1116,25-34,Male,42C,DEM,460,273,277,191
1117,25-34,Male,42C,OTH,73,37,31,27
1118,25-34,Male,42C,REP,1268,842,811,589
1119,25-34,Male,42C,UNA,730,362,331,238
1120,25-34,Male,43A,DEM,3421,1484,1512,1105
1121,25-34,Male,43A,OTH,132,44,35,28
1122,25-34,Male,43A,REP,254,82,75,59
1123,25-34,Male,43A,UNA,1112,348,309,241
1124,25-34,Male,43B,DEM,1017,586,565,371
1125,25-34,Male,43B,OTH,46,18,20,11
1126,25-34,Male,43B,REP,360,216,198,124
1127,25-34,Male,43B,UNA,579,257,215,134
1128,25-34,Male,44A,DEM,989,523,517,337
1129,25-34,Male,44A,OTH,101,30,37,26
1130,25-34,Male,44A,REP,490,286,245,153
1131,25-34,Male,44A,UNA,745,312,266,168
1132,25-34,Male,44B,DEM,2734,1387,1493,1092
1133,25-34,Male,44B,OTH,151,53,54,35
1134,25-34,Male,44B,REP,664,383,327,246
1135,25-34,Male,44B,UNA,1271,506,501,344
1136,25-34,Male,45,DEM,4790,1631,1701,1406
1137,25-34,Male,45,OTH,230,51,49,33
1138,25-34,Male,45,REP,478,165,119,80
1139,25-34,Male,45,UNA,1700,470,451,326
1140,25-34,Male,46,DEM,6517,3963,3097,1773
1141,25-34,Male,46,OTH,274,105,91,49
1142,25-34,Male,46,REP,1830,1051,839,486
1143,25-34,Male,46,UNA,3421,1685,1173,544
1144,25-34,Male,47A,DEM,2793,1144,1184,811
1145,25-34,Male,47A,OTH,129,27,24,10
1146,25-34,Male,47A,REP,336,136,99,63
1147,25-34,Male,47A,UNA,1126,368,320,206
1148,25-34,Male,47B,DEM,853,361,398,240
1149,25-34,Male,47B,OTH,43,13,11,11
1150,25-34,Male,47B,REP,125,58,43,24
1151,25-34,Male,47B,UNA,441,142,123,65
1152,35-50,Female,36,DEM,1062,795,782,683
1153,35-50,Female,36,OTH,49,31,30,21
1154,35-50,Female,36,REP,1621,1337,1275,1120
1155,35-50,Female,36,UNA,925,634,565,448
1156,35-50,Female,01A,DEM,644,434,384,343
1157,35-50,Female,01A,OTH,68,36,26,21
1158,35-50,Female,01A,REP,2025,1530,1484,1272
1159,35-50,Female,01A,UNA,741,376,316,262
1160,35-50,Female,01B,DEM,1142,725,669,621
1161,35-50,Female,01B,OTH,92,32,37,27
1162,35-50,Female,01B,REP,1594,1120,1016,927
1163,35-50,Female,01B,UNA,1016,517,412,353
1164,35-50,Female,01C,DEM,868,574,536,498
1165,35-50,Female,01C,OTH,92,37,30,37
1166,35-50,Female,01C,REP,1748,1315,1222,1097
1167,35-50,Female,01C,UNA,1004,556,447,416
1168,35-50,Female,02A,DEM,2280,1698,1547,1341
1169,35-50,Female,02A,OTH,159,91,81,66
1170,35-50,Female,02A,REP,3156,2525,2214,2029
1171,35-50,Female,02A,UNA,2173,1375,1158,1021
1172,35-50,Female,02B,DEM,1825,1115,1012,887
1173,35-50,Female,02B,OTH,130,51,45,48
1174,35-50,Female,02B,REP,883,547,460,451
1175,35-50,Female,02B,UNA,1257,562,471,406
1176,35-50,Female,03,DEM,7638,5896,5462,4527
1177,35-50,Female,03,OTH,237,126,104,82
1178,35-50,Female,03,REP,2457,1765,1610,1331
1179,35-50,Female,03,UNA,3961,2542,2121,1659
1180,35-50,Female,04,DEM,5766,4769,4424,3754
1181,35-50,Female,04,OTH,221,144,120,106
1182,35-50,Female,04,REP,4773,3942,3687,3287
1183,35-50,Female,04,UNA,4223,2980,2596,2074
1184,35-50,Female,05,DEM,4176,3411,3276,2852
1185,35-50,Female,05,OTH,242,154,143,124
1186,35-50,Female,05,REP,5277,4392,4238,3792
1187,35-50,Female,05,UNA,3720,2587,2379,1991
1188,35-50,Female,06,DEM,5471,3307,3156,3160
1189,35-50,Female,06,OTH,329,122,115,105
1190,35-50,Female,06,REP,2950,2154,1934,1746
1191,35-50,Female,06,UNA,3141,1547,1373,1226
1192,35-50,Female,07A,DEM,3995,3102,2965,2679
1193,35-50,Female,07A,OTH,179,101,87,85
1194,35-50,Female,07A,REP,2461,1972,1833,1676
1195,35-50,Female,07A,UNA,2138,1380,1262,1087
1196,35-50,Female,07B,DEM,1525,1213,1197,1036
1197,35-50,Female,07B,OTH,82,54,44,37
1198,35-50,Female,07B,REP,1990,1675,1612,1446
1199,35-50,Female,07B,UNA,1188,824,762,638
1200,35-50,Female,08,DEM,8099,5723,5480,5260
1201,35-50,Female,08,OTH,328,180,159,155
1202,35-50,Female,08,REP,1940,1347,1240,1147
1203,35-50,Female,08,UNA,2986,1647,1464,1326
1204,35-50,Female,09A,DEM,4484,3700,3455,2822
1205,35-50,Female,09A,OTH,130,73,73,55
1206,35-50,Female,09A,REP,2040,1649,1527,1256
1207,35-50,Female,09A,UNA,2747,2022,1789,1257
1208,35-50,Female,09B,DEM,2326,1877,1749,1447
1209,35-50,Female,09B,OTH,53,31,20,20
1210,35-50,Female,09B,REP,541,421,361,290
1211,35-50,Female,09B,UNA,1187,851,711,507
1212,35-50,Female,10,DEM,8732,6455,6499,6059
1213,35-50,Female,10,OTH,251,121,117,104
1214,35-50,Female,10,REP,1232,881,811,724
1215,35-50,Female,10,UNA,2268,1360,1300,1085
1216,35-50,Female,11A,DEM,3003,2251,2217,1976
1217,35-50,Female,11A,OTH,77,46,32,27
1218,35-50,Female,11A,REP,372,249,226,214
1219,35-50,Female,11A,UNA,781,511,461,376
1220,35-50,Female,11B,DEM,4730,3688,3569,3154
1221,35-50,Female,11B,OTH,105,60,50,47
1222,35-50,Female,11B,REP,1510,1166,1041,892
1223,35-50,Female,11B,UNA,1749,1151,1012,789
1224,35-50,Female,12A,DEM,5975,4779,4540,3897
1225,35-50,Female,12A,OTH,166,88,80,67
1226,35-50,Female,12A,REP,1157,860,793,657
1227,35-50,Female,12A,UNA,2375,1626,1447,1094
1228,35-50,Female,12B,DEM,2145,1485,1467,1312
1229,35-50,Female,12B,OTH,102,45,48,35
1230,35-50,Female,12B,REP,820,552,502,449
1231,35-50,Female,12B,UNA,1185,612,545,445
1232,35-50,Female,13,DEM,9193,7416,6998,5984
1233,35-50,Female,13,OTH,240,127,115,86
1234,35-50,Female,13,REP,1713,1289,1173,954
1235,35-50,Female,13,UNA,3548,2447,2198,1646
1236,35-50,Female,14,DEM,7771,6123,5900,4910
1237,35-50,Female,14,OTH,188,91,91,74
1238,35-50,Female,14,REP,1672,1239,1138,933
1239,35-50,Female,14,UNA,2992,1960,1818,1346
1240,35-50,Female,15,DEM,7944,6311,5687,4523
1241,35-50,Female,15,OTH,201,117,96,66
1242,35-50,Female,15,REP,1735,1255,1109,825
1243,35-50,Female,15,UNA,3875,2643,2267,1556
1244,35-50,Female,16,DEM,8034,6561,5260,3806
1245,35-50,Female,16,OTH,119,75,65,37
1246,35-50,Female,16,REP,1290,925,790,590
1247,35-50,Female,16,UNA,3129,2253,1711,1119
1248,35-50,Female,17,DEM,7164,5628,5091,3989
1249,35-50,Female,17,OTH,212,118,91,78
1250,35-50,Female,17,REP,1079,742,643,475
1251,35-50,Female,17,UNA,2970,1912,1570,1115
1252,35-50,Female,18,DEM,8235,6742,5837,4450
1253,35-50,Female,18,OTH,160,86,71,50
1254,35-50,Female,18,REP,986,712,608,447
1255,35-50,Female,18,UNA,2508,1699,1408,1006
1256,35-50,Female,19,DEM,6536,5120,4793,3863
1257,35-50,Female,19,OTH,151,77,67,59
1258,35-50,Female,19,REP,1214,861,754,558
1259,35-50,Female,19,UNA,2484,1584,1381,1003
1260,35-50,Female,20,DEM,9121,7110,6221,4604
1261,35-50,Female,20,OTH,191,90,75,49
1262,35-50,Female,20,REP,775,516,400,263
1263,35-50,Female,20,UNA,2224,1349,1113,769
1264,35-50,Female,21,DEM,7470,5097,4969,4181
1265,35-50,Female,21,OTH,331,111,93,68
1266,35-50,Female,21,REP,1159,724,641,507
1267,35-50,Female,21,UNA,2574,1438,1307,1022
1268,35-50,Female,22,DEM,8256,5480,5259,4335
1269,35-50,Female,22,OTH,256,80,71,56
1270,35-50,Female,22,REP,601,321,277,192
1271,35-50,Female,22,UNA,2162,1138,1064,778
1272,35-50,Female,23,DEM,11768,8818,8690,7567
1273,35-50,Female,23,OTH,306,105,94,84
1274,35-50,Female,23,REP,1015,614,554,482
1275,35-50,Female,23,UNA,2743,1653,1562,1300
1276,35-50,Female,24,DEM,11073,7203,7112,6262
1277,35-50,Female,24,OTH,377,115,116,90
1278,35-50,Female,24,REP,541,278,244,195
1279,35-50,Female,24,UNA,2219,1149,1108,850
1280,35-50,Female,25,DEM,12463,8395,8318,7361
1281,35-50,Female,25,OTH,351,115,108,98
1282,35-50,Female,25,REP,505,232,206,174
1283,35-50,Female,25,UNA,2290,1186,1115,915
1284,35-50,Female,26,DEM,10300,6544,6501,5644
1285,35-50,Female,26,OTH,342,103,96,75
1286,35-50,Female,26,REP,578,278,232,174
1287,35-50,Female,26,UNA,2269,1124,1031,786
1288,35-50,Female,27A,DEM,4053,3115,3035,2663
1289,35-50,Female,27A,OTH,88,35,37,31
1290,35-50,Female,27A,REP,424,289,264,217
1291,35-50,Female,27A,UNA,1024,608,548,444
1292,35-50,Female,27B,DEM,2880,2247,2082,1850
1293,35-50,Female,27B,OTH,101,52,45,36
1294,35-50,Female,27B,REP,1085,821,676,629
1295,35-50,Female,27B,UNA,1231,788,625,504
1296,35-50,Female,27C,DEM,1584,1227,1123,1033
1297,35-50,Female,27C,OTH,88,59,49,39
1298,35-50,Female,27C,REP,1866,1562,1319,1218
1299,35-50,Female,27C,UNA,1309,931,710,599
1300,35-50,Female,28,DEM,10519,8365,7924,6903
1301,35-50,Female,28,OTH,263,148,130,94
1302,35-50,Female,28,REP,2188,1636,1485,1265
1303,35-50,Female,28,UNA,3333,2123,1842,1517
1304,35-50,Female,29A,DEM,1243,916,854,762
1305,35-50,Female,29A,OTH,71,44,25,22
1306,35-50,Female,29A,REP,2082,1719,1553,1390
1307,35-50,Female,29A,UNA,1135,761,633,529
1308,35-50,Female,29B,DEM,1864,1334,1289,1082
1309,35-50,Female,29B,OTH,99,53,51,39
1310,35-50,Female,29B,REP,1045,776,703,575
1311,35-50,Female,29B,UNA,1157,674,580,450
1312,35-50,Female,29C,DEM,1548,1173,1077,980
1313,35-50,Female,29C,OTH,92,51,44,43
1314,35-50,Female,29C,REP,1693,1362,1169,1068
1315,35-50,Female,29C,UNA,1275,850,654,548
1316,35-50,Female,30A,DEM,3753,2894,2687,2237
1317,35-50,Female,30A,OTH,117,59,49,38
1318,35-50,Female,30A,REP,1596,1182,1094,922
1319,35-50,Female,30A,UNA,1807,1151,1012,790
1320,35-50,Female,30B,DEM,1428,1124,1062,870
1321,35-50,Female,30B,OTH,76,46,40,35
1322,35-50,Female,30B,REP,1425,1156,1073,936
1323,35-50,Female,30B,UNA,1115,757,666,527
1324,35-50,Female,31,DEM,5726,4509,4297,3633
1325,35-50,Female,31,OTH,269,163,138,107
1326,35-50,Female,31,REP,4745,3790,3533,3082
1327,35-50,Female,31,UNA,4017,2661,2394,1856
1328,35-50,Female,32,DEM,7679,5647,5427,4618
1329,35-50,Female,32,OTH,261,135,107,88
1330,35-50,Female,32,REP,2095,1447,1299,1097
1331,35-50,Female,32,UNA,3627,2077,1914,1453
1332,35-50,Female,33A,DEM,2757,2210,2084,1732
1333,35-50,Female,33A,OTH,83,49,41,35
1334,35-50,Female,33A,REP,832,614,585,487
1335,35-50,Female,33A,UNA,1349,894,790,599
1336,35-50,Female,33B,DEM,2157,1821,1703,1422
1337,35-50,Female,33B,OTH,72,48,44,34
1338,35-50,Female,33B,REP,1376,1102,1044,925
1339,35-50,Female,33B,UNA,1389,1011,907,697
1340,35-50,Female,33C,DEM,2250,1898,1776,1470
1341,35-50,Female,33C,OTH,89,57,52,50
1342,35-50,Female,33C,REP,1368,1089,1021,872
1343,35-50,Female,33C,UNA,1410,1033,921,733
1344,35-50,Female,34A,DEM,4717,3382,3275,2870
1345,35-50,Female,34A,OTH,236,103,100,85
1346,35-50,Female,34A,REP,1788,1329,1211,1045
1347,35-50,Female,34A,UNA,2397,1397,1246,1012
1348,35-50,Female,34B,DEM,1855,1497,1453,1280
1349,35-50,Female,34B,OTH,103,66,59,48
1350,35-50,Female,34B,REP,1615,1318,1210,1129
1351,35-50,Female,34B,UNA,1295,861,804,656
1352,35-50,Female,35A,DEM,2371,1963,1875,1642
1353,35-50,Female,35A,OTH,148,95,88,75
1354,35-50,Female,35A,REP,4145,3551,3392,3072
1355,35-50,Female,35A,UNA,2317,1642,1496,1218
1356,35-50,Female,35B,DEM,1040,706,611,523
1357,35-50,Female,35B,OTH,96,41,32,31
1358,35-50,Female,35B,REP,2231,1799,1529,1438
1359,35-50,Female,35B,UNA,1181,667,510,433
1360,35-50,Female,36,DEM,2674,1794,1573,1340
1361,35-50,Female,36,OTH,174,85,64,61
1362,35-50,Female,36,REP,3429,2724,2398,2107
1363,35-50,Female,36,UNA,2240,1277,1054,834
1364,35-50,Female,37A,DEM,2179,1255,1274,1229
1365,35-50,Female,37A,OTH,94,32,38,29
1366,35-50,Female,37A,REP,704,501,458,403
1367,35-50,Female,37A,UNA,871,388,362,341
1368,35-50,Female,37B,DEM,2522,1810,1727,1533
1369,35-50,Female,37B,OTH,134,73,69,58
1370,35-50,Female,37B,REP,3121,2549,2375,2130
1371,35-50,Female,37B,UNA,1947,1164,1035,827
1372,35-50,Female,38A,DEM,1667,1081,1077,948
1373,35-50,Female,38A,OTH,76,46,39,32
1374,35-50,Female,38A,REP,1423,1124,1059,932
1375,35-50,Female,38A,UNA,954,492,478,391
1376,35-50,Female,38B,DEM,1685,1126,1113,965
1377,35-50,Female,38B,OTH,93,31,36,24
1378,35-50,Female,38B,REP,900,664,599,514
1379,35-50,Female,38B,UNA,956,541,468,378
1380,35-50,Female,38C,DEM,979,691,663,559
1381,35-50,Female,38C,OTH,101,49,37,35
1382,35-50,Female,38C,REP,1594,1253,1178,1017
1383,35-50,Female,38C,UNA,1033,615,546,449
1384,35-50,Female,39,DEM,7071,5286,5081,4187
1385,35-50,Female,39,OTH,268,133,139,91
1386,35-50,Female,39,REP,1171,800,672,498
1387,35-50,Female,39,UNA,3056,1934,1654,1170
1388,35-50,Female,40,DEM,10633,5985,5890,5980
1389,35-50,Female,40,OTH,277,76,68,74
1390,35-50,Female,40,REP,606,218,198,201
1391,35-50,Female,40,UNA,2199,837,787,721
1392,35-50,Female,41,DEM,9626,6347,6292,6152
1393,35-50,Female,41,OTH,238,102,81,68
1394,35-50,Female,41,REP,726,378,328,290
1395,35-50,Female,41,UNA,1822,882,787,708
1396,35-50,Female,42A,DEM,1699,1432,1375,1195
1397,35-50,Female,42A,OTH,67,44,42,33
1398,35-50,Female,42A,REP,1600,1327,1292,1156
1399,35-50,Female,42A,UNA,1102,779,748,627
1400,35-50,Female,42B,DEM,2172,1717,1679,1444
1401,35-50,Female,42B,OTH,75,34,25,21
1402,35-50,Female,42B,REP,664,503,483,446
1403,35-50,Female,42B,UNA,855,545,508,418
1404,35-50,Female,42C,DEM,1122,905,859,786
1405,35-50,Female,42C,OTH,68,48,41,38
1406,35-50,Female,42C,REP,1918,1592,1487,1347
1407,35-50,Female,42C,UNA,1170,770,709,598
1408,35-50,Female,43A,DEM,7371,4910,4804,4676
1409,35-50,Female,43A,OTH,164,54,61,50
1410,35-50,Female,43A,REP,313,125,125,109
1411,35-50,Female,43A,UNA,1294,568,547,493
1412,35-50,Female,43B,DEM,2386,1958,1880,1657
1413,35-50,Female,43B,OTH,49,27,24,18
1414,35-50,Female,43B,REP,375,287,251,240
1415,35-50,Female,43B,UNA,649,430,373,315
1416,35-50,Female,44A,DEM,2119,1466,1488,1341
1417,35-50,Female,44A,OTH,96,47,35,27
1418,35-50,Female,44A,REP,675,483,413,333
1419,35-50,Female,44A,UNA,897,484,428,362
1420,35-50,Female,44B,DEM,5734,4264,4214,3927
1421,35-50,Female,44B,OTH,168,82,73,73
1422,35-50,Female,44B,REP,846,620,525,482
1423,35-50,Female,44B,UNA,1460,819,780,696
1424,35-50,Female,45,DEM,10694,6707,6640,6850
1425,35-50,Female,45,OTH,316,111,113,107
1426,35-50,Female,45,REP,603,267,248,238
1427,35-50,Female,45,UNA,1993,877,825,820
1428,35-50,Female,46,DEM,8769,5488,5127,4508
1429,35-50,Female,46,OTH,269,87,84,75
1430,35-50,Female,46,REP,1226,516,532,487
1431,35-50,Female,46,UNA,2712,1170,1056,778
1432,35-50,Female,47A,DEM,5015,3069,2904,2388
1433,35-50,Female,47A,OTH,195,61,55,50
1434,35-50,Female,47A,REP,362,193,160,124
1435,35-50,Female,47A,UNA,1212,578,478,379
1436,35-50,Female,47B,DEM,1245,679,663,549
1437,35-50,Female,47B,OTH,65,12,6,5
1438,35-50,Female,47B,REP,124,66,47,34
1439,35-50,Female,47B,UNA,340,140,133,96
1440,35-50,Male,36,DEM,629,429,411,320
1441,35-50,Male,36,OTH,86,57,42,40
1442,35-50,Male,36,REP,1820,1494,1374,1141
1443,35-50,Male,36,UNA,920,608,523,420
1444,35-50,Male,01A,DEM,487,312,274,228
1445,35-50,Male,01A,OTH,86,43,38,28
1446,35-50,Male,01A,REP,2183,1568,1453,1247
1447,35-50,Male,01A,UNA,776,375,315,270
1448,35-50,Male,01B,DEM,868,489,451,396
1449,35-50,Male,01B,OTH,138,53,53,41
1450,35-50,Male,01B,REP,1804,1220,1091,965
1451,35-50,Male,01B,UNA,1067,517,413,352
1452,35-50,Male,01C,DEM,647,375,335,297
1453,35-50,Male,01C,OTH,107,53,47,41
1454,35-50,Male,01C,REP,1923,1392,1219,1137
1455,35-50,Male,01C,UNA,984,518,434,386
1456,35-50,Male,02A,DEM,1577,1073,970,792
1457,35-50,Male,02A,OTH,172,99,79,71
1458,35-50,Male,02A,REP,3505,2681,2326,2117
1459,35-50,Male,02A,UNA,2276,1338,1125,945
1460,35-50,Male,02B,DEM,1275,624,600,491
1461,35-50,Male,02B,OTH,117,44,46,30
1462,35-50,Male,02B,REP,1049,598,501,452
1463,35-50,Male,02B,UNA,1170,482,384,317
1464,35-50,Male,03,DEM,5256,3729,3389,2605
1465,35-50,Male,03,OTH,334,170,150,127
1466,35-50,Male,03,REP,3051,2125,1907,1550
1467,35-50,Male,03,UNA,4409,2709,2315,1633
1468,35-50,Male,04,DEM,3564,2801,2587,2082
1469,35-50,Male,04,OTH,313,211,188,154
1470,35-50,Male,04,REP,5473,4430,4012,3472
1471,35-50,Male,04,UNA,4455,3036,2661,2042
1472,35-50,Male,05,DEM,2582,1932,1858,1598
1473,35-50,Male,05,OTH,369,248,231,195
1474,35-50,Male,05,REP,6100,4865,4557,4006
1475,35-50,Male,05,UNA,3923,2596,2396,1926
1476,35-50,Male,06,DEM,3567,1685,1656,1496
1477,35-50,Male,06,OTH,385,150,148,108
1478,35-50,Male,06,REP,3409,2306,2063,1782
1479,35-50,Male,06,UNA,3138,1448,1233,1056
1480,35-50,Male,07A,DEM,2639,1845,1785,1514
1481,35-50,Male,07A,OTH,211,116,110,87
1482,35-50,Male,07A,REP,2802,2147,1971,1842
1483,35-50,Male,07A,UNA,2332,1390,1290,1044
1484,35-50,Male,07B,DEM,966,720,723,595
1485,35-50,Male,07B,OTH,110,73,68,49
1486,35-50,Male,07B,REP,2194,1801,1728,1516
1487,35-50,Male,07B,UNA,1309,895,798,626
1488,35-50,Male,08,DEM,5054,2941,2895,2520
1489,35-50,Male,08,OTH,332,161,130,115
1490,35-50,Male,08,REP,2374,1580,1376,1275
1491,35-50,Male,08,UNA,3165,1599,1463,1186
1492,35-50,Male,09A,DEM,2832,2227,2099,1687
1493,35-50,Male,09A,OTH,144,77,77,62
1494,35-50,Male,09A,REP,2290,1796,1680,1418
1495,35-50,Male,09A,UNA,2890,2073,1811,1255
1496,35-50,Male,09B,DEM,1495,1164,1083,844
1497,35-50,Male,09B,OTH,64,34,34,30
1498,35-50,Male,09B,REP,636,473,433,350
1499,35-50,Male,09B,UNA,1299,904,761,549
1500,35-50,Male,10,DEM,5436,3408,3441,2914
1501,35-50,Male,10,OTH,259,112,107,90
1502,35-50,Male,10,REP,1399,937,868,737
1503,35-50,Male,10,UNA,2694,1422,1420,1124
1504,35-50,Male,11A,DEM,1683,1107,1108,908
1505,35-50,Male,11A,OTH,71,31,29,23
1506,35-50,Male,11A,REP,390,263,230,195
1507,35-50,Male,11A,UNA,822,476,428,338
1508,35-50,Male,11B,DEM,3255,2366,2230,1927
1509,35-50,Male,11B,OTH,167,99,82,72
1510,35-50,Male,11B,REP,1647,1232,1087,945
1511,35-50,Male,11B,UNA,1945,1245,1096,857
1512,35-50,Male,12A,DEM,3936,2941,2808,2269
1513,35-50,Male,12A,OTH,194,90,81,70
1514,35-50,Male,12A,REP,1371,1004,897,728
1515,35-50,Male,12A,UNA,2732,1755,1616,1190
1516,35-50,Male,12B,DEM,1439,736,762,615
1517,35-50,Male,12B,OTH,140,63,56,47
1518,35-50,Male,12B,REP,1028,633,581,447
1519,35-50,Male,12B,UNA,1223,604,537,371
1520,35-50,Male,13,DEM,5916,4461,4255,3399
1521,35-50,Male,13,OTH,295,163,131,116
1522,35-50,Male,13,REP,2013,1465,1341,1083
1523,35-50,Male,13,UNA,4247,2840,2592,1845
1524,35-50,Male,14,DEM,5108,3699,3531,2848
1525,35-50,Male,14,OTH,232,134,119,97
1526,35-50,Male,14,REP,2010,1429,1293,1045
1527,35-50,Male,14,UNA,3404,2130,1976,1422
1528,35-50,Male,15,DEM,5204,3900,3654,2715
1529,35-50,Male,15,OTH,228,126,110,81
1530,35-50,Male,15,REP,1901,1383,1215,911
1531,35-50,Male,15,UNA,4164,2760,2357,1598
1532,35-50,Male,16,DEM,5423,4270,3338,2337
1533,35-50,Male,16,OTH,149,69,72,50
1534,35-50,Male,16,REP,1549,1117,931,653
1535,35-50,Male,16,UNA,3661,2548,1923,1242
1536,35-50,Male,17,DEM,5042,3686,3284,2439
1537,35-50,Male,17,OTH,233,122,101,74
1538,35-50,Male,17,REP,1287,882,744,554
1539,35-50,Male,17,UNA,3489,2160,1809,1242
1540,35-50,Male,18,DEM,6058,4674,4061,3014
1541,35-50,Male,18,OTH,201,105,80,74
1542,35-50,Male,18,REP,1323,944,773,543
1543,35-50,Male,18,UNA,3159,2051,1712,1154
1544,35-50,Male,19,DEM,4874,3459,3254,2494
1545,35-50,Male,19,OTH,192,107,99,73
1546,35-50,Male,19,REP,1492,1020,893,683
1547,35-50,Male,19,UNA,2937,1819,1623,1195
1548,35-50,Male,20,DEM,6530,4691,4114,2967
1549,35-50,Male,20,OTH,219,101,89,59
1550,35-50,Male,20,REP,915,595,457,320
1551,35-50,Male,20,UNA,2912,1728,1426,927
1552,35-50,Male,21,DEM,5363,3024,2983,2338
1553,35-50,Male,21,OTH,398,91,93,71
1554,35-50,Male,21,REP,1581,886,786,604
1555,35-50,Male,21,UNA,3225,1570,1453,1083
1556,35-50,Male,22,DEM,6148,3365,3320,2583
1557,35-50,Male,22,OTH,327,81,85,61
1558,35-50,Male,22,REP,823,439,349,258
1559,35-50,Male,22,UNA,2554,1165,1057,708
1560,35-50,Male,23,DEM,7647,4781,4854,3970
1561,35-50,Male,23,OTH,350,125,109,88
1562,35-50,Male,23,REP,1264,701,640,524
1563,35-50,Male,23,UNA,3266,1752,1667,1284
1564,35-50,Male,24,DEM,8056,3988,4222,3458
1565,35-50,Male,24,OTH,394,95,100,84
1566,35-50,Male,24,REP,744,340,292,213
1567,35-50,Male,24,UNA,2681,1183,1115,823
1568,35-50,Male,25,DEM,8748,4401,4714,3751
1569,35-50,Male,25,OTH,390,94,90,67
1570,35-50,Male,25,REP,663,301,262,178
1571,35-50,Male,25,UNA,2699,1152,1129,817
1572,35-50,Male,26,DEM,7963,3839,3980,3232
1573,35-50,Male,26,OTH,366,91,89,62
1574,35-50,Male,26,REP,758,346,270,207
1575,35-50,Male,26,UNA,2976,1199,1155,830
1576,35-50,Male,27A,DEM,2574,1577,1618,1285
1577,35-50,Male,27A,OTH,117,45,43,28
1578,35-50,Male,27A,REP,511,308,262,198
1579,35-50,Male,27A,UNA,1057,543,479,346
1580,35-50,Male,27B,DEM,1926,1232,1174,973
1581,35-50,Male,27B,OTH,136,61,50,41
