,Party,Count,voted_2024,total_votes,turnout
0,DEM,2341215,1637967,3061866,0.534957114387109
1,OTH,85049,39764,3061866,0.012986851808668308
2,REP,1076846,813241,3061866,0.26560306688796964
3,UNA,998625,570894,3061866,0.18645296691625304
