,age_bracket,Gender,County,Party,Count,voted_2024,voted_2020,voted_2016
115,18-24,Male,Calvert,UNA,1543,603,194,0
116,18-24,Male,Caroline,DEM,229,88,53,0
117,18-24,Male,Caroline,OTH,41,12,2,0
118,18-24,Male,Caroline,REP,641,353,140,0
119,18-24,Male,Caroline,UNA,486,158,49,0
120,18-24,Male,Carroll,DEM,1227,685,343,0
121,18-24,Male,Carroll,OTH,176,83,38,0
122,18-24,Male,Carroll,REP,3677,2184,932,0
123,18-24,Male,Carroll,UNA,2714,1090,442,0
124,18-24,Male,Cecil,DEM,675,277,123,0
125,18-24,Male,Cecil,OTH,105,38,11,0
126,18-24,Male,Cecil,REP,2150,1201,425,0
127,18-24,Male,Cecil,UNA,1592,512,167,0
128,18-24,Male,Charles,DEM,3895,1924,1042,2
129,18-24,Male,Charles,OTH,152,57,23,0
130,18-24,Male,Charles,REP,1180,634,257,0
131,18-24,Male,Charles,UNA,2626,959,357,1
132,18-24,Male,Dorchester,DEM,295,113,40,0
133,18-24,Male,Dorchester,OTH,20,3,2,0
134,18-24,Male,Dorchester,REP,447,247,95,0
135,18-24,Male,Dorchester,UNA,348,91,20,0
136,18-24,Male,Frederick,DEM,3371,1791,839,0
137,18-24,Male,Frederick,OTH,315,116,45,0
138,18-24,Male,Frederick,REP,4004,2233,892,1
139,18-24,Male,Frederick,UNA,5170,1941,736,0
140,18-24,Male,Garrett,DEM,79,44,31,0
141,18-24,Male,Garrett,OTH,14,5,4,0
142,18-24,Male,Garrett,REP,802,427,173,0
143,18-24,Male,Garrett,UNA,261,93,32,0
144,18-24,Male,Harford,DEM,2664,1307,617,0
145,18-24,Male,Harford,OTH,327,115,55,0
146,18-24,Male,Harford,REP,4444,2531,1092,0
147,18-24,Male,Harford,UNA,4397,1712,638,1
148,18-24,Male,Howard,DEM,6063,3333,1542,0
149,18-24,Male,Howard,OTH,326,135,47,0
150,18-24,Male,Howard,REP,2862,1614,732,0
151,18-24,Male,Howard,UNA,6507,2627,995,0
152,18-24,Male,Kent,DEM,121,55,32,0
153,18-24,Male,Kent,OTH,11,3,2,0
154,18-24,Male,Kent,REP,278,178,55,0
155,18-24,Male,Kent,UNA,209,74,25,0
156,18-24,Male,Montgomery,DEM,18836,9636,4603,1
157,18-24,Male,Montgomery,OTH,916,292,133,1
158,18-24,Male,Montgomery,REP,6052,3063,1314,0
159,18-24,Male,Montgomery,UNA,17267,6476,2552,1
160,18-24,Male,Prince George's,DEM,19310,9244,4790,6
161,18-24,Male,Prince George's,OTH,914,252,72,0
162,18-24,Male,Prince George's,REP,2351,1026,372,0
163,18-24,Male,Prince George's,UNA,10831,3527,1338,8
164,18-24,Male,Queen Anne's,DEM,349,181,94,0
165,18-24,Male,Queen Anne's,OTH,53,24,6,0
166,18-24,Male,Queen Anne's,REP,1174,658,278,0
167,18-24,Male,Queen Anne's,UNA,753,284,115,0
168,18-24,Male,Saint Mary's,DEM,1065,526,249,0
169,18-24,Male,Saint Mary's,OTH,123,47,11,0
170,18-24,Male,Saint Mary's,REP,1963,1145,433,0
171,18-24,Male,Saint Mary's,UNA,1696,633,217,0
172,18-24,Male,Somerset,DEM,160,52,27,0
173,18-24,Male,Somerset,OTH,24,3,1,0
174,18-24,Male,Somerset,REP,295,135,40,0
175,18-24,Male,Somerset,UNA,234,74,26,0
176,18-24,Male,Talbot,DEM,274,110,70,0
177,18-24,Male,Talbot,OTH,34,13,6,0
178,18-24,Male,Talbot,REP,550,286,135,0
179,18-24,Male,Talbot,UNA,530,178,70,0
180,18-24,Male,Washington,DEM,1283,579,257,0
181,18-24,Male,Washington,OTH,159,62,18,0
182,18-24,Male,Washington,REP,2476,1319,525,0
183,18-24,Male,Washington,UNA,2237,708,244,0
184,18-24,Male,Wicomico,DEM,1109,420,218,0
185,18-24,Male,Wicomico,OTH,122,28,4,0
186,18-24,Male,Wicomico,REP,1424,741,323,0
187,18-24,Male,Wicomico,UNA,1391,421,142,0
188,18-24,Male,Worcester,DEM,409,170,85,0
189,18-24,Male,Worcester,OTH,62,20,7,0
190,18-24,Male,Worcester,REP,1015,511,211,0
191,18-24,Male,Worcester,UNA,628,213,78,0
192,25-34,Female,Allegany,DEM,948,514,493,345
193,25-34,Female,Allegany,OTH,101,32,26,24
194,25-34,Female,Allegany,REP,1355,900,781,577
195,25-34,Female,Allegany,UNA,959,410,330,214
196,25-34,Female,Anne Arundel,DEM,17448,11672,10953,7213
197,25-34,Female,Anne Arundel,OTH,778,371,318,191
198,25-34,Female,Anne Arundel,REP,7753,5238,4586,3170
199,25-34,Female,Anne Arundel,UNA,10263,5392,4636,2721
200,25-34,Female,Baltimore City,DEM,34300,19977,16997,12577
201,25-34,Female,Baltimore City,OTH,1092,383,292,218
