age_bracket,Gender,County,Party,Count,voted_2024,voted_2020
51-64,Female,Baltimore City,UNA,4295,2039,1990
51-64,Female,Baltimore County,DEM,40068,32514,32517
51-64,Female,Baltimore County,OTH,857,541,530
51-64,Female,Baltimore County,REP,18522,15318,15024
51-64,Female,Baltimore County,UNA,10852,7341,7183
51-64,Female,Calvert,DEM,3406,2913,2764
51-64,Female,Calvert,OTH,103,72,58
51-64,Female,Calvert,REP,4253,3731,3398
51-64,Female,Calvert,UNA,1713,1303,1150
51-64,Female,Caroline,DEM,790,617,619
51-64,Female,Caroline,OTH,33,19,20
51-64,Female,Caroline,REP,1506,1284,1281
51-64,Female,Caroline,UNA,471,303,288
51-64,Female,Carroll,DEM,4340,3764,3695
51-64,Female,Carroll,OTH,183,130,120
51-64,Female,Carroll,REP,9189,8047,8019
51-64,Female,Carroll,UNA,3051,2330,2277
51-64,Female,Cecil,DEM,2686,1979,1749
51-64,Female,Cecil,OTH,126,84,67
51-64,Female,Cecil,REP,5003,4260,3852
51-64,Female,Cecil,UNA,1793,1198,989
51-64,Female,Charles,DEM,12379,10504,10418
51-64,Female,Charles,OTH,160,102,91
51-64,Female,Charles,REP,3626,2996,2972
51-64,Female,Charles,UNA,2493,1740,1702
51-64,Female,Dorchester,DEM,1300,982,950
51-64,Female,Dorchester,OTH,35,20,16
51-64,Female,Dorchester,REP,1276,1100,1034
51-64,Female,Dorchester,UNA,441,299,276
51-64,Female,Frederick,DEM,10175,8546,8413
51-64,Female,Frederick,OTH,219,148,125
51-64,Female,Frederick,REP,9756,8264,8220
51-64,Female,Frederick,UNA,5243,3875,3747
51-64,Female,Garrett,DEM,448,352,316
51-64,Female,Garrett,OTH,37,21,22
51-64,Female,Garrett,REP,1859,1571,1486
51-64,Female,Garrett,UNA,311,203,165
51-64,Female,Harford,DEM,8536,7090,7105
51-64,Female,Harford,OTH,256,168,169
51-64,Female,Harford,REP,11723,10267,10154
51-64,Female,Harford,UNA,4226,3135,3074
51-64,Female,Howard,DEM,16101,13882,13817
51-64,Female,Howard,OTH,356,247,224
51-64,Female,Howard,REP,7047,5934,5972
51-64,Female,Howard,UNA,6288,4775,4837
51-64,Female,Kent,DEM,740,598,555
51-64,Female,Kent,OTH,26,19,17
51-64,Female,Kent,REP,702,608,551
51-64,Female,Kent,UNA,301,223,204
51-64,Female,Montgomery,DEM,54644,45564,45213
51-64,Female,Montgomery,OTH,1027,661,638
51-64,Female,Montgomery,REP,13650,10775,10624
51-64,Female,Montgomery,UNA,18496,13118,12842
51-64,Female,Prince George's,DEM,69676,52625,53279
51-64,Female,Prince George's,OTH,1764,536,537
51-64,Female,Prince George's,REP,5031,3174,3200
51-64,Female,Prince George's,UNA,8408,5073,4973
51-64,Female,Queen Anne's,DEM,1578,1325,1252
51-64,Female,Queen Anne's,OTH,47,33,33
51-64,Female,Queen Anne's,REP,2993,2631,2560
51-64,Female,Queen Anne's,UNA,981,747,701
51-64,Female,Saint Mary's,DEM,3426,2722,2665
51-64,Female,Saint Mary's,OTH,116,80,68
51-64,Female,Saint Mary's,REP,4790,4127,3957
51-64,Female,Saint Mary's,UNA,1724,1264,1185
51-64,Female,Somerset,DEM,750,566,562
51-64,Female,Somerset,OTH,19,12,11
51-64,Female,Somerset,REP,856,721,675
51-64,Female,Somerset,UNA,239,140,129
51-64,Female,Talbot,DEM,1362,1137,1094
51-64,Female,Talbot,OTH,38,27,26
51-64,Female,Talbot,REP,1580,1336,1307
51-64,Female,Talbot,UNA,642,475,442
51-64,Female,Washington,DEM,4105,3124,2972
51-64,Female,Washington,OTH,147,90,73
51-64,Female,Washington,REP,6498,5442,5067
51-64,Female,Washington,UNA,2421,1615,1421
51-64,Female,Wicomico,DEM,3449,2579,2556
51-64,Female,Wicomico,OTH,124,71,68
51-64,Female,Wicomico,REP,3232,2717,2653
51-64,Female,Wicomico,UNA,1406,944,880
51-64,Female,Worcester,DEM,1829,1429,1370
51-64,Female,Worcester,OTH,84,60,55
51-64,Female,Worcester,REP,2792,2349,2279
51-64,Female,Worcester,UNA,987,682,628
51-64,Male,Allegany,DEM,1004,679,637
51-64,Male,Allegany,OTH,77,45,42
51-64,Male,Allegany,REP,3177,2516,2325
51-64,Male,Allegany,UNA,848,512,437
51-64,Male,Anne Arundel,DEM,15450,11825,11697
51-64,Male,Anne Arundel,OTH,724,482,437
51-64,Male,Anne Arundel,REP,19572,15898,15733
51-64,Male,Anne Arundel,UNA,11362,8186,7962
51-64,Male,Baltimore City,DEM,28191,15469,15866
51-64,Male,Baltimore City,OTH,719,273,263
51-64,Male,Baltimore City,REP,3997,1937,1915
51-64,Male,Baltimore City,UNA,5813,2516,2471
51-64,Male,Baltimore County,DEM,26825,19733,19848
51-64,Male,Baltimore County,OTH,1054,618,580
51-64,Male,Baltimore County,REP,19623,15590,15105
51-64,Male,Baltimore County,UNA,12241,8284,7980
51-64,Male,Calvert,DEM,2269,1818,1703
51-64,Male,Calvert,OTH,138,98,79
51-64,Male,Calvert,REP,4411,3812,3376
51-64,Male,Calvert,UNA,1757,1341,1179
51-64,Male,Caroline,DEM,573,405,385
51-64,Male,Caroline,OTH,42,24,17
51-64,Male,Caroline,REP,1562,1310,1242
51-64,Male,Caroline,UNA,455,301,300
51-64,Male,Carroll,DEM,2669,2189,2158
51-64,Male,Carroll,OTH,258,173,172
51-64,Male,Carroll,REP,9635,8288,8209
51-64,Male,Carroll,UNA,3276,2509,2447
51-64,Male,Cecil,DEM,1914,1274,1148
51-64,Male,Cecil,OTH,165,101,90
51-64,Male,Cecil,REP,5142,4215,3737
51-64,Male,Cecil,UNA,1819,1137,995
51-64,Male,Charles,DEM,8761,6830,6865
51-64,Male,Charles,OTH,188,113,111
51-64,Male,Charles,REP,3778,3010,2975
51-64,Male,Charles,UNA,2795,1895,1837
51-64,Male,Dorchester,DEM,937,600,579
51-64,Male,Dorchester,OTH,46,25,22
51-64,Male,Dorchester,REP,1298,1070,1016
51-64,Male,Dorchester,UNA,427,253,234
51-64,Male,Frederick,DEM,6817,5441,5287
51-64,Male,Frederick,OTH,344,217,207
51-64,Male,Frederick,REP,10574,8736,8646
51-64,Male,Frederick,UNA,6076,4545,4393
51-64,Male,Garrett,DEM,281,204,189
51-64,Male,Garrett,OTH,36,21,20
51-64,Male,Garrett,REP,1832,1502,1440
51-64,Male,Garrett,UNA,296,198,188
51-64,Male,Harford,DEM,5804,4467,4516
51-64,Male,Harford,OTH,379,241,244
51-64,Male,Harford,REP,11849,10245,10074
51-64,Male,Harford,UNA,4583,3371,3306
51-64,Male,Howard,DEM,11017,9100,9064
51-64,Male,Howard,OTH,408,267,266
51-64,Male,Howard,REP,7941,6630,6622
51-64,Male,Howard,UNA,7752,6034,5891
51-64,Male,Kent,DEM,453,340,309
51-64,Male,Kent,OTH,27,14,18
51-64,Male,Kent,REP,718,617,559
51-64,Male,Kent,UNA,280,188,178
51-64,Male,Montgomery,DEM,37858,30356,30024
51-64,Male,Montgomery,OTH,1174,742,725
51-64,Male,Montgomery,REP,15642,12090,11897
51-64,Male,Montgomery,UNA,21903,15865,15361
51-64,Male,Prince George's,DEM,49926,33371,34406
51-64,Male,Prince George's,OTH,2047,627,644
51-64,Male,Prince George's,REP,6107,3608,3534
51-64,Male,Prince George's,UNA,10783,6090,6102
51-64,Male,Queen Anne's,DEM,966,755,720
51-64,Male,Queen Anne's,OTH,83,60,50
51-64,Male,Queen Anne's,REP,3077,2660,2609
51-64,Male,Queen Anne's,UNA,1046,789,755
51-64,Male,Saint Mary's,DEM,2372,1724,1704
51-64,Male,Saint Mary's,OTH,138,93,93
51-64,Male,Saint Mary's,REP,5104,4330,4146
51-64,Male,Saint Mary's,UNA,1937,1438,1335
51-64,Male,Somerset,DEM,509,315,327
51-64,Male,Somerset,OTH,25,15,10
51-64,Male,Somerset,REP,881,736,669
51-64,Male,Somerset,UNA,262,160,140
51-64,Male,Talbot,DEM,861,658,622
51-64,Male,Talbot,OTH,54,32,36
51-64,Male,Talbot,REP,1506,1273,1196
51-64,Male,Talbot,UNA,630,452,411
51-64,Male,Washington,DEM,2899,2042,1899
51-64,Male,Washington,OTH,174,103,83
51-64,Male,Washington,REP,6738,5485,5041
51-64,Male,Washington,UNA,2426,1635,1449
51-64,Male,Wicomico,DEM,2437,1584,1532
51-64,Male,Wicomico,OTH,121,76,68
51-64,Male,Wicomico,REP,3192,2620,2487
51-64,Male,Wicomico,UNA,1358,865,846
51-64,Male,Worcester,DEM,1193,821,825
51-64,Male,Worcester,OTH,110,71,57
51-64,Male,Worcester,REP,2965,2383,2295
51-64,Male,Worcester,UNA,1025,702,639
65+,Female,Allegany,DEM,2493,1890,1899
65+,Female,Allegany,OTH,60,38,41
65+,Female,Allegany,REP,4380,3610,3577
65+,Female,Allegany,UNA,690,484,440
65+,Female,Anne Arundel,DEM,27854,22880,23079
65+,Female,Anne Arundel,OTH,443,299,303
65+,Female,Anne Arundel,REP,19462,16001,16443
65+,Female,Anne Arundel,UNA,7679,5782,5721
65+,Female,Baltimore City,DEM,45653,31340,33409
65+,Female,Baltimore City,OTH,268,129,128
65+,Female,Baltimore City,REP,3393,2035,2164
65+,Female,Baltimore City,UNA,2761,1378,1441
65+,Female,Baltimore County,DEM,53370,43563,44990
65+,Female,Baltimore County,OTH,878,605,658
65+,Female,Baltimore County,REP,24366,20060,20661
65+,Female,Baltimore County,UNA,8621,6072,6125
65+,Female,Calvert,DEM,4258,3600,3522
65+,Female,Calvert,OTH,73,50,51
65+,Female,Calvert,REP,3711,3156,3012
65+,Female,Calvert,UNA,1109,865,784
65+,Female,Caroline,DEM,1227,945,971
65+,Female,Caroline,OTH,24,19,18
65+,Female,Caroline,REP,1528,1343,1350
65+,Female,Caroline,UNA,388,279,283
65+,Female,Carroll,DEM,6247,5246,5318
65+,Female,Carroll,OTH,150,107,113
65+,Female,Carroll,REP,9522,8239,8357
65+,Female,Carroll,UNA,2242,1687,1675
65+,Female,Cecil,DEM,3668,2765,2697
65+,Female,Cecil,OTH,96,67,65
65+,Female,Cecil,REP,4755,4000,3784
65+,Female,Cecil,UNA,1298,918,840
65+,Female,Charles,DEM,9536,7601,7769
65+,Female,Charles,OTH,90,50,52
65+,Female,Charles,REP,3584,2906,2974
65+,Female,Charles,UNA,1361,923,916
65+,Female,Dorchester,DEM,2024,1585,1616
65+,Female,Dorchester,OTH,28,19,20
65+,Female,Dorchester,REP,1669,1467,1452
65+,Female,Dorchester,UNA,380,268,249
65+,Female,Frederick,DEM,11858,9844,9728
65+,Female,Frederick,OTH,169,118,117
65+,Female,Frederick,REP,9841,8183,8166
65+,Female,Frederick,UNA,3779,2813,2734
65+,Female,Garrett,DEM,931,739,729
65+,Female,Garrett,OTH,32,26,26
65+,Female,Garrett,REP,2323,1970,1995
65+,Female,Garrett,UNA,252,200,179
65+,Female,Harford,DEM,10982,9097,9284
65+,Female,Harford,OTH,265,189,182
65+,Female,Harford,REP,12572,10982,11114
65+,Female,Harford,UNA,3230,2517,2486
65+,Female,Howard,DEM,17534,14704,14875
65+,Female,Howard,OTH,287,199,206
65+,Female,Howard,REP,7173,5859,6042
65+,Female,Howard,UNA,4516,3348,3316
65+,Female,Kent,DEM,1684,1472,1426
65+,Female,Kent,OTH,29,18,19
65+,Female,Kent,REP,1061,915,896
65+,Female,Kent,UNA,362,276,263
65+,Female,Montgomery,DEM,68923,56496,56704
65+,Female,Montgomery,OTH,953,577,633
65+,Female,Montgomery,REP,17050,12795,13250
65+,Female,Montgomery,UNA,15926,10666,10937
65+,Female,Prince George's,DEM,76584,57138,59749
65+,Female,Prince George's,OTH,1477,514,569
65+,Female,Prince George's,REP,6850,4421,4787
65+,Female,Prince George's,UNA,5538,3297,3449
65+,Female,Queen Anne's,DEM,2591,2184,2099
65+,Female,Queen Anne's,OTH,55,43,39
65+,Female,Queen Anne's,REP,3037,2627,2618
65+,Female,Queen Anne's,UNA,771,612,557
65+,Female,Saint Mary's,DEM,4058,3230,3309
65+,Female,Saint Mary's,OTH,81,54,50
65+,Female,Saint Mary's,REP,3848,3274,3216
65+,Female,Saint Mary's,UNA,1076,777,740
65+,Female,Somerset,DEM,1099,859,900
65+,Female,Somerset,OTH,29,20,20
65+,Female,Somerset,REP,1114,956,950
65+,Female,Somerset,UNA,215,154,144
65+,Female,Talbot,DEM,3042,2580,2558
65+,Female,Talbot,OTH,64,44,45
65+,Female,Talbot,REP,2627,2220,2254
65+,Female,Talbot,UNA,870,677,634
65+,Female,Washington,DEM,5524,4367,4287
65+,Female,Washington,OTH,120,80,77
65+,Female,Washington,REP,7246,6118,5947
65+,Female,Washington,UNA,1785,1257,1193
65+,Female,Wicomico,DEM,4904,3872,3975
65+,Female,Wicomico,OTH,87,55,59
65+,Female,Wicomico,REP,4184,3557,3589
65+,Female,Wicomico,UNA,1158,822,789
65+,Female,Worcester,DEM,3620,2919,2917
65+,Female,Worcester,OTH,112,88,86
65+,Female,Worcester,REP,3983,3327,3340
65+,Female,Worcester,UNA,1075,811,790
65+,Male,Allegany,DEM,1606,1272,1235
65+,Male,Allegany,OTH,67,46,45
65+,Male,Allegany,REP,3690,3205,3033
65+,Male,Allegany,UNA,762,571,539
65+,Male,Anne Arundel,DEM,18014,14613,14807
65+,Male,Anne Arundel,OTH,449,302,312
65+,Male,Anne Arundel,REP,18261,15278,15511
65+,Male,Anne Arundel,UNA,8214,6363,6406
65+,Male,Baltimore City,DEM,29366,18291,19120
65+,Male,Baltimore City,OTH,328,162,156
65+,Male,Baltimore City,REP,3513,2074,2082
65+,Male,Baltimore City,UNA,3482,1727,1760
65+,Male,Baltimore County,DEM,33382,27355,27790
65+,Male,Baltimore County,OTH,888,635,635
65+,Male,Baltimore County,REP,21680,18178,18314
65+,Male,Baltimore County,UNA,9358,6918,6929
65+,Male,Calvert,DEM,2872,2390,2312
65+,Male,Calvert,OTH,95,70,70
65+,Male,Calvert,REP,3549,3106,2892
65+,Male,Calvert,UNA,1258,1021,934
65+,Male,Caroline,DEM,865,698,702
65+,Male,Caroline,OTH,20,14,16
65+,Male,Caroline,REP,1448,1275,1260
65+,Male,Caroline,UNA,347,257,255
65+,Male,Carroll,DEM,4055,3472,3506
65+,Male,Carroll,OTH,187,148,148
65+,Male,Carroll,REP,8542,7569,7594
65+,Male,Carroll,UNA,2287,1873,1857
65+,Male,Cecil,DEM,2560,1947,1835
65+,Male,Cecil,OTH,110,74,70
65+,Male,Cecil,REP,4433,3843,3542
65+,Male,Cecil,UNA,1353,1021,897
65+,Male,Charles,DEM,6050,4793,4893
65+,Male,Charles,OTH,130,94,93
65+,Male,Charles,REP,3461,2851,2880
65+,Male,Charles,UNA,1566,1152,1154
65+,Male,Dorchester,DEM,1391,1057,1052
65+,Male,Dorchester,OTH,28,20,21
65+,Male,Dorchester,REP,1619,1438,1380
65+,Male,Dorchester,UNA,406,300,271
65+,Male,Frederick,DEM,7536,6358,6176
65+,Male,Frederick,OTH,155,109,101
65+,Male,Frederick,REP,9347,7911,7901
65+,Male,Frederick,UNA,4025,3148,3047
65+,Male,Garrett,DEM,636,530,513
65+,Male,Garrett,OTH,30,23,22
65+,Male,Garrett,REP,2118,1839,1819
65+,Male,Garrett,UNA,307,245,223
65+,Male,Harford,DEM,7129,5986,6078
65+,Male,Harford,OTH,225,181,180
65+,Male,Harford,REP,11282,10069,10097
65+,Male,Harford,UNA,3436,2858,2801
65+,Male,Howard,DEM,11838,9980,10142
65+,Male,Howard,OTH,304,219,222
65+,Male,Howard,REP,7292,6187,6326
65+,Male,Howard,UNA,5233,4076,4055
65+,Male,Kent,DEM,1102,948,899
65+,Male,Kent,OTH,24,18,17
65+,Male,Kent,REP,1026,913,886
65+,Male,Kent,UNA,372,300,265
65+,Male,Montgomery,DEM,46704,38544,38695
65+,Male,Montgomery,OTH,916,581,625
65+,Male,Montgomery,REP,16874,13118,13413
65+,Male,Montgomery,UNA,17789,12652,12844
65+,Male,Prince George's,DEM,49568,34838,36500
65+,Male,Prince George's,OTH,1703,583,649
65+,Male,Prince George's,REP,6690,4306,4559
65+,Male,Prince George's,UNA,6504,4017,4184
65+,Male,Queen Anne's,DEM,1733,1463,1397
65+,Male,Queen Anne's,OTH,57,41,41
65+,Male,Queen Anne's,REP,3014,2648,2604
65+,Male,Queen Anne's,UNA,898,735,671
65+,Male,Saint Mary's,DEM,2912,2355,2318
65+,Male,Saint Mary's,OTH,82,64,57
65+,Male,Saint Mary's,REP,3848,3351,3261
65+,Male,Saint Mary's,UNA,1135,884,851
65+,Male,Somerset,DEM,766,564,576
65+,Male,Somerset,OTH,19,11,11
65+,Male,Somerset,REP,1059,919,893
65+,Male,Somerset,UNA,264,184,175
65+,Male,Talbot,DEM,1891,1638,1570
65+,Male,Talbot,OTH,53,39,41
65+,Male,Talbot,REP,2358,2051,2023
65+,Male,Talbot,UNA,921,756,712
65+,Male,Washington,DEM,3689,2960,2841
65+,Male,Washington,OTH,118,75,75
65+,Male,Washington,REP,6477,5601,5333
65+,Male,Washington,UNA,1847,1402,1311
65+,Male,Wicomico,DEM,3188,2461,2499
65+,Male,Wicomico,OTH,89,57,63
65+,Male,Wicomico,REP,3695,3215,3174
65+,Male,Wicomico,UNA,1153,860,812
65+,Male,Worcester,DEM,2287,1821,1823
65+,Male,Worcester,OTH,110,83,78
65+,Male,Worcester,REP,3691,3126,3126
65+,Male,Worcester,UNA,1200,914,914
