COUNTY,ADDRESS,NAME,DEM,REP,GRN,CONST,LIB,POP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CONST_ACTIVE,LIB_ACTIVE,POP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,291,138,48,40,1,0,0,0,54,3,146,"16,961","19,715",107,7,48,1,"4,291",423,"41,553",0,"2,358"
ANNE ARUNDEL,"2,512","1,039",447,458,32,1,6,1,638,9,"1,592","135,121","119,161",850,84,550,16,"53,690",71,"309,543",47,"16,463"
BALTIMORE CITY,"3,700",791,599,385,42,7,8,4,632,42,"1,719","262,485","31,434","1,573",54,327,25,"33,612",930,"330,440",11,"19,517"
BALTIMORE CO.,"3,818","3,689",367,259,9,2,8,0,596,82,"1,323","271,469","126,367","1,273",70,741,7,"53,346","5,803","459,076",30,"28,516"
CALVERT,331,118,39,44,1,0,0,0,60,1,145,"20,632","21,113",100,8,70,0,"7,927",473,"50,323",12,"5,333"
CAROLINE,382,148,16,10,0,0,2,0,22,3,53,"6,904","6,650",26,8,55,1,"2,426",141,"16,211",0,806
CARROLL,341,214,27,35,2,0,1,0,38,0,103,"32,775","52,221",230,25,140,1,"13,894",14,"99,300",49,"6,567"
CECIL,320,89,58,60,3,1,1,0,90,16,229,"22,116","20,514",115,28,92,1,"8,933",692,"52,491",79,"4,442"
CHARLES,242,146,18,20,0,0,0,0,41,7,86,"38,634","25,879",102,18,84,3,"11,736",887,"77,343",28,"3,908"
DORCHESTER,485,63,4,9,0,0,0,0,12,0,25,"9,604","6,618",20,5,20,1,"1,843",183,"18,294",162,793
FREDERICK,822,"1,221",69,85,4,0,1,0,130,5,294,"46,143","57,293",334,7,200,3,"22,541",49,"126,570",33,"14,923"
GARRETT,260,32,23,14,0,0,0,0,29,3,69,"5,102","11,088",26,3,23,1,"1,346",200,"17,789",4,385
HARFORD,"1,013","1,671",186,119,4,0,1,0,208,5,523,"59,600","58,754",247,20,192,3,"17,682",237,"136,735",38,"10,363"
HOWARD,"1,242",989,147,164,8,1,5,0,380,25,730,"77,113","55,890",436,17,261,7,"29,691","1,711","165,126",22,"15,333"
KENT,204,36,6,14,1,0,0,0,20,1,42,"6,047","4,302",39,0,14,1,"1,425",125,"11,953",28,80
MONTGOMERY,"6,983","4,476",379,577,40,3,4,0,"1,920",28,"2,951","275,143","125,291","1,369",53,653,16,"104,578",991,"508,094",118,"35,028"
PR. GEORGE'S,"5,186","1,839",476,473,27,3,10,0,821,"1,094","2,904","327,740","48,846",619,73,432,23,"27,459","35,013","440,205",104,"30,623"
QUEEN ANNE'S,93,38,32,25,1,0,0,0,19,1,78,"10,848","13,223",50,5,72,1,"3,736",230,"28,165",0,859
ST. MARY'S,513,167,34,59,2,0,4,0,81,6,186,"22,462","20,954",130,17,81,0,"8,228",574,"52,446",0,"2,298"
SOMERSET,61,57,3,7,0,0,0,0,2,0,12,"6,966","3,985",9,2,8,0,"1,273",99,"12,342",2,914
TALBOT,282,113,19,29,0,0,1,0,40,7,96,"10,201","11,352",59,6,67,2,"3,513",314,"25,514",8,"1,090"
WASHINGTON,462,199,40,39,2,0,0,0,58,8,147,"30,501","36,566",204,14,120,3,"11,381",928,"79,717",1,"5,983"
WICOMICO,241,65,18,16,0,0,0,0,19,4,57,"23,096","18,874",84,9,81,0,"6,940",579,"49,663",3,"2,407"
WORCESTER,176,64,17,13,0,0,2,0,16,0,48,"15,463","13,185",67,6,59,2,"4,698",439,"33,919",0,"2,261"
TOTAL,"29,960","17,402","3,072","2,954",179,18,54,5,"5,926","1,350","13,558","1,733,126","909,275","8,069",539,"4,390",118,"436,189","51,106","3,142,812",779,"211,250"
