COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,127,54,14,5,1,0,0,0,6,4,30,"16,615","19,274",129,6,247,97,"4,749",460,"41,577",18,"3,035"
ANNE ARUNDEL,744,360,57,71,2,0,3,7,70,0,210,"144,642","117,938",819,39,"3,007",954,"57,069",89,"324,557",156,"23,993"
BALTIMORE CITY,606,374,34,14,3,0,2,1,26,3,83,"288,775","31,424","1,411",17,"1,342",635,"37,351","1,352","362,307",201,"22,425"
BALTIMORE CO.,"1,012","1,102",100,82,0,0,5,2,71,7,267,"290,652","126,992","1,304",42,"3,127","1,306","59,806","5,785","489,014",651,"27,434"
CALVERT,88,45,8,14,0,0,0,1,15,1,39,"22,967","21,609",111,8,366,132,"9,070",524,"54,787",37,"3,833"
CAROLINE,29,18,1,1,0,0,0,0,1,0,3,"7,481","7,046",35,3,151,53,"2,751",83,"17,603",15,"1,144"
CARROLL,148,90,38,23,0,0,1,0,18,0,80,"33,609","52,729",240,12,935,260,"15,531",31,"103,347",77,"6,320"
CECIL,97,29,14,12,0,0,1,2,8,0,37,"24,076","21,930",134,13,429,188,"10,300",756,"57,826",19,"6,100"
CHARLES,123,219,16,14,0,0,0,1,27,7,65,"48,414","24,491",130,7,808,177,"12,248",561,"86,836",141,"7,291"
DORCHESTER,43,49,2,4,0,0,0,0,3,0,9,"10,257","6,749",25,1,102,38,"2,018",155,"19,345",65,"1,181"
FREDERICK,438,312,20,29,0,0,0,1,36,0,86,"51,115","55,962",343,16,"1,089",377,"24,174",39,"133,115",35,"14,009"
GARRETT,35,16,2,7,0,0,0,0,1,1,11,"5,076","10,950",33,3,116,36,"1,562",204,"17,980",4,"1,411"
HARFORD,"1,199",418,39,40,0,0,2,2,28,0,111,"63,079","61,377",266,17,"1,143",451,"20,444",661,"147,438","2,487","7,153"
HOWARD,434,250,34,43,0,0,3,1,32,6,119,"84,181","53,820",440,14,"1,877",461,"30,653","1,809","173,255","1,110","14,850"
KENT,46,24,9,5,0,0,0,0,1,0,15,"6,182","4,299",39,2,86,27,"1,480",126,"12,241",405,825
MONTGOMERY,"1,299",720,71,101,1,0,19,5,128,3,328,"319,594","123,149","1,416",27,"6,676","1,199","110,253","2,551","564,865","2,705","47,460"
PR. GEORGE'S,809,466,28,28,0,1,1,2,34,24,118,"396,714","46,661",675,20,"2,003",652,"37,318","26,196","510,239",48,"10,205"
QUEEN ANNE'S,20,10,5,6,0,0,0,0,2,0,13,"11,085","13,455",62,2,168,94,"3,910",218,"28,994",4,"2,320"
ST. MARY'S,126,46,9,7,2,0,0,1,6,0,25,"24,614","22,246",144,6,354,154,"9,379",562,"57,459",175,"4,764"
SOMERSET,19,16,3,3,0,0,0,0,1,0,7,"7,314","4,051",20,1,71,16,"1,390",107,"12,970",0,900
TALBOT,50,36,8,11,0,0,0,0,3,1,23,"9,969","10,673",50,0,126,70,"3,303",307,"24,498",10,"3,386"
WASHINGTON,295,139,18,13,1,0,1,0,15,2,50,"32,191","36,598",215,17,645,226,"12,803",918,"83,613",19,"6,817"
WICOMICO,148,72,14,12,0,0,0,0,14,3,43,"24,990","19,234",98,6,376,124,"7,374",551,"52,753",27,"4,285"
WORCESTER,50,25,12,7,0,0,2,0,5,0,26,"15,459","13,225",69,0,247,88,"4,785",458,"34,331",5,"2,958"
TOTAL,"7,985","4,890",556,552,10,1,40,26,551,62,"1,798","1,939,051","905,882","8,208",279,"25,491","7,815","479,721","44,503","3,410,950","8,414","224,099"
