"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","423","25","53","18","0","1","1","22","3","98","11759","22890","76","228","81","8450","381","43,865","250","2077"
"ANNE ARUNDEL","4471","2762","552","416","10","28","16","625","124","1,771","175135","130080","652","2305","450","98261","2964","409,847","13867","26024"
"BALTIMORE CITY","3538","2392","435","136","13","8","13","264","49","918","303227","28032","925","1092","686","57034","3982","394,978","11210","9391"
"BALTIMORE CO.","8844","5871","975","575","15","44","14","665","187","2,475","313823","138939","919","2592","745","110633","5987","573,638","10283","23134"
"CALVERT","632","374","60","51","0","4","1","45","5","166","23957","28044","103","434","67","15445","545","68,595","539","4609"
"CAROLINE","143","82","7","5","0","0","0","8","1","21","6231","10597","33","116","43","4520","162","21,702","74","1181"
"CARROLL","1337","904","109","151","1","5","0","103","29","398","33724","64066","192","801","106","29000","1021","128,910","3132","5401"
"CECIL","825","673","111","76","1","2","3","72","16","281","20694","32356","113","469","114","16782","681","71,209","555","4244"
"CHARLES","1423","851","122","49","0","1","1","39","11","223","74619","23158","134","407","152","22172","860","121,502","1134","7912"
"DORCHESTER","328","171","21","14","0","0","1","13","6","55","9619","9074","24","115","31","3856","193","22,912","92","844"
"FREDERICK","2249","1237","192","163","4","4","2","172","25","562","77231","68183","328","1167","192","49237","1102","197,440","1376","11072"
"GARRETT","217","122","21","12","0","0","0","6","2","41","3699","13695","23","111","22","2852","152","20,554","161","898"
"HARFORD","2082","1076","192","125","1","5","1","118","18","460","65098","80210","245","1189","221","41536","1629","190,128","1730","11107"
"HOWARD","2810","1777","335","205","3","14","1","249","53","860","121939","48789","362","916","148","57681","1976","231,811","8191","11811"
"KENT","145","87","14","14","0","1","0","12","2","43","5852","5230","21","67","23","2616","114","13,923","273","641"
"MONTGOMERY","2678","2685","607","270","11","21","15","838","151","1,913","411841","97225","1118","2210","452","157972","5335","676,153","19052","53081"
"PR. GEORGE'S","2877","994","268","56","3","6","4","218","57","612","460343","37315","785","1313","597","85347","10677","596,377","23749","34787"
"QUEEN ANNE'S","484","220","56","35","1","3","0","56","12","163","11192","19816","50","227","38","8148","297","39,768","286","1617"
"ST. MARY'S","724","332","49","49","0","3","1","42","5","149","25090","31611","107","463","87","16492","627","74,477","2037","6683"
"SOMERSET","163","111","13","8","0","0","0","10","1","32","5574","6042","24","66","18","2298","113","14,135","239","447"
"TALBOT","231","104","13","15","0","0","0","6","2","36","10864","11725","45","146","21","5705","216","28,722","259","1163"
"WASHINGTON","1595","897","188","115","3","9","0","117","34","466","31579","44325","173","631","132","22135","830","99,805","4257","8505"
"WICOMICO","662","341","56","46","2","6","1","35","8","154","26834","24045","107","342","112","13715","654","65,809","627","3411"
"WORCESTER","506","248","36","29","0","4","0","26","10","105","13841","19264","55","216","40","8514","461","42,391","267","3461"
"TOTAL","39,387","24,336","4,485","2,633","68","169","75","3,761","811","12,002","2,243,765","994,711","6,614","17,623","4,578","840,401","40,959","4,148,651","103,640","233,501"
