"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","LIB","UNAF","OTH","TOTAL","DEM","REP","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","160","62","17","16","1","15","2","51","11597","22858","237","8595","553","43,840","65","2430"
"ANNE ARUNDEL","1614","965","145","115","10","110","30","410","175117","129747","2356","99917","4134","411,271","95","27660"
"BALTIMORE CITY","2390","1400","181","35","5","67","43","331","301112","27956","1113","58238","5721","394,140","25","22169"
"BALTIMORE CO.","2698","1661","236","144","14","120","56","570","309657","136901","2570","110954","7673","567,755","175","29541"
"CALVERT","254","132","25","22","1","13","5","66","23818","27925","457","15605","720","68,525","61","4935"
"CAROLINE","83","34","10","5","1","5","0","21","6185","10601","122","4658","242","21,808","11","1247"
"CARROLL","409","231","24","29","5","35","7","100","33571","63694","819","29283","1326","128,693","128","5963"
"CECIL","238","146","18","25","0","28","3","74","20565","32366","479","16997","929","71,336","39","4782"
"CHARLES","628","306","60","18","2","27","3","110","74627","23027","427","22553","1160","121,794","517","8553"
"DORCHESTER","127","55","6","6","1","6","0","19","9614","9081","114","3929","252","22,990","32","923"
"FREDERICK","845","430","74","56","5","48","19","202","76905","67589","1164","49724","1667","197,049","92","12940"
"GARRETT","59","30","5","4","0","3","2","14","3694","13677","109","2903","205","20,588","5","950"
"HARFORD","703","348","67","64","11","62","22","226","65119","80265","1210","42372","2142","191,108","230","10981"
"HOWARD","820","480","72","45","3","60","21","201","121618","48289","921","58404","2495","231,727","70","12884"
"KENT","59","25","4","1","0","3","0","8","5834","5231","67","2659","154","13,945","16","696"
"MONTGOMERY","2181","1859","308","98","10","164","47","627","410222","96638","2235","161311","7073","677,479","1118","58972"
"PR. GEORGE'S","3812","2671","458","90","10","140","61","759","459148","37402","1364","88531","12267","598,712","24405","37609"
"QUEEN ANNE'S","169","60","11","11","1","3","3","29","11097","19819","227","8328","384","39,855","5","1827"
"ST. MARY'S","304","134","17","24","2","26","3","72","25063","31647","463","16824","850","74,847","206","6931"
"SOMERSET","46","23","8","5","1","1","2","17","5554","6088","66","2329","157","14,194","11","440"
"TALBOT","106","62","10","5","0","5","2","22","10757","11699","146","5769","287","28,658","16","1303"
"WASHINGTON","504","238","42","25","2","32","10","111","31200","44001","629","22378","1135","99,343","87","9729"
"WICOMICO","288","117","23","18","1","11","10","63","26727","24000","338","13912","884","65,861","34","3771"
"WORCESTER","170","77","20","9","1","8","5","43","13729","19274","219","8627","574","42,423","23","2583"
"TOTAL","18,667","11,546","1,841","870","87
992","","356","4,146","2,232,530","989,775","17,852","854,800","52,984","4,147,941","27,466","269,819"
