"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","","BAR UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","296","64","71","21","0","29","14","135","13043","21971","6","7601","677","43,298","4","2500"
"ANNE ARUNDEL","2819","1311","262","319","1","315","129","1,026","167899","135258","54","89423","4668","397,302","158","22763"
"BALTIMORE CITY","4629","2288","296","173","2","325","112","908","305229","30143","63","52003","4511","391,949","18","19742"
"BALTIMORE CO.","3987","3201","491","274","3","370","194","1,332","313549","143219","91","99708","8774","565,341","69","23243"
"CALVERT","378","253","37","57","0","61","21","176","24050","27693","5","14228","935","66,911","9","3471"
"CAROLINE","135","60","23","19","0","14","6","62","6645","9721","0","4115","257","20,738","1","874"
"CARROLL","684","314","86","111","0","110","37","344","32865","63827","17","25558","1820","124,087","21","5991"
"CECIL","406","209","66","38","0","64","26","194","21390","29400","8","15175","1122","67,095","14","5888"
"CHARLES","859","497","94","54","0","62","29","239","70491","24416","11","19578","1111","115,607","44","7558"
"DORCHESTER","170","49","35","5","0","6","5","51","9797","8482","2","3265","225","21,771","5","973"
"FREDERICK","1516","637","105","160","0","188","54","507","68095","67857","23","42299","1750","180,024","5","10981"
"GARRETT","95","54","11","10","0","15","4","40","4036","13062","3","2600","255","19,956","4","1081"
"HARFORD","1292","519","175","114","0","137","57","483","64830","78988","27","37651","2576","184,072","144","9393"
"HOWARD","1631","888","129","176","1","273","81","660","113643","54030","23","51749","3270","222,715","34","10775"
"KENT","70","29","16","15","0","4","5","40","5953","4868","1","2278","183","13,283","21","732"
"MONTGOMERY","3117","2721","325","303","2","568","239","1,437","399721","109264","59","149305","9340","667,689","113","62884"
"PR. GEORGE'S","4790","2640","370","121","1","225","196","913","464493","39545","87","75754","13476","593,355","962","33267"
"QUEEN ANNE'S","223","104","27","27","0","22","8","84","10786","18451","4","7093","488","36,822","1","1657"
"ST. MARY'S","512","248","58","46","1","50","18","173","25632","29941","7","15338","1021","71,939","19","6694"
"SOMERSET","147","51","28","6","0","4","5","43","5753","5518","0","1994","154","13,419","2","527"
"TALBOT","161","95","25","19","0","14","10","68","10358","11581","2","5081","384","27,406","0","1246"
"WASHINGTON","738","315","118","63","0","66","35","282","32303","43118","16","20354","1484","97,275","31","8269"
"WICOMICO","471","229","58","42","0","41","18","159","26501","23334","11","12173","965","62,984","0","3458"
"WORCESTER","459","118","34","29","0","29","8","100","13867","17609","4","7435","602","39,517","12","2494"
"TOTAL","29,585","16,894","2,940","2,202","11","2,992","1,311","9,456","2,210,929","1,011,296","524","761,758","60,048","4,044,555","1,691","246,461"
