COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,242,52,5,6,0,0,0,0,9,1,21,"17,136","19,762",134,3,103,94,"4,954",488,"42,674",788,"2,548"
ANNE ARUNDEL,869,453,64,89,2,0,3,0,76,2,236,"148,440","121,953",851,23,"1,807",942,"59,329",96,"333,441","1,342","25,086"
BALTIMORE CITY,934,509,37,34,4,0,0,1,33,2,111,"296,229","32,447","1,472",8,812,596,"38,287","1,406","371,257","3,602","14,727"
BALTIMORE CO.,"1,056",881,75,105,4,0,2,1,59,9,255,"292,791","128,245","1,299",18,"1,742","1,228","59,652","5,977","490,952","3,241","31,415"
CALVERT,92,57,6,9,0,0,0,0,5,3,23,"22,776","21,385",108,5,157,123,"8,893",544,"53,991",156,"5,396"
CAROLINE,18,16,2,4,0,0,0,1,1,0,8,"7,575","7,108",31,3,100,54,"2,788",93,"17,752",152,"1,276"
CARROLL,156,88,16,26,0,0,0,1,16,1,60,"33,958","52,930",241,3,549,235,"15,478",30,"103,424",130,"5,739"
CECIL,137,17,14,9,2,0,0,0,9,2,36,"24,486","22,260",137,8,173,177,"10,502",800,"58,543","1,684","4,083"
CHARLES,183,135,7,22,1,0,0,0,15,1,46,"47,354","24,457",120,4,507,160,"12,032",581,"85,215","1,024","7,107"
DORCHESTER,179,36,0,4,0,0,0,0,3,0,7,"10,273","6,767",23,1,59,36,"1,992",160,"19,311",217,"1,470"
FREDERICK,833,250,15,26,0,0,1,1,16,0,59,"51,738","56,649",342,12,638,364,"24,561",43,"134,347","3,075","10,610"
GARRETT,86,20,2,2,0,0,0,1,1,0,6,"5,039","10,875",32,1,37,32,"1,544",205,"17,765",270,"1,228"
HARFORD,372,"3,123",37,29,0,0,1,0,21,1,89,"63,678","61,543",269,14,679,426,"20,349",676,"147,634","1,115","6,796"
HOWARD,465,307,12,26,0,0,0,1,20,8,67,"83,751","54,051",441,12,"1,215",416,"30,552","1,914","172,352","1,213","19,070"
KENT,12,310,0,2,0,0,0,0,3,0,5,"6,259","4,322",38,2,36,24,"1,498",128,"12,307",80,643
MONTGOMERY,"1,460",703,47,67,3,0,4,1,108,14,244,"317,217","124,026","1,389",14,"4,932","1,116","109,263","2,595","560,552","2,305","45,931"
PR. GEORGE'S,"1,450",907,40,68,1,0,2,3,60,42,216,"395,178","46,914",661,9,"1,306",629,"36,439","26,706","507,842",152,"10,402"
QUEEN ANNE'S,94,24,10,6,0,0,0,1,1,0,18,"11,449","13,872",64,1,92,88,"4,015",233,"29,814",173,"1,811"
ST. MARY'S,205,38,11,11,1,0,0,0,11,1,35,"25,233","22,790",153,3,154,147,"9,659",592,"58,731",22,"3,343"
SOMERSET,9,19,1,0,0,0,0,0,2,0,3,"7,332","4,014",17,1,29,13,"1,387",106,"12,899",24,867
TALBOT,76,34,3,6,0,0,0,0,1,1,11,"10,186","10,852",53,0,54,66,"3,356",319,"24,886",320,"2,723"
WASHINGTON,379,375,34,40,0,0,0,0,24,2,100,"32,511","36,799",214,11,336,214,"12,754",962,"83,801",589,"8,203"
WICOMICO,197,111,8,6,0,0,0,0,15,1,30,"25,231","19,373",98,2,147,119,"7,444",589,"53,003",132,"4,724"
WORCESTER,220,36,11,15,0,0,0,0,7,1,34,"15,338","13,059",64,0,112,83,"4,701",461,"33,818","1,775","3,616"
TOTAL,"9,724","8,501",457,612,18,0,13,12,516,92,"1,720","1,951,158","916,453","8,251",158,"15,776","7,382","481,429","45,704","3,426,311","23,581","218,814"
