COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,432,55,23,75,0,0,0,0,5,5,108,12655,22637,74,209,27,21,7804,407,"43,834",1058,2036
ANNE ARUNDEL,3749,954,178,908,2,13,0,0,106,15,"1,222",174949,134255,563,1995,218,117,91866,2796,"406,759",18910,21445
BALTIMORE CITY,4476,1237,171,170,0,5,0,1,69,17,433,312995,30073,812,975,328,137,53478,3485,"402,283",14739,13049
BALTIMORE CO.,8125,3101,485,886,10,18,3,3,254,78,"1,737",319273,144490,918,2383,355,143,104141,6050,"577,753",15100,19666
CALVERT,549,191,25,138,1,1,0,0,16,8,189,24419,28012,88,359,35,22,14469,580,"67,984",1883,3732
CAROLINE,151,44,14,34,0,0,0,0,2,2,52,6552,10213,32,89,18,2,4306,172,"21,384",215,841
CARROLL,1451,466,89,435,1,4,0,0,63,21,613,34007,64674,169,719,50,34,26878,1100,"127,631",5806,4202
CECIL,482,161,48,101,0,1,0,0,9,5,164,21549,31283,107,376,51,11,15495,726,"69,598",2604,3654
CHARLES,1282,303,69,144,0,7,0,0,38,10,268,74182,24988,115,367,91,21,20699,792,"121,255",6213,4642
DORCHESTER,233,43,6,28,0,0,0,0,2,0,36,9860,8835,19,88,14,4,3427,159,"22,406",1272,699
FREDERICK,1825,421,71,384,1,9,0,0,37,9,511,74531,69914,285,1007,93,58,45189,872,"191,949",3655,5610
GARRETT,68,22,8,22,0,0,0,0,3,2,35,3921,13481,22,91,12,5,2634,155,"20,321",414,899
HARFORD,1780,366,77,433,0,7,0,1,45,9,572,66581,80333,236,1032,84,53,38974,1567,"188,860",10284,8339
HOWARD,2112,371,166,500,1,16,0,0,201,45,929,121334,52781,323,846,69,50,54132,2039,"231,574",10642,7159
KENT,89,28,7,18,0,0,0,0,3,0,28,5984,5031,20,49,11,2,2350,124,"13,571",163,604
MONTGOMERY,7264,4398,681,437,12,29,2,4,441,90,"1,696",414842,105628,1045,2048,246,181,150689,5710,"680,389",31572,51729
PR. GEORGE'S,4028,1570,222,103,5,6,3,0,125,51,515,477566,40059,708,1185,279,142,79068,11065,"610,072",31557,16895
QUEEN ANNE'S,389,75,19,115,0,0,0,0,9,2,145,11125,19181,43,204,13,5,7428,289,"38,288",747,1227
ST. MARY'S,780,172,34,158,2,0,1,0,19,2,216,26613,30981,101,408,42,20,16057,619,"74,841",1972,4994
SOMERSET,91,45,4,19,0,0,0,0,0,0,23,5750,5807,22,56,8,5,2136,100,"13,884",376,277
TALBOT,215,58,9,48,0,0,0,0,3,2,62,10861,11782,30,121,12,4,5321,256,"28,387",1367,853
WASHINGTON,995,254,42,167,2,2,1,0,34,8,256,32833,44768,135,541,58,24,21092,877,"100,328",3752,5705
WICOMICO,537,171,26,103,0,1,0,0,18,5,153,27607,23946,97,311,52,16,12738,671,"65,438",1123,2447
WORCESTER,388,91,15,105,2,1,0,0,10,7,140,14108,18361,48,185,12,8,7733,485,"40,940",4097,2089
TOTAL,"41,491","14,597","2,489","5,531",39,120,10,9,"1,512",393,"10,103","2,284,097","1,021,513","6,012","15,644","2,178","1,085","788,104","41,096","4,159,729","169,521","182,793"
