"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","","BAR UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","151","60","55","24","0","24","24","127","13343","21809","0","7330","727","43,209","7","2101"
"ANNE ARUNDEL","1496","977","319","249","0","194","321","1,083","164866","135592","9","86357","4973","391,797","122","18816"
"BALTIMORE CITY","4750","1403","221","115","0","119","134","589","305182","30727","6","50333","4460","390,708","7544","17048"
"BALTIMORE CO.","2176","2082","538","249","0","223","168","1,178","311770","143491","12","95780","9191","560,244","2028","19645"
"CALVERT","182","116","55","33","2","29","28","147","23727","27708","1","13672","996","66,104","36","2911"
"CAROLINE","52","61","24","2","0","9","5","40","6774","9582","0","3945","260","20,561","10","716"
"CARROLL","278","226","77","65","0","60","65","267","32482","63751","1","24772","1976","122,982","37","5109"
"CECIL","203","148","51","35","0","28","5","119","21461","28880","0","14613","1161","66,115","7","5146"
"CHARLES","370","280","88","43","0","47","20","198","69121","24856","1","18726","1169","113,873","211","6032"
"DORCHESTER","247","71","16","10","0","9","3","38","9824","8357","0","3127","231","21,539","98","894"
"FREDERICK","736","567","115","116","0","108","101","440","65757","67585","2","40346","2078","175,768","50","221"
"GARRETT","49","34","20","7","0","9","8","44","4080","12922","0","2533","276","19,811","11","922"
"HARFORD","1143","506","195","88","0","86","93","462","64415","78513","3","36312","2800","182,043","2821","7791"
"HOWARD","909","499","117","148","0","101","164","530","109949","55134","5","49782","3446","218,316","1933","8911"
"KENT","72","20","3","5","0","3","15","26","6011","4825","2","2164","203","13,205","90","640"
"MONTGOMERY","7078","1986","324","276","0","277","60","937","395917","112544","3","146183","9954","664,601","19011","52721"
"PR. GEORGE'S","7335","2417","425","175","0","260","127","987","462050","40165","9","71843","13951","588,018","21509","27631"
"QUEEN ANNE'S","139","116","20","20","0","12","11","63","10737","18249","0","6822","516","36,324","19","1403"
"ST. MARY'S","243","132","60","28","0","33","38","159","25477","29611","0","14714","1071","70,873","97","5934"
"SOMERSET","32","22","13","2","0","1","2","18","5854","5426","0","1914","161","13,355","1","433"
"TALBOT","97","95","16","18","0","7","15","56","10313","11641","0","4965","405","27,324","380","1008"
"WASHINGTON","427","270","107","55","0","51","9","222","32062","42751","1","19534","1581","95,929","106","7113"
"WICOMICO","321","167","61","16","0","27","21","125","26444","23118","1","11633","978","62,174","386","2943"
"WORCESTER","155","102","18","24","0","20","9","71","13928","17257","0","7091","642","38,918","54","2157"
"TOTAL","28,641","12,357","2,938","1,803","2","1,737","1,446","7,926","2,191,544","1,014,494","56","734,491","63,206","4,003,791","56,568","198,246"
