"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","189","53","15","15","0","1","2","5","1","39","15,252","20,054","1","112","168","6,055","400","42,042","18","2,963"
"ANNE ARUNDEL","1,577","639","174","199","0","5","6","97","4","485","148,550","124,227","25","822","1,513","73,382","247","348,766","109","21,933"
"BALTIMORE CITY","2,770","1,077","93","61","1","1","1","53","10","220","296,173","30,370","55","1,231","953","44,906","1,370","375,058","504","39,814"
"BALTIMORE CO.","4,980","1,952","493","305","0","9","6","138","41","992","295,520","131,072","28","1,274","1,978","79,702","5,510","515,084","3,218","33,998"
"CALVERT","352","201","15","18","0","0","0","13","3","49","23,376","23,544","3","134","222","11,577","480","59,336","37","3,612"
"CAROLINE","120","54","12","9","0","0","0","4","0","25","7,268","7,738","2","31","69","3,294","143","18,545","15","1,287"
"CARROLL","427","164","64","60","0","1","2","17","7","151","32,638","57,609","8","273","477","20,653","980","112,638","39","4,124"
"CECIL","368","240","22","9","0","0","0","16","2","49","23,246","23,891","8","131","249","12,718","672","60,915","48","5,300"
"CHARLES","475","223","30","31","0","1","1","18","3","84","56,285","24,617","6","115","276","15,798","534","97,631","93","6,952"
"DORCHESTER","102","48","19","4","0","0","0","5","1","29","10,421","7,128","2","27","54","2,555","121","20,308","61","1,361"
"FREDERICK","1,982","342","58","57","0","1","2","34","1","153","53,925","60,013","12","396","659","32,114","103","147,222","808","7,823"
"GARRETT","46","31","5","4","0","0","0","1","3","13","4,683","11,769","0","39","63","2,167","191","18,912","15","1,005"
"HARFORD","791","409","117","69","0","0","5","51","5","247","62,295","67,277","8","297","746","28,369","1,202","160,194","126","7,521"
"HOWARD","1,443","346","59","73","0","4","2","39","11","188","92,607","56,383","8","483","801","41,645","2,364","194,291","45","10,097"
"KENT","55","32","6","3","0","0","0","1","1","11","6,120","4,564","0","34","53","1,825","132","12,728","3","655"
"MONTGOMERY","3,322","1,586","165","165","0","5","7","161","30","533","351,237","123,900","29","1,513","1,952","144,516","3,197","626,344","425","36,310"
"PR. GEORGE'S","4,863","2,358","193","124","0","4","1","114","117","553","446,704","45,497","50","763","1,023","58,685","17,567","570,289","2,990","18,819"
"QUEEN ANNE'S","157","67","17","13","0","0","0","10","1","41","11,311","15,543","4","56","135","5,753","204","33,006","15","783"
"ST. MARY'S","339","164","17","10","0","0","0","7","0","34","25,486","25,887","11","139","269","12,598","443","64,833","242","3,142"
"SOMERSET","64","31","5","6","0","0","0","2","2","15","6,847","4,566","6","16","24","1,630","106","13,195","25","1,127"
"TALBOT","153","69","13","10","0","0","0","6","4","33","10,005","11,086","1","51","99","4,258","244","25,744","13","1,438"
"WASHINGTON","440","195","37","32","0","0","0","10","2","81","31,167","38,468","17","218","355","16,801","321","87,347","169","6,709"
"WICOMICO","408","156","30","22","0","0","2","19","5","78","26,349","21,056","12","115","224","10,086","611","58,453","412","3,316"
"WORCESTER","194","89","15","18","0","0","1","12","2","48","14,980","14,575","8","74","142","6,310","348","36,437","213","2,506"
"TOTAL","25,617","10,526","1,674","1,317","1","32","38","833","256","4,151","2,052,445","950,834","304","8,344","12,504","637,397","37,490","3,699,318","9,643","222,595"
