COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,178,86,101,30,1,5,75,3,215,"13,662","21,797",139,290,"7,284",321,"43,493",4,"3,006"
ANNE ARUNDEL,"2,499","3,681",547,376,16,35,817,47,"1,838","164,370","136,355",846,"2,923","85,006","1,444","390,944",14,"21,740"
BALTIMORE CITY,"4,464","3,743",742,176,27,28,458,37,"1,468","307,561","31,013","1,272","1,493","48,361","1,786","391,486",9,"25,548"
BALTIMORE CO.,"3,758","4,754",960,436,30,53,947,112,"2,538","312,943","144,100","1,421","3,255","93,738","4,671","560,128",4,"26,834"
CALVERT,224,389,68,62,4,6,108,5,253,"23,964","27,819",135,493,"13,598",386,"66,395",4,"3,948"
CAROLINE,213,73,10,11,0,2,13,2,38,"6,846","9,496",26,124,"3,903",111,"20,506",0,"1,020"
CARROLL,937,721,118,119,5,15,168,17,442,"32,661","63,926",255,949,"24,511",840,"123,142",2,"7,144"
CECIL,462,399,94,52,5,6,111,7,275,"21,628","28,622",149,444,"14,455",570,"65,868",3,"7,303"
CHARLES,411,673,115,64,2,5,103,12,301,"68,932","25,149",168,517,"18,536",515,"113,817",3,"7,245"
DORCHESTER,171,98,35,12,1,2,16,3,69,"9,959","8,288",25,106,"3,086",105,"21,569",0,"1,304"
FREDERICK,"1,005","1,382",169,148,10,16,349,18,710,"65,666","67,977",449,"1,374","40,133",361,"175,960",1,"10,615"
GARRETT,52,70,28,20,0,3,35,3,89,"4,203","12,927",36,112,"2,520",142,"19,940",0,"1,325"
HARFORD,842,680,234,160,5,24,275,29,727,"65,275","78,832",403,"1,408","35,888","1,122","182,928",8,"9,191"
HOWARD,"1,250","2,011",302,207,4,19,515,166,"1,213","109,943","55,966",510,"1,297","49,254","1,835","218,805",22,"13,280"
KENT,95,80,13,6,1,1,8,1,30,"6,076","4,832",30,82,"2,129",101,"13,250",1,842
MONTGOMERY,"5,609","9,518","1,119",682,48,77,"2,573",265,"4,764","396,374","114,405","1,602","3,157","145,513","5,268","666,319",50,"76,960"
PR. GEORGE'S,"4,829","5,325",722,181,24,20,607,105,"1,659","460,724","40,713","1,060","1,709","69,474","11,354","585,034",20,"41,492"
QUEEN ANNE'S,345,184,46,26,1,5,35,2,115,"10,845","18,153",70,260,"6,705",181,"36,214",0,"2,022"
ST. MARY'S,413,417,81,41,1,3,95,6,227,"26,011","29,904",139,573,"14,767",413,"71,807",4,"5,971"
SOMERSET,141,42,12,2,0,1,10,3,28,"5,911","5,353",20,64,"1,846",72,"13,266",63,877
TALBOT,299,282,34,29,0,2,45,3,113,"10,374","11,664",47,165,"4,911",209,"27,370",5,"1,415"
WASHINGTON,551,516,137,87,6,13,253,20,516,"32,453","42,938",248,726,"19,510",590,"96,465",2,"9,236"
WICOMICO,491,336,94,58,1,5,73,10,241,"26,798","23,100",142,419,"11,352",434,"62,245",0,"3,965"
WORCESTER,238,276,64,35,0,6,75,6,186,"14,184","17,282",84,250,"7,047",320,"39,167",14,"2,343"
TOTAL,"29,477","35,736","5,845","3,020",192,352,"7,764",882,"18,055","2,197,363","1,020,611","9,276","22,190","723,527","33,151","4,006,118",233,"284,626"
