"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","111","60","14","11","0","0","0","0","6","0","31","16,621","19,320","119","1","0","78","4,633","480","41,252","16","2,802"
"ANNE ARUNDEL","1,824","3,177","129","124","5","0","0","4","155","1","418","139,511","118,392","833","0","0","804","56,027","126","315,693","1,039","27,625"
"BALTIMORE CITY","2,217","1,245","84","61","9","0","0","2","120","11","287","271,968","32,258","1,468","3","0","477","35,687","1,411","343,272","282","16,772"
"BALTIMORE CO.","2,524","1,698","146","109","3","0","0","5","97","10","370","283,170","128,774","1,334","5","0","1,041","58,109","6,256","478,689","425","27,625"
"CALVERT","176","114","13","19","0","0","0","0","21","2","55","22,011","21,595","119","0","0","112","8,583","587","53,007","32","3,978"
"CAROLINE","62","53","9","3","0","0","0","0","5","1","18","7,081","6,812","29","0","0","50","2,554","162","16,688","17","1,344"
"CARROLL","329","234","31","26","2","0","0","0","24","1","84","33,553","52,779","228","0","0","205","15,024","30","101,819","296","5,594"
"CECIL","203","71","17","22","0","0","0","0","19","3","61","23,829","21,851","121","0","0","141","9,950","830","56,722","97","938"
"CHARLES","345","337","29","25","0","0","0","0","37","3","94","43,585","24,999","121","0","0","130","11,713","952","81,500","27","6,306"
"DORCHESTER","93","51","5","5","0","0","0","0","3","1","14","9,646","6,581","23","0","0","28","1,965","185","18,428","105","1,433"
"FREDERICK","394","211","26","32","0","0","0","0","16","0","74","48,208","54,975","333","0","0","282","22,774","39","126,611","239","11,402"
"GARRETT","56","10","5","3","0","0","0","0","1","1","10","5,047","10,984","33","0","0","34","1,474","209","17,781","2","1,023"
"HARFORD","657","2,064","59","44","0","0","0","2","38","2","145","61,620","60,592","264","0","0","329","19,509","692","143,006","273","10,353"
"HOWARD","771","550","55","51","0","0","0","0","59","13","178","80,256","54,120","436","2","0","372","29,919","1,934","167,039","571","17,132"
"KENT","57","43","6","7","0","0","0","0","5","1","19","6,142","4,397","43","0","0","23","1,533","138","12,276","115","203"
"MONTGOMERY","2,296","1,565","155","172","8","0","0","4","312","14","665","296,194","121,714","1,334","5","0","941","104,469","2,512","527,169","41","51,415"
"PR. GEORGE'S","2,459","1,449","108","108","5","0","0","3","196","129","549","350,989","46,408","616","8","0","518","31,171","28,543","458,253","116","13,443"
"QUEEN ANNE'S","36","29","6","2","0","0","0","0","4","1","13","10,840","13,220","53","0","0","72","3,576","230","27,991","124","2,097"
"ST. MARY'S","214","66","23","10","1","0","0","0","19","1","54","23,548","21,632","144","1","0","122","8,858","605","54,910","9","3,889"
"SOMERSET","27","25","3","3","0","0","0","0","2","1","9","6,792","3,953","12","0","0","14","1,340","114","12,225","36","753"
"TALBOT","83","56","9","9","1","0","0","0","5","0","24","9,516","10,466","51","0","0","59","3,089","304","23,485","52","4,018"
"WASHINGTON","597","243","25","25","1","0","0","0","39","2","92","31,679","36,968","217","0","0","195","12,446","1,068","82,573","18","6,752"
"WICOMICO","335","159","24","21","0","0","0","0","20","3","68","23,351","18,789","100","0","0","111","7,236","618","50,205","160","4,336"
"WORCESTER","149","76","19","10","0","0","0","0","9","2","40","14,950","12,763","61","0","0","79","4,727","486","33,066","51","3,354"
"TOTAL","16,015","13,586","1,000","902","35","0","0","20","1,212","203","3,372","1,820,107","904,342","8,092","25","0","6,217","456,366","48,511","3,243,660","4,143","224,587"
