"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","449","42","11","9","1","0","0","0","6","2","29","16,910","19,670","111","7","51","2","4,375","434","41,560","208","2,443"
"ANNE ARUNDEL","1,961","973","186","228","7","1","6","0","188","7","623","135,926","119,613","854","95","597","18","54,689","70","311,862","17","15,734"
"BALTIMORE CITY","269","236","14","19","0","0","0","0","16","4","53","262,755","31,606","1,599","56","372","27","34,320","995","331,730","15","18,827"
"BALTIMORE CO.","2,579","730","69","69","2","0","3","0","43","8","194","272,424","126,749","1,312","73","799","8","54,300","5,915","461,580","4,747","27,302"
"CALVERT","60","49","6","15","0","0","0","0","5","1","27","20,480","20,773","100","9","80","0","7,860","488","49,790","62","5,979"
"CAROLINE","20","3","0","4","0","0","0","0","0","0","4","6,789","6,538","26","8","59","1","2,481","138","16,040","279","1,183"
"CARROLL","150","64","7","17","0","0","0","0","6","1","31","31,918","50,693","213","25","148","1","13,439","12","96,449","1,337","9,822"
"CECIL","148","28","17","23","1","0","1","0","15","0","57","22,481","20,782","115","27","98","1","9,180","725","53,409","189","4,256"
"CHARLES","178","81","12","11","0","0","0","0","7","3","33","39,353","25,769","101","17","95","3","11,950","911","78,199","1,699","3,751"
"DORCHESTER","90","25","4","4","0","0","0","0","1","0","9","9,652","6,655","21","5","19","1","1,885","185","18,423","62","783"
"FREDERICK","257","124","15","26","0","0","1","0","18","2","62","46,796","57,624","345","11","222","4","23,039","64","128,105","58","14,635"
"GARRETT","188","16","7","6","0","0","0","0","1","1","15","5,064","11,003","27","3","26","1","1,363","203","17,690","79","524"
"HARFORD","1,881","362","25","23","0","0","0","0","10","2","60","59,717","58,880","249","21","223","3","17,860","335","137,288","4,065","10,820"
"HOWARD","507","188","16","37","0","0","1","0","25","4","83","77,232","55,710","435","22","286","8","29,692","1,786","165,171","148","15,567"
"KENT","59","12","0","1","0","0","0","0","3","0","4","5,878","4,186","38","0","12","1","1,417","126","11,658","250","466"
"MONTGOMERY","1,501","551","97","136","7","1","1","0","153","1","396","276,762","124,877","1,378","61","722","20","105,450","1,394","510,664","65","33,594"
"PR. GEORGE'S","916","367","37","27","0","0","0","0","16","36","116","329,429","48,719","627","78","461","27","28,312","34,487","442,140","10","28,856"
"QUEEN ANNE'S","51","7","1","2","0","0","0","0","4","0","7","10,903","13,284","52","5","70","1","3,765","239","28,319","232","843"
"ST. MARY'S","904","44","9","17","0","0","0","0","10","1","37","22,757","21,304","129","18","90","2","8,475","580","53,355","838","2,156"
"SOMERSET","36","68","3","2","0","0","0","0","2","0","7","7,061","4,017","11","2","8","0","1,338","103","12,540","8","867"
"TALBOT","156","28","3","4","0","0","0","0","6","0","13","10,195","11,309","59","6","68","2","3,522","334","25,495","326","1,173"
"WASHINGTON","368","135","24","20","0","0","0","0","17","1","62","30,336","36,329","208","13","128","5","11,359","964","79,342","2,700","7,144"
"WICOMICO","73","28","3","8","0","0","0","0","9","0","20","22,914","18,815","80","8","87","0","6,933","581","49,418","6","3,102"
"WORCESTER","119","12","2","2","0","0","0","1","6","1","12","14,642","12,502","56","5","55","1","4,386","409","32,056","1,115","2,897"
"TOTAL","12,920","4,173","568","710","18","2","13","1","567","75","1,954","1,738,374","907,407","8,146","575","4,776","137","441,390","51,478","3,152,283","18,515","212,724"
