COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,132,55,29,6,0,1,10,1,47,"13,826","21,317",137,283,"7,146",302,"43,011",36,"2,963"
ANNE ARUNDEL,842,379,103,88,5,8,78,4,286,"159,952","134,571",837,"2,724","83,017","1,232","382,333",147,"20,940"
BALTIMORE CITY,"1,254",598,75,50,8,4,60,10,207,"300,533","30,907","1,263","1,408","45,734","1,658","381,503",421,"27,140"
BALTIMORE CO.,"1,261",688,154,110,2,8,107,9,390,"306,058","142,275","1,452","3,098","90,974","4,476","548,333",129,"27,661"
CALVERT,114,73,34,15,0,2,12,4,67,"23,620","26,615",138,493,"13,326",393,"64,585",87,"4,217"
CAROLINE,179,20,9,3,1,0,7,0,20,"6,836","9,164",27,108,"3,821",119,"20,075",147,"1,038"
CARROLL,212,101,27,24,2,4,19,4,80,"32,177","63,196",263,906,"24,101",821,"121,464",45,"7,111"
CECIL,166,86,20,15,2,1,24,3,65,"21,297","27,629",154,424,"14,054",564,"64,122",93,"7,465"
CHARLES,263,143,24,36,0,1,25,2,88,"66,284","25,274",156,483,"18,034",493,"110,724",101,"7,707"
DORCHESTER,58,21,6,5,0,0,8,0,19,"9,953","8,080",26,118,"2,978",101,"21,256",20,"1,374"
FREDERICK,394,195,41,35,3,4,51,1,135,"62,287","66,214",451,"1,285","38,541",322,"169,100",73,"11,459"
GARRETT,41,20,5,5,0,1,1,0,12,"4,245","12,714",37,102,"2,470",133,"19,701",2,"1,298"
HARFORD,396,204,63,30,3,3,43,6,148,"64,047","77,235",391,"1,375","34,822","1,114","178,984",154,"9,457"
HOWARD,324,199,38,48,2,1,54,5,148,"105,382","55,796",512,"1,241","47,465","1,828","212,224",53,"14,164"
KENT,25,12,5,3,0,0,5,0,13,"5,969","4,713",25,76,"2,056",104,"12,943",37,845
MONTGOMERY,"1,864",894,136,167,9,11,194,20,537,"377,645","114,578","1,645","2,982","142,781","4,637","644,268","1,247","81,141"
PR. GEORGE'S,"2,457","1,631",139,70,5,9,108,15,346,"450,308","40,848","1,046","1,603","66,507","11,552","571,864","1,803","43,160"
QUEEN ANNE'S,51,37,16,6,0,1,7,0,30,"10,674","17,715",80,249,"6,619",177,"35,514",12,"2,081"
ST. MARY'S,170,77,17,21,1,0,14,1,54,"25,471","29,239",133,528,"14,235",413,"70,019",90,"5,873"
SOMERSET,39,16,6,2,1,1,2,2,14,"5,889","5,165",19,56,"1,807",73,"13,009",2,"1,065"
TALBOT,93,45,8,11,0,0,9,0,28,"10,012","11,585",48,154,"4,882",187,"26,868",44,"1,464"
WASHINGTON,267,125,27,17,1,2,24,1,72,"31,838","42,203",262,689,"19,128",461,"94,581",26,"9,152"
WICOMICO,270,92,19,13,0,1,11,3,47,"26,402","22,753",145,411,"10,935",436,"61,082",136,"4,105"
WORCESTER,96,53,18,7,0,0,10,1,36,"14,071","16,456",85,244,"6,959",291,"38,106",161,"2,324"
TOTAL,"10,968","5,764","1,019",787,45,63,883,92,"2,889","2,134,776","1,006,242","9,332","21,040","702,392","31,887","3,905,669","5,066","295,204"
