"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL
107
436
417
618
67
9
70
45
134
22
214
14
212
372
4
1,134
102
55
17
7
15
238
26
24","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","294","149","27","34","1011","","","","38","5","","17,037","19,689","132","2","49","93","4,931","495","42,428","129","2,540"
"ANNE ARUNDEL","2,070","1,230","134","152","1125","","","","133","8","","148,095","121,914","851","20","1,529","928","58,845","96","332,278","42","25,407"
"BALTIMORE CITY","2,563","2,162","94","173","4063","","","","129","8","","296,716","32,552","1,498","7","693","600","38,254","1,410","371,730","75","15,131"
"BALTIMORE CO.","4,342","2,383","228","203","8175","","","","147","19","","298,775","131,495","1,354","12","1,454","1,227","61,583","6,206","502,106","11,673","19,876"
"CALVERT","294","151","17","28","0000","","","","20","2","","23,461","22,326","118","4","129","125","9,253","569","55,985","240","3,593"
"CAROLINE","304","45","2400003","","","","","","","0","","7,551","7,113","30","2","91","55","2,753","95","17,690","0","1,242"
"CARROLL","221","170","25","27","1010","","","","16","0","","34,660","54,273","249","3","470","231","15,893","28","105,807","40","5,168"
"CECIL","179","33","9","14","0001","","","","16","5","","24,810","22,501","143","7","128","173","10,611","823","59,196","415","3,174"
"CHARLES","459","288","35","68","0001","","","","25","5","","48,835","25,691","124","3","433","162","12,678","626","88,552","27","5,550"
"DORCHESTER","197","38","7200009","","","","","","","4","","10,264","6,785","25","1","45","34","2,008","168","19,330","533","1,409"
"FREDERICK","789","625","68","89","1001","","","","55","0","","52,125","57,130","353","9","529","349","24,823","51","135,369","110","10,325"
"GARRETT","258","34","2900012","","","","","","","0","","5,150","11,149","32","1","26","34","1,589","207","18,188","20","933"
"HARFORD","698","1,649","64","45","1013","","","","89","9","","64,773","62,466","271","9","504","420","20,834","708","149,985","238","9,447"
"HOWARD","1,900","338","50","52","1143","","","","221","40","","85,214","55,200","459","8","1,136","427","31,192","1,949","175,585","5,044","15,706"
"KENT","112","46","2200000","","","","","","","0","","6,287","4,384","40","2","35","24","1,526","129","12,427","777","534"
"MONTGOMERY","919","976","135","183","8","0","13","7","753","35","","316,594","124,308","1,397","12","4,194","1,088","109,331","2,629","559,553","51","46,827"
"PR. GEORGE'S","134","298","11","22","00","","40","","43","22","","391,631","46,943","659","9","1,079","600","35,577","26,972","503,470","10","11,824"
"QUEEN ANNE'S","116","53","15","12","0012","","","","22","3","","11,384","13,786","61","1","78","86","3,931","232","29,559","0","1,902"
"ST. MARY'S","103","33","7500005","","","","","","","0","","25,083","22,632","151","3","111","140","9,502","595","58,217","0","3,543"
"SOMERSET","8","9","4200001","","","","","","","0","","7,338","4,014","17","1","21","12","1,371","104","12,878","11","852"
"TALBOT","174","85","4710002","","","","","","","1","","10,224","10,882","54","0","42","69","3,362","309","24,942","36","3,576"
"WASHINGTON","1,926","388","67","78","1010","","","","84","7","","32,978","37,549","222","5","258","218","12,985","989","85,204","42","6,289"
"WICOMICO","302","96","12","500008","","","","","","1","","24,707","19,080","88","1","104","109","7,221","580","51,890","4,259","5,570"
"WORCESTER","93","56","12","600005","","","","","","1","","15,644","13,321","70","0","55","91","4,997","486","34,664","337","2,980"
"TOTAL","18,455","11,335","1,031","1,222","28","3","41","33","1,826","175","4,359","1,959,336","927,183","8,398","122","13,193","7,295","485,050","46,456","3,447,033","24,109","203,398"
