"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","127","62","9","10","0","2","7","0","28","16,483","19,272","110","47","4,342","439","40,693","982","2,139"
"ANNE ARUNDEL","2,125","449","78","82","7","2","83","2","254","133,423","116,607","831","645","54,097","151","305,754","17,011","22,983"
"BALTIMORE CITY","1,733","839","9","9","0","0","9","3","30","263,334","31,943","1,602","394","35,322","1,141","333,736","272","18,233"
"BALTIMORE CO.","969","847","112","97","3","3","87","16","318","267,100","124,068","1,278","839","54,164","5,913","453,362","708","37,488"
"CALVERT","65","30","9","11","0","1","11","2","34","20,456","20,590","105","90","7,997","519","49,757","33","4,395"
"CAROLINE","31","48","5","0","1","0","8","1","15","6,723","6,491","24","48","2,332","146","15,764","3","1,392"
"CARROLL","120","106","28","20","1","1","7","0","57","32,181","51,078","220","163","13,872","36","97,550","66","5,313"
"CECIL","278","72","18","22","0","0","18","4","62","22,622","20,828","123","112","9,387","752","53,824","282","3,227"
"CHARLES","171","155","8","13","0","1","11","1","34","38,343","24,355","103","93","11,463","940","75,297","26","6,700"
"DORCHESTER","58","20","5","1","0","0","1","0","7","9,433","6,540","23","20","1,892","187","18,095","113","801"
"FREDERICK","307","359","28","34","2","3","29","0","96","44,638","54,171","321","225","21,694","44","121,093","82","10,717"
"GARRETT","54","27","1","5","0","0","2","0","8","4,846","10,593","29","29","1,312","194","17,003","5","1,116"
"HARFORD","355","1,947","55","27","2","4","26","0","114","59,050","58,455","246","243","17,964","411","136,369","116","10,303"
"HOWARD","590","410","36","52","1","1","38","13","141","74,170","52,908","421","322","28,547","1,790","158,158","100","16,610"
"KENT","24","9","0","2","1","0","2","0","5","5,908","4,219","39","15","1,432","125","11,738","6","268"
"MONTGOMERY","1,690","681","103","126","4","1","163","10","407","270,360","120,152","1,322","763","102,940","1,722","497,259","22,878","52,664"
"PR. GEORGE'S","1,641","564","89","58","2","3","68","74","294","328,687","47,472","629","474","29,655","33,383","440,300","7,591","19,206"
"QUEEN ANNE'S","39","13","7","4","0","0","4","1","16","10,771","13,178","56","74","3,779","243","28,101","126","1,197"
"ST. MARY'S","134","71","11","17","0","0","9","4","41","21,820","20,166","125","91","8,037","564","50,803","77","3,970"
"SOMERSET","259","17","1","3","0","0","0","0","4","6,982","3,951","12","13","1,336","109","12,403","298","395"
"TALBOT","31","16","3","1","0","0","2","1","7","9,983","11,084","61","68","3,483","335","25,014","2","1,607"
"WASHINGTON","247","112","16","19","0","1","16","5","57","29,814","35,652","206","147","11,378","974","78,171","48","7,292"
"WICOMICO","562","74","7","11","0","0","10","2","30","22,473","18,471","91","83","6,868","583","48,569","1,999","4,345"
"WORCESTER","83","20","8","6","0","0","3","0","17","14,831","12,719","54","60","4,513","434","32,611","30","2,706"
"TOTAL","11,693","6,948","646","630","24","23","614","139","2,076","1,714,431","884,963","8,031","5,058","437,806","51,135","3,101,424","52,854","235,067"
