"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","95","39","14","10","0","0","11","6","41","13082","22132","11","0","7655","666","43,546","0","2442"
"ANNE ARUNDEL","1684","1170","162","122","0","0","204","42","530","170610","135362","2","66","89639","4706","400,385","1","22201"
"BALTIMORE CITY","3235","1764","230","80","0","2","187","43","542","307596","30016","0","72","51823","4601","394,108","1","19303"
"BALTIMORE CO.","2901","2016","270","115","0","3","246","61","695","316070","143379","2","109","99806","8798","568,164","4","22489"
"CALVERT","210","152","25","17","0","0","21","3","66","24348","27845","0","10","14241","938","67,382","0","3378"
"CAROLINE","61","21","5","7","0","0","3","0","15","6679","9805","0","0","4143","262","20,889","0","849"
"CARROLL","354","172","36","27","0","0","41","11","115","33466","63871","0","19","25649","1814","124,819","0","5861"
"CECIL","191","0","42","15","0","1","35","5","98","21580","29798","0","9","15227","1116","67,730","0","5759"
"CHARLES","396","376","43","16","0","0","38","8","105","71238","24516","0","11","19772","1137","116,674","0","7375"
"DORCHESTER","67","42","8","0","0","0","7","1","16","9786","8548","0","4","3300","226","21,864","0","937"
"FREDERICK","925","575","66","55","0","0","107","12","240","69521","68110","0","32","42328","1742","181,733","0","10761"
"GARRETT","41","23","4","7","0","0","3","4","18","4049","13129","0","3","2609","247","20,037","0","1063"
"HARFORD","652","229","56","46","0","1","69","21","193","65553","79238","0","31","37759","2578","185,159","0","9180"
"HOWARD","1382","615","78","66","0","1","126","33","304","115958","53740","0","32","51464","3234","224,428","0","10519"
"KENT","46","18","1","6","0","0","4","1","12","5962","4882","0","2","2287","179","13,312","0","711"
"MONTGOMERY","3098","5159","357","273","0","1","644","133","1,408","407319","108586","1","81","149451","9314","674,752","1","61008"
"PR. GEORGE'S","2449","3332","355","73","0","1","274","87","790","467348","39563","4","101","76563","13536","597,115","0","32181"
"QUEEN ANNE'S","136","71","12","9","0","0","8","2","31","10872","18538","0","4","7109","477","37,000","0","1625"
"ST. MARY'S","288","144","24","14","0","0","21","2","61","26069","30136","0","7","15430","1025","72,667","0","6543"
"SOMERSET","29","20","11","5","0","0","3","1","20","5727","5565","0","0","1996","150","13,438","0","498"
"TALBOT","117","85","10","9","0","0","9","3","31","10453","11607","0","3","5046","381","27,490","0","1215"
"WASHINGTON","314","151","38","20","0","0","43","14","115","32713","43381","0","19","20531","1473","98,117","0","8064"
"WICOMICO","199","129","23","11","0","0","17","2","53","26767","23420","0","9","12250","976","63,422","0","3336"
"WORCESTER","233","94","16","9","0","0","10","5","40","13933","17800","0","6","7483","610","39,832","0","2419"
"TOTAL","19,103","16,397","1,886","1,012","0","10","2,131","500","5,539","2,236,699","1,012,967","20","630","763,561","60,186","4,074,063","7","239,717"
