"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","LIB","UNAF","OTH","TOTAL","DEM","REP","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","370","81","11","10","0","18","5","44","11594","22814","231","8548","548","43,735","401","2460"
"ANNE ARUNDEL","3046","1104","168","131","3","124","37","463","174891","129603","2340","99315","4120","410,269","5801","27951"
"BALTIMORE CITY","4261","1769","209","48","3","75","49","384","301095","27909","1109","57819","5708","393,640","5108","22395"
"BALTIMORE CO.","4059","1761","245","113","7","106","62","533","309548","136901","2556","110371","7671","567,047","7610","29791"
"CALVERT","332","123","17","16","1","14","4","52","23791","27902","454","15518","722","68,387","429","4973"
"CAROLINE","117","46","8","9","0","1","3","21","6184","10587","122","4610","242","21,745","9","1263"
"CARROLL","703","227","44","51","3","36","13","147","33515","63642","816","29165","1328","128,466","2698","6033"
"CECIL","491","185","30","21","2","14","11","78","20535","32311","470","16915","928","71,159","335","4826"
"CHARLES","938","367","59","20","1","26","10","116","74463","23012","424","22405","1155","121,459","6158","8687"
"DORCHESTER","231","45","7","1","0","7","1","16","9612","9064","114","3896","251","22,937","84","927"
"FREDERICK","1370","527","78","50","8","56","5","197","76800","67584","1158","49415","1668","196,625","408","13101"
"GARRETT","67","42","4","6","0","6","2","18","3697","13655","109","2887","204","20,552","3","960"
"HARFORD","1254","385","72","48","5","46","18","189","65111","80291","1213","42217","2148","190,980","3260","10999"
"HOWARD","1548","566","96","57","1","58","18","230","121482","48308","912","58159","2492","231,353","1060","13012"
"KENT","100","20","6","3","1","0","3","13","5827","5222","67","2639","154","13,909","72","701"
"MONTGOMERY","4459","2220","320","124","7","176","32","659","410387","96644","2219","160437","7066","676,753","6653","60872"
"PR. GEORGE'S","5993","3346","559","99","12","158","75","903","458555","37292","1343","87395","12178","596,763","17959","37733"
"QUEEN ANNE'S","239","69","14","14","2","4","4","38","11109","19793","225","8258","381","39,766","8","1846"
"ST. MARY'S","421","171","35","20","0","26","3","84","25057","31615","463","16720","847","74,702","626","6883"
"SOMERSET","77","28","5","3","0","3","0","11","5561","6092","67","2327","158","14,205","51","442"
"TALBOT","162","69","12","7","1","5","0","25","10744","11683","146","5723","288","28,584","234","1321"
"WASHINGTON","580","248","43","33","3","34","14","127","31097","43906","627","22209","1144","98,983","1238","9803"
"WICOMICO","394","165","22","16","2","20","9","69","26714","24024","333","13817","885","65,773","767","3810"
"WORCESTER","392","94","12","10","0","14","2","38","13737","19232","222","8587","573","42,351","413","2602"
"TOTAL","31,604","13,658","2,076","910","62
1,027","","380","4,455","2,231,106","989,086","17,740","849,352","52,859","4,140,143","61,385","273,391"
