COUNTY,ADDRESS,NAME,DEM,REP,GRN,CONST,LIB,POP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CONST_ACTIVE,LIB_ACTIVE,POP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,176,86,0,0,0,0,0,0,0,0,0,"16,927","19,657",102,6,46,1,"4,264",419,"41,422",0,"2,396"
ANNE ARUNDEL,"1,721",635,6,5,0,0,0,0,7,5,23,"133,583","118,113",850,75,514,12,"53,201",74,"306,422",0,"16,896"
BALTIMORE CITY,"4,208",824,34,39,4,0,3,0,60,2,142,"257,314","30,992","1,582",47,283,17,"32,919",863,"324,017",0,"20,054"
BALTIMORE CO.,"2,579","1,734",17,10,0,0,0,0,21,3,51,"267,339","124,940","1,249",66,665,1,"52,904","5,654","452,818",0,"29,595"
CALVERT,157,51,0,1,0,0,0,0,0,0,1,"20,312","20,879",97,7,66,0,"7,929",467,"49,757",0,"5,529"
CAROLINE,37,21,1,1,0,0,0,0,0,2,4,"6,868","6,580",25,8,56,1,"2,379",139,"16,056",0,816
CARROLL,355,136,1,0,0,0,0,0,0,0,1,"32,561","51,665",230,21,137,1,"13,729",13,"98,357",0,"6,647"
CECIL,202,48,1,0,0,0,0,0,1,0,2,"21,813","20,209",110,29,89,1,"8,823",687,"51,761",0,"4,531"
CHARLES,243,150,1,1,0,0,0,0,2,0,4,"38,094","25,755",97,17,76,3,"11,654",871,"76,567",0,"4,012"
DORCHESTER,148,33,5,3,0,0,0,0,3,1,12,"9,578","6,589",21,4,19,1,"1,837",175,"18,224",0,780
FREDERICK,871,407,2,2,0,0,0,0,2,1,7,"45,544","56,712",328,5,181,2,"22,356",39,"125,167",0,"15,076"
GARRETT,76,24,0,1,0,0,0,1,0,0,2,"5,064","10,944",24,3,21,1,"1,364",199,"17,620",0,394
HARFORD,582,496,3,4,0,0,0,0,1,0,8,"58,934","57,989",243,16,169,2,"17,571",160,"135,084",0,"10,636"
HOWARD,"1,103",361,4,6,0,0,0,0,3,2,15,"76,388","55,824",443,17,250,3,"29,656","1,555","164,136",0,"14,993"
KENT,55,17,0,0,0,0,0,0,1,0,1,"6,026","4,280",38,0,12,1,"1,416",122,"11,895",0,80
MONTGOMERY,"3,330","1,538",5,3,0,0,0,0,6,1,15,"270,717","125,490","1,390",50,610,14,"105,598",264,"504,133",0,"35,185"
PR. GEORGE'S,687,222,2,0,0,0,0,0,3,1,6,"320,957","48,463",592,64,396,21,"26,200","36,090","432,783",0,"32,281"
QUEEN ANNE'S,88,22,9,4,0,0,1,0,0,2,16,"10,725","13,035",52,5,67,1,"3,712",227,"27,824",0,889
ST. MARY'S,249,85,0,2,0,0,0,0,2,2,6,"22,107","20,721",129,19,80,0,"8,138",574,"51,768",0,"2,411"
SOMERSET,41,13,0,0,0,0,0,0,0,0,0,"6,748","3,937",10,2,7,0,"1,232",100,"12,036",0,929
TALBOT,111,96,1,3,0,0,0,0,0,1,5,"10,111","11,349",55,6,68,2,"3,527",311,"25,429",0,"1,119"
WASHINGTON,"1,015",233,5,2,0,0,0,0,2,2,11,"30,269","36,227",207,13,110,3,"11,326",914,"79,069",0,"6,075"
WICOMICO,324,101,2,3,0,0,1,0,2,0,8,"22,929","18,602",80,9,80,0,"6,874",571,"49,145",0,"2,473"
WORCESTER,148,97,5,1,0,0,0,0,2,3,11,"15,417","13,082",69,6,57,2,"4,677",436,"33,746",0,"2,316"
TOTAL,"18,506","7,430",104,91,4,0,5,1,118,28,351,"1,706,325","902,034","8,023",495,"4,059",90,"433,286","50,924","3,105,236",0,"216,113"
