"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","202","57","17","12","0","0","0","7","12","48","12221","22697","78","223","43","8182","417","43,861","110","2600"
"ANNE ARUNDEL","2883","1260","194","110","6","14","1","126","37","488","175989","130710","619","2157","291","96384","3013","409,163","737","27641"
"BALTIMORE CITY","3074","1835","214","58","2","4","1","65","32","376","305217","28651","850","1030","480","55107","3885","395,220","8","23326"
"BALTIMORE CO.","4580","2925","439","203","4","10","5","186","58","905","311833","138762","861","2409","467","105485","6284","566,101","251","35290"
"CALVERT","330","171","33","28","0","2","0","20","13","96","24213","27460","95","395","41","15308","586","68,098","65","5209"
"CAROLINE","95","60","10","9","0","0","0","6","0","25","6493","10228","34","103","27","4510","169","21,564","54","1093"
"CARROLL","625","315","45","51","1","3","2","48","15","165","33880","63758","185","769","67","28138","1120","127,917","50","6396"
"CECIL","388","227","35","26","1","3","1","28","7","101","21196","31491","100","420","69","16354","729","70,359","63","4867"
"CHARLES","830","496","77","29","1","4","0","27","11","149","73997","23617","121","390","105","21451","859","120,540","15","8474"
"DORCHESTER","141","70","12","10","0","0","0","7","1","30","9720","8897","20","101","26","3685","186","22,635","0","919"
"FREDERICK","1167","576","102","70","1","6","0","63","10","252","75419","67888","295","1072","125","47444","1037","193,280","2318","11703"
"GARRETT","76","41","8","5","0","1","0","8","1","23","3839","13582","26","94","18","2772","165","20,496","2","1052"
"HARFORD","1107","533","117","65","0","3","0","69","19","273","66025","79392","238","1151","119","40732","1682","189,339","141","11727"
"HOWARD","1267","595","88","66","2","2","2","41","13","214","121118","49827","318","878","90","55834","2105","230,170","27","12635"
"KENT","65","30","7","4","0","0","0","2","2","15","5870","5110","19","57","13","2539","116","13,724","6","785"
"MONTGOMERY","3826","2541","403","207","6","11","3","232","39","901","411934","99839","1047","2160","317","156927","6116","678,340","141","66108"
"PR. GEORGE'S","4148","2557","354","61","4","6","1","136","53","615","467896","37871","725","1266","411","83068","11288","602,525","1005","33096"
"QUEEN ANNE'S","219","95","18","10","0","1","0","15","2","46","11136","19325","39","225","21","7915","317","38,978","29","1688"
"ST. MARY'S","497","243","36","19","0","2","0","20","6","83","26354","30847","112","450","58","16797","655","75,273","349","6553"
"SOMERSET","104","49","5","3","0","0","0","2","1","11","5624","5859","22","59","12","2240","115","13,931","141","494"
"TALBOT","151","71","10","10","0","0","0","13","2","35","10879","11636","37","135","17","5584","273","28,561","3","1219"
"WASHINGTON","557","307","62","32","2","6","0","24","13","139","31903","43978","143","588","88","21813","913","99,426","36","9484"
"WICOMICO","399","175","19","18","0","0","0","16","6","59","27122","23745","88","327","72","13240","684","65,278","50","3966"
"WORCESTER","269","99","24","17","0","1","0","8","2","52","14037","18679","55","200","19","8248","498","41,736","43","2666"
"TOTAL","27,000","15,328","2,329","1,123","30","79","16","1,169","355","5,101","2,253,915","993,849","6,127","16,659","2,996","819,757","43,212","4,136,515","5,644","278,991"
