COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,158,73,12,7,0,5,5,9,2,40,"15,858","19,547",123,0,125,"5,439",418,"41,510",32,"2,739"
ANNE ARUNDEL,"1,894",549,179,102,4,0,8,118,13,424,"142,819","120,314",819,1,"1,200","63,674",237,"329,064",263,"25,756"
BALTIMORE CITY,"1,030",428,61,47,6,0,2,52,8,176,"293,344","32,281","1,388",1,755,"41,987","1,449","371,205",385,"16,037"
BALTIMORE CO.,"1,058",882,146,79,2,0,6,103,18,354,"281,220","125,896","1,321",1,"1,579","66,125","5,382","481,524",322,"50,796"
CALVERT,128,91,25,13,1,0,0,21,3,63,"22,568","22,208",116,0,163,"10,015",506,"55,576",30,"4,056"
CAROLINE,24,18,4,2,1,0,0,4,1,12,"7,113","7,397",35,0,53,"2,921",118,"17,637",6,"1,217"
CARROLL,231,93,29,33,0,3,3,30,1,99,"32,844","54,749",267,32,336,"17,254",789,"106,271",172,"5,013"
CECIL,143,71,16,6,0,23,1,16,0,62,"23,507","22,586",139,0,213,"11,407",805,"58,657",58,"8,043"
CHARLES,200,110,19,14,0,1,2,12,0,48,"51,497","24,364",136,14,203,"14,025",550,"90,789",1,"8,928"
DORCHESTER,50,21,3,4,0,0,0,5,0,12,"9,951","6,878",23,0,48,"2,183",135,"19,218",63,"1,194"
FREDERICK,320,203,45,24,1,28,4,40,1,143,"51,894","58,071",380,0,513,"27,862",85,"138,805",44,"8,334"
GARRETT,51,13,3,6,0,0,0,2,1,12,"4,803","11,325",39,5,45,"1,877",186,"18,280",0,"1,128"
HARFORD,453,369,53,22,1,0,1,32,3,112,"61,566","63,837",300,0,548,"23,693",775,"150,719",251,"8,298"
HOWARD,339,169,48,28,1,5,3,39,6,130,"86,456","55,262",448,32,628,"36,002","1,828","180,656",29,"19,090"
KENT,22,13,5,1,0,0,1,1,0,8,"5,908","4,422",38,0,38,"1,583",135,"12,124",8,"1,072"
MONTGOMERY,"1,162",613,149,77,4,21,9,140,3,403,"322,204","119,922","1,445",52,"1,541","125,166",779,"571,109",352,"36,211"
PR. GEORGE'S,"2,012",715,76,34,0,1,4,61,27,203,"412,750","46,716",757,58,790,"47,592","21,605","530,268","2,285","8,287"
QUEEN ANNE'S,105,15,13,10,0,0,2,7,1,33,"11,109","14,482",58,8,94,"4,665",199,"30,615",123,"1,292"
ST. MARY'S,66,83,20,8,1,0,0,12,1,42,"24,124","23,711",144,13,201,"10,552",480,"59,225",0,"5,872"
SOMERSET,16,10,9,0,0,5,0,2,1,17,"6,956","4,421",21,0,29,"1,582",117,"13,126",0,759
TALBOT,36,12,5,1,0,0,0,3,2,11,"9,780","10,812",52,6,93,"3,675",292,"24,710",13,"2,923"
WASHINGTON,"1,200",131,19,21,0,0,2,18,1,61,"30,949","36,998",235,0,261,"14,804",125,"83,372","1,891","7,822"
WICOMICO,169,93,18,10,0,1,0,9,6,44,"24,485","19,742",112,0,165,"8,249",680,"53,433",38,"4,641"
WORCESTER,120,35,14,5,0,0,1,13,1,34,"15,087","13,804",66,0,103,"5,366",404,"34,830",222,"2,445"
TOTAL,"10,987","4,810",971,554,22,93,54,749,100,"2,543","1,948,792","919,745","8,462",223,"9,724","547,698","38,079","3,472,723","6,588","231,953"
