COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,389,66,38,20,1,1,0,0,8,5,73,12561,22589,77,215,32,22,7921,411,"43,828",607,2171
ANNE ARUNDEL,4087,1134,173,242,3,5,0,1,87,36,547,175477,133215,576,2061,234,119,93093,2843,"407,618",3252,21194
BALTIMORE CITY,5456,1743,180,85,5,1,1,0,71,19,362,309461,29514,807,986,363,147,53441,3562,"398,281",8,17572
BALTIMORE CO.,5921,2256,314,228,3,4,0,1,121,45,716,315992,141555,911,2355,380,141,103578,6076,"570,988",253,25697
CALVERT,588,146,31,43,0,2,0,0,15,5,96,24260,27652,86,367,34,22,14555,570,"67,546",446,4488
CAROLINE,156,44,7,11,0,0,0,0,6,18,42,6534,10216,32,90,20,2,4348,171,"21,413",269,884
CARROLL,1032,276,43,91,0,2,0,2,23,12,173,33848,63997,169,715,51,35,27041,1093,"126,949",2776,276
CECIL,608,219,47,22,1,1,0,0,21,4,96,21414,31238,105,386,53,12,15709,736,"69,653",1287,3912
CHARLES,1139,428,68,36,1,1,0,0,15,9,130,73368,24332,112,367,92,21,20524,808,"119,624",2376,6718
DORCHESTER,239,52,14,10,0,0,0,0,3,1,28,9807,8793,20,93,16,5,3478,167,"22,379",421,775
FREDERICK,1688,621,103,123,1,1,0,0,65,11,304,73891,68310,285,1006,102,56,45141,906,"189,697",41,9004
GARRETT,141,43,12,12,0,1,0,0,2,1,28,3925,13477,24,89,16,5,2669,163,"20,368",110,861
HARFORD,1873,375,124,106,2,9,1,2,53,15,312,66292,79734,233,1042,87,56,39233,1575,"188,252",533,9485
HOWARD,1818,1508,94,106,1,6,0,0,54,19,280,120208,51483,319,838,71,51,53997,2039,"229,006",1211,9512
KENT,100,25,7,4,0,0,0,0,1,0,12,5955,5044,20,50,10,2,2404,121,"13,606",55,605
MONTGOMERY,5938,2547,308,287,8,11,1,0,145,50,810,412496,102645,1028,2100,266,186,151904,5788,"676,413",3034,57332
PR. GEORGE'S,5822,2555,538,140,8,8,1,2,328,121,"1,146",472682,38810,713,1215,320,149,79931,11012,"604,832",4002,25408
QUEEN ANNE'S,375,88,13,26,0,0,0,0,5,2,46,11128,19120,45,207,14,6,7561,296,"38,377",324,1270
ST. MARY'S,783,199,48,31,0,1,0,0,16,4,100,26580,30833,100,419,44,20,16207,620,"74,823",615,5245
SOMERSET,135,41,6,3,0,0,0,0,5,0,14,5670,5803,25,56,9,5,2156,105,"13,829",133,406
TALBOT,284,69,12,10,0,2,0,0,0,4,28,10845,11715,31,126,13,3,5368,262,"28,363",87,978
WASHINGTON,1113,281,73,51,2,2,1,0,28,7,164,32101,44028,137,555,67,27,20886,866,"98,667",497,8055
WICOMICO,704,213,39,32,0,5,0,0,16,9,101,27315,23687,95,311,58,16,12765,664,"64,911",482,3205
WORCESTER,472,90,21,28,0,2,0,0,11,4,66,14080,18361,49,189,14,6,7867,498,"41,064",194,2176
TOTAL,"40,861","15,019","2,313","1,747",36,65,5,8,"1,099",401,"5,674","2,265,890","1,006,151","5,999","15,838","2,366","1,114","791,777","41,352","4,130,487","23,013","217,229"
