"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","135","45","38","3","0","1","12","4","58","15,888","19,692","124","129","5,511","411","41,755","3","2,695"
"ANNE ARUNDEL","1,465","702","230","145","11","7","181","9","583","143,366","121,031","834","1,230","64,370","250","331,081","78","26,802"
"BALTIMORE CITY","1,102","555","106","47","6","7","79","8","253","289,687","31,991","1,363","742","41,617","1,432","366,832","74","19,063"
"BALTIMORE CO.","1,339","1,225","324","100","7","18","172","24","645","284,121","127,130","1,331","1,602","67,521","5,384","487,089","36","50,257"
"CALVERT","128","100","40","14","0","2","22","2","80","22,563","22,369","117","164","10,097","511","55,821","2","4,030"
"CAROLINE","35","16","15","7","0","1","3","0","26","7,121","7,425","34","51","2,951","118","17,700","0","1,205"
"CARROLL","171","112","59","23","2","3","38","6","131","32,781","55,011","265","333","17,424","818","106,632","1","5,192"
"CECIL","140","113","51","14","2","1","32","4","104","23,521","22,734","135","217","11,483","803","58,893","53","8,087"
"CHARLES","207","91","44","19","0","1","29","2","95","51,811","24,509","139","201","14,163","568","91,391","1","8,777"
"DORCHESTER","64","20","4","1","0","0","5","0","10","9,971","6,899","23","48","2,206","134","19,281","26","1,221"
"FREDERICK","387","284","82","33","10","11","57","0","193","52,377","58,723","377","512","28,369","106","140,464","42","8,157"
"GARRETT","59","19","10","5","1","0","2","3","21","4,795","11,346","38","45","1,892","192","18,308","2","1,122"
"HARFORD","465","282","87","28","1","9","75","3","203","61,656","64,306","309","549","23,983","804","151,607","170","8,205"
"HOWARD","547","207","102","42","1","7","63","15","230","86,940","55,679","458","625","36,568","1,885","182,155","7","18,884"
"KENT","36","12","9","7","0","0","6","1","23","5,901","4,427","38","39","1,590","138","12,133","0","1,075"
"MONTGOMERY","3,763","575","154","66","1","6","112","5","344","323,156","120,391","1,454","1,559","126,324","889","573,773","218","37,392"
"PR. GEORGE'S","1,654","816","166","45","1","6","109","49","376","413,820","46,760","762","802","48,323","21,466","531,933","364","11,788"
"QUEEN ANNE'S","77","12","13","10","0","0","7","0","30","11,089","14,531","59","93","4,690","208","30,670","0","1,543"
"ST. MARY'S","363","183","62","30","0","5","43","17","157","24,220","24,042","148","207","10,758","479","59,854","14","5,835"
"SOMERSET","17","10","8","1","0","0","4","0","13","6,940","4,445","20","29","1,578","117","13,129","8","802"
"TALBOT","68","7","8","9","1","0","5","0","23","9,722","10,774","51","94","3,701","298","24,640","6","2,843"
"WASHINGTON","622","103","43","28","0","5","30","0","106","30,660","36,830","236","254","14,727","138","82,845","10","8,614"
"WICOMICO","235","100","31","23","0","1","20","2","77","24,625","19,884","111","166","8,352","681","53,819","1","4,513"
"WORCESTER","118","63","27","17","2","1","21","1","69","15,109","13,912","65","104","5,439","403","35,032","28","2,398"
"TOTAL","13,197","5,652","1,713","717","46","92","1,127","155","3,850","1,951,840","924,841","8,491","9,795","553,637","38,233","3,486,837","1,144","240,500"
