"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","LIB","UNAF","OTH","TOTAL","DEM","REP","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","319","72","15","5","0","10","4","34","11493","22870","246","8718","562","43,889","197","2656"
"ANNE ARUNDEL","3453","1109","183","113","6","157","36","495","175437","129551","2404","101963","4173","413,528","5634","29339"
"BALTIMORE CITY","3771","1773","214","59","8","104","53","438","300081","28099","1134","59632","5755","394,701","1222","23679"
"BALTIMORE CO.","4958","1906","288","132","13","139","64","636","309473","136581","2604","113248","7733","569,639","368","31293"
"CALVERT","404","168","30","24","1","19","3","77","23795","27938","458","15888","722","68,801","441","5197"
"CAROLINE","160","42","10","11","2","6","1","30","6167","10638","119","4761","253","21,938","109","1320"
"CARROLL","583","232","38","34","3","36","12","123","33549","63554","841","29700","1321","128,965","1121","6343"
"CECIL","454","176","35","27","0","41","7","110","20531","32522","495","17335","934","71,817","596","5069"
"CHARLES","876","344","78","15","2","37","10","142","74902","22908","433","23181","1186","122,610","724","9307"
"DORCHESTER","196","66","9","5","2","6","2","24","9611","9127","112","4030","256","23,136","390","992"
"FREDERICK","1646","579","101","70","4","78","11","264","77586","67598","1190","50961","1694","199,029","1291","13797"
"GARRETT","108","29","6","4","0","6","1","17","3680","13738","114","2956","203","20,691","146","1033"
"HARFORD","1472","453","84","59","10","85","17","255","65194","80213","1221","43184","2167","191,979","934","11905"
"HOWARD","2018","537","133","45","7","78","24","287","122069","48126","928","59627","2489","233,239","1703","13827"
"KENT","64","29","5","6","0","2","0","13","5813","5228","66","2698","155","13,960","184","774"
"MONTGOMERY","4264","2928","525","144","20","340","69","1,098","410190","96434","2283","164323","7126","680,356","3903","62450"
"PR. GEORGE'S","3990","1919","427","57","5","206","87","782","457933","37590","1427","91354","12377","600,681","10522","40097"
"QUEEN ANNE'S","290","79","12","19","1","16","1","49","11167","19949","230","8498","393","40,237","207","1961"
"ST. MARY'S","629","196","27","23","4","30","5","89","25136","31721","466","17233","838","75,394","1274","7273"
"SOMERSET","111","28","5","1","1","5","1","13","5523","6104","66","2391","156","14,240","136","479"
"TALBOT","220","66","13","12","1","4","4","34","10750","11696","151","5866","281","28,744","160","1438"
"WASHINGTON","849","252","54","31","2","29","5","121","31153","44063","639","22893","1134","99,882","779","10409"
"WICOMICO","614","166","38","28","2","35","6","109","26622","23971","341","14194","885","66,013","698","4191"
"WORCESTER","381","94","14","15","1","7","6","43","13755","19360","232","8803","570","42,720","373","2774"
"TOTAL","31,830","13,243","2,344","939","95
1,476","","429","5,283","2,231,610","989,579","18,200","873,437","53,363","4,166,189","33,112","287,603"
