"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","DEM","REP","GRN","CONST","LIB","POP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","191","80","11","10","0","0","1","0","5","0","27","16,984","19,753","110","7","51","1","4,326","439","41,671","3","2,327"
"ANNE ARUNDEL","414","285","46","57","2","0","0","0","39","8","152","135,505","119,538","853","88","565","17","54,199","72","310,837","17","15,958"
"BALTIMORE CITY","1,265","490","53","40","3","0","2","0","61","6","165","264,809","31,830","1,604","57","353","25","34,221","977","333,876","345","19,159"
"BALTIMORE CO.","1,540","2,333","231","160","2","1","4","0","216","33","647","271,677","126,623","1,299","71","790","7","53,868","5,891","460,226","13","27,078"
"CALVERT","491","33","1","9","0","0","0","0","5","1","16","20,735","21,170","103","8","80","0","7,993","489","50,578","285","5,294"
"CAROLINE","12","19","0","4","0","0","0","0","4","0","8","6,916","6,665","26","8","57","1","2,433","139","16,245","0","8,080"
"CARROLL","1,359","211","30","30","0","0","0","0","30","0","90","32,829","52,257","235","26","150","1","14,004","13","99,515","78","6,784"
"CECIL","384","31","7","6","0","0","0","0","6","1","20","22,251","20,658","114","27","96","1","9,003","708","52,858","54","4,308"
"CHARLES","170","51","8","12","0","0","0","0","9","2","31","39,211","25,916","101","16","93","3","11,858","904","78,102","129","3,786"
"DORCHESTER","71","11","1","2","0","0","0","0","5","1","9","9,661","6,639","21","5","20","1","1,851","184","18,382","23","776"
"FREDERICK","1,480","452","42","58","2","0","0","0","50","1","153","46,485","57,566","339","10","219","4","22,827","60","127,510","11","14,736"
"GARRETT","143","9","4","6","0","0","0","0","5","1","16","5,133","11,113","28","3","23","1","1,367","198","17,866","0","375"
"HARFORD","423","562","45","35","1","0","1","0","19","0","101","59,919","59,229","248","20","212","3","17,869","285","137,785","0","9,750"
"HOWARD","1,512","789","104","117","3","0","2","0","158","25","409","77,381","55,983","445","19","279","8","29,810","1,760","165,685","16","15,025"
"KENT","11","5","1","5","0","0","0","0","1","0","7","5,889","4,176","39","0","13","1","1,441","129","11,688","8","449"
"MONTGOMERY","3,107","1,450","196","266","9","1","4","1","339","3","819","275,840","125,118","1,375","56","686","19","104,333","1,302","508,729","16","33,938"
"PR. GEORGE'S","1,902","755","121","64","3","0","3","0","130","149","470","329,686","48,968","624","76","448","23","27,888","34,775","442,488","0","29,321"
"QUEEN ANNE'S","57","10","1","4","0","0","0","0","3","0","8","10,875","13,295","51","5","72","1","3,748","238","28,285","1","849"
"ST. MARY'S","138","48","5","13","2","0","0","0","10","2","32","22,608","21,158","129","18","88","1","8,326","581","52,909","30","2,135"
"SOMERSET","7","99","0","1","0","0","0","0","0","0","1","7,059","3,999","10","2","8","0","1,311","101","12,490","0","900"
"TALBOT","156","68","10","10","1","0","0","0","16","2","39","10,241","11,376","59","6","68","2","3,555","330","25,637","0","1,061"
"WASHINGTON","1,089","225","39","37","1","0","1","0","52","2","132","30,572","36,711","207","15","126","4","11,397","978","80,010","0","5,931"
"WICOMICO","116","36","5","1","0","0","0","0","3","0","9","23,162","19,017","84","9","87","0","7,017","592","49,968","7","2,408"
"WORCESTER","181","62","13","11","0","0","0","0","7","2","33","15,540","13,266","67","6","62","2","4,764","448","34,155","0","2,201"
"TOTAL","16,219","8,114","974","958","29","2","18","1","1,173","239","3,394","1,740,968","912,024","8,171","558","4,646","126","439,409","51,593","3,157,495","1,036","212,629"
