COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,131,31,10,5,0,1,19,2,37,"13,783","21,365",138,286,"7,194",298,"43,064",13,"3,007"
ANNE ARUNDEL,"1,169",511,121,101,3,14,119,4,362,"160,971","134,849",840,"2,764","83,725","1,253","384,402",201,"20,866"
BALTIMORE CITY,"1,970",944,119,75,12,4,85,7,302,"300,968","30,883","1,268","1,422","46,110","1,671","382,322",128,"26,753"
BALTIMORE CO.,"1,645",917,188,117,13,12,131,7,468,"307,219","142,373","1,452","3,137","91,666","4,479","550,326",266,"27,133"
CALVERT,156,67,69,10,0,1,43,1,124,"23,621","26,773",139,496,"13,387",387,"64,803",29,"4,280"
CAROLINE,69,20,32,5,0,2,12,3,54,"6,822","9,220",27,109,"3,868",117,"20,163",0,"1,063"
CARROLL,253,108,25,31,0,3,34,5,98,"32,225","63,227",266,915,"24,217",819,"121,669",26,"7,162"
CECIL,173,111,41,13,1,1,20,3,79,"21,326","27,778",159,430,"14,187",556,"64,436",26,"7,480"
CHARLES,282,155,25,55,0,1,34,3,118,"66,845","25,144",159,492,"18,169",496,"111,305",22,"7,771"
DORCHESTER,85,26,18,12,0,1,5,0,36,"9,950","8,092",26,115,"3,017",102,"21,302",12,"1,351"
FREDERICK,449,222,41,40,3,6,63,1,154,"62,734","66,432",451,"1,297","38,867",332,"170,113",25,"11,498"
GARRETT,37,21,13,2,0,0,4,1,20,"4,239","12,743",37,101,"2,485",131,"19,736",2,"1,324"
HARFORD,431,189,63,41,4,6,63,6,183,"64,210","77,367",395,"1,375","35,034","1,112","179,493",82,"9,456"
HOWARD,434,217,42,47,4,7,60,6,166,"105,871","55,797",503,"1,247","47,840","1,819","213,077",103,"14,085"
KENT,29,25,4,6,0,0,4,0,14,"5,974","4,714",29,79,"2,067",104,"12,967",11,858
MONTGOMERY,"2,068","1,086",201,220,12,17,365,31,846,"379,132","114,198","1,645","3,040","143,242","4,650","645,907",386,"81,699"
PR. GEORGE'S,"2,329","1,021",142,71,7,3,105,26,354,"451,313","40,784","1,052","1,606","67,191","11,529","573,475",192,"43,420"
QUEEN ANNE'S,68,41,11,7,2,1,7,0,28,"10,672","17,747",77,254,"6,617",182,"35,549",2,"2,129"
ST. MARY'S,222,106,28,18,0,1,28,1,76,"25,603","29,377",133,540,"14,351",410,"70,414",43,"5,843"
SOMERSET,38,13,15,5,0,0,7,0,27,"5,865","5,211",19,58,"1,815",73,"13,041",1,"1,062"
TALBOT,74,43,4,17,0,0,23,0,44,"10,064","11,579",47,160,"4,882",189,"26,921",7,"1,463"
WASHINGTON,367,137,31,33,0,3,27,4,98,"32,027","42,387",262,693,"19,326",474,"95,169",81,"9,033"
WICOMICO,183,74,15,15,2,2,16,3,53,"26,460","22,757",144,410,"10,982",435,"61,188",43,"4,094"
WORCESTER,134,62,33,9,1,2,32,3,80,"14,081","16,605",82,247,"6,962",296,"38,273",2,"2,351"
TOTAL,"12,796","6,147","1,291",955,64,88,"1,306",117,"3,821","2,141,975","1,007,402","9,350","21,273","707,201","31,914","3,919,115","1,703","295,181"
