COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,245,48,8,9,0,0,0,0,7,3,27,"17,077","19,680",134,3,122,95,"4,943",485,"42,539","1,653","2,615"
ANNE ARUNDEL,"3,452","7,218",33,59,3,0,1,3,71,1,171,"148,022","121,723",844,26,"1,918",939,"59,158",97,"332,727","1,461","25,080"
BALTIMORE CITY,707,380,31,26,0,0,1,1,32,3,94,"295,858","32,428","1,473",10,867,594,"38,309","1,405","370,944","2,936","14,724"
BALTIMORE CO.,955,"1,246",90,84,3,0,4,2,49,15,247,"292,205","127,965","1,293",19,"1,877","1,229","59,616","5,940","490,144","3,483","32,809"
CALVERT,75,41,11,5,0,0,1,0,8,4,29,"22,799","21,442",109,5,180,123,"8,935",540,"54,133",71,"5,425"
CAROLINE,22,30,3,1,0,0,0,1,7,0,12,"7,575","7,113",31,3,102,53,"2,781",90,"17,748",153,"1,314"
CARROLL,91,84,18,20,0,0,2,1,12,0,53,"33,973","52,970",243,4,576,238,"15,521",31,"103,556",30,"5,687"
CECIL,122,24,9,12,0,0,0,0,13,1,35,"24,228","21,985",134,8,194,179,"10,360",783,"57,871",168,"4,961"
CHARLES,113,115,9,13,0,0,0,0,10,1,33,"47,562","24,496",120,4,539,161,"12,097",580,"85,559",34,"7,030"
DORCHESTER,46,25,0,1,0,0,0,0,2,0,3,"10,287","6,768",23,1,60,36,"1,999",160,"19,334",49,"1,456"
FREDERICK,956,202,13,19,0,0,0,1,15,0,48,"51,439","56,309",343,12,674,364,"24,410",42,"133,593","2,940","12,265"
GARRETT,69,10,2,3,0,0,6,0,6,2,19,"4,993","10,798",30,1,45,33,"1,499",208,"17,607",194,"1,505"
HARFORD,313,"5,146",32,32,1,0,1,0,19,0,85,"63,629","61,527",270,14,724,432,"20,351",680,"147,627",313,"7,079"
HOWARD,562,433,19,22,0,0,2,0,27,12,82,"83,815","54,024",445,12,"1,265",419,"30,590","1,900","172,470","1,374","19,154"
KENT,5,135,0,2,0,0,0,0,1,0,3,"6,272","4,323",38,2,38,24,"1,511",128,"12,336",91,639
MONTGOMERY,"1,657",290,17,30,2,0,5,0,42,8,104,"317,215","123,930","1,390",14,"5,007","1,123","109,210","2,582","560,471","1,963","45,898"
PR. GEORGE'S,644,452,34,15,1,0,2,0,33,19,104,"395,379","46,873",660,10,"1,382",638,"36,597","26,647","508,186","1,593","10,182"
QUEEN ANNE'S,76,21,10,9,0,0,0,0,1,0,20,"11,473","13,903",64,2,102,88,"4,046",232,"29,910",102,"1,842"
ST. MARY'S,85,16,3,11,1,0,0,1,7,1,24,"25,260","22,805",152,3,167,146,"9,681",592,"58,806",23,"3,314"
SOMERSET,15,13,3,2,0,0,0,0,0,0,5,"7,324","4,030",17,1,32,13,"1,386",106,"12,909",3,874
TALBOT,14,11,0,3,0,0,0,0,2,0,5,"10,192","10,851",53,0,57,66,"3,366",319,"24,904",22,"2,716"
WASHINGTON,200,106,7,22,2,0,0,0,8,3,42,"32,552","36,815",215,12,358,213,"12,797",961,"83,923",61,"8,152"
WICOMICO,173,95,12,8,0,0,0,1,14,3,38,"25,128","19,307",101,3,178,121,"7,398",581,"52,817",58,"4,693"
WORCESTER,103,43,10,7,0,0,1,0,4,0,22,"15,356","13,082",66,0,117,81,"4,717",463,"33,882",132,"3,644"
TOTAL,"10,700","16,184",374,415,13,0,26,11,390,76,"1,305","1,949,613","915,147","8,248",169,"16,581","7,408","481,278","45,552","3,423,996","18,907","223,058"
