"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","42","16","5","1","0","0","0","1","0","7","11951","22756","77","224","66","8364","385","43,823","0","2916"
"ANNE ARUNDEL","483","1129","6","4","0","0","0","4","1","15","174194","130453","641","2257","374","98405","3151","409,475","0","30953"
"BALTIMORE CITY","1733","1213","26","14","2","6","4","101","19","172","304190","28341","896","1057","595","56216","3945","395,240","0","25291"
"BALTIMORE CO.","967","1465","33","11","1","2","0","37","17","101","309949","137776","882","2505","634","108024","6283","566,053","0","37365"
"CALVERT","146","166","5","2","0","2","0","44","5","58","23992","27840","93","419","62","15490","560","68,456","0","5631"
"CAROLINE","85","18","0","0","0","0","0","0","0","0","6323","10481","34","110","35","4579","174","21,736","0","1203"
"CARROLL","112","265","1","0","0","0","0","6","2","9","33686","63996","193","794","90","28561","1049","128,369","0","6969"
"CECIL","66","79","14","1","0","0","0","14","1","30","20830","31886","113","442","99","16627","691","70,688","0","5495"
"CHARLES","167","299","1","1","0","0","0","9","4","15","74276","23376","130","416","140","21905","860","121,103","0","9609"
"DORCHESTER","60","31","0","0","0","0","0","1","0","1","9621","8962","21","103","29","3766","196","22,698","0","1049"
"FREDERICK","425","506","10","11","0","1","1","53","6","82","76234","68169","317","1120","164","48168","1050","195,222","0","13245"
"GARRETT","19","18","3","0","0","0","0","0","1","4","3755","13648","25","100","20","2823","163","20,534","0","1179"
"HARFORD","233","322","15","5","0","0","0","10","2","32","65412","80050","243","1184","178","41301","1654","190,022","0","13115"
"HOWARD","374","757","3","1","0","0","0","11","2","17","121076","49322","343","886","124","56630","2027","230,408","0","14186"
"KENT","20","11","0","1","0","0","0","1","0","2","5843","5226","17","66","20","2562","113","13,847","0","850"
"MONTGOMERY","2523","6349","103","101","5","14","1","631","73","928","411577","98227","1109","2234","422","159152","5681","678,402","1","72756"
"PR. GEORGE'S","1261","2225","25","5","1","0","0","30","6","67","463819","37494","779","1312","549","85906","11325","601,184","0","38012"
"QUEEN ANNE'S","33","44","0","0","0","0","0","2","1","3","11092","19534","42","221","33","8033","302","39,257","0","1942"
"ST. MARY'S","150","97","3","1","0","0","0","14","2","20","25636","31854","108","475","80","16857","642","75,652","0","7212"
"SOMERSET","12","6","0","0","0","0","0","0","0","0","5582","5939","22","64","15","2304","116","14,042","0","534"
"TALBOT","46","34","1","0","0","0","0","1","0","2","10798","11642","45","142","20","5699","270","28,616","0","1359"
"WASHINGTON","141","204","6","2","0","0","1","3","1","13","31410","43728","159","616","109","22313","934","99,269","0","10712"
"WICOMICO","81","75","2","2","0","0","0","9","0","13","26908","23905","101","342","100","13500","678","65,534","0","4361"
"WORCESTER","50","35","1","0","0","1","0","4","2","8","13905","18941","58","210","29","8467","492","42,102","0","2997"
"TOTAL","9,229","15,364","263","163","9","26","7","986","145","1,599","2,242,059","993,546","6,448","17,299","3,987","835,652","42,741","4,141,732","1","308,941"
