"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","278","49","8","14","0","0","0","0","9","0","31","17,055","19,677","133","2","65","93","4,958","493","42,476","1,022","2,472"
"ANNE ARUNDEL","839","484","60","104","0","0","4","4","77","4","253","148,331","121,994","855","20","1,636","932","59,294","96","333,158","429","24,650"
"BALTIMORE CITY","1,475","437","33","33","3","0","1","0","27","2","99","296,627","32,581","1,494","7","756","606","38,384","1,412","371,867","2,410","14,722"
"BALTIMORE CO.","5,059","1,001","97","114","3","1","2","4","62","14","297","293,192","128,546","1,307","13","1,593","1,220","59,797","6,006","491,674","16,766","31,070"
"CALVERT","115","50","6","16","0","0","0","0","10","0","32","22,759","21,387","108","5","135","121","8,869","546","53,930","762","5,493"
"CAROLINE","21","20","4","1","0","0","0","0","1","0","6","7,571","7,120","31","3","92","56","2,792","94","17,759","164","1,237"
"CARROLL","159","76","10","11","0","0","0","0","15","0","36","33,931","52,889","238","3","510","231","15,441","30","103,273","2,494","5,859"
"CECIL","486","39","17","16","1","0","0","0","20","2","56","24,932","22,661","139","8","154","177","10,711","818","59,600","2,349","3,175"
"CHARLES","282","60","12","11","0","0","0","0","12","5","40","47,293","24,544","119","4","461","157","12,054","596","85,228","2,618","7,041"
"DORCHESTER","63","20","1","3","0","0","0","0","5","3","12","10,316","6,814","25","1","54","36","2,020","165","19,431","131","1,348"
"FREDERICK","1,694","349","27","37","2","0","3","2","36","1","108","52,409","57,400","358","12","590","367","25,065","42","136,243","221","9,913"
"GARRETT","134","6","1","2","0","0","0","0","1","0","4","5,138","11,083","32","1","31","34","1,587","207","18,113","163","964"
"HARFORD","508","1,204","34","23","0","0","0","0","34","4","95","63,773","61,637","267","13","627","416","20,373","678","147,784","3,769","6,538"
"HOWARD","920","273","16","25","1","0","2","0","20","3","67","84,084","54,348","448","11","1,179","416","30,677","1,925","173,088","2,293","18,295"
"KENT","18","21","1","2","1","0","0","0","2","0","6","6,280","4,331","38","2","35","24","1,499","128","12,337","523","614"
"MONTGOMERY","1,746","1,214","110","177","6","0","11","3","233","15","555","317,499","124,256","1,390","13","4,794","1,105","109,349","2,616","561,022","811","45,481"
"PR. GEORGE'S","1,380","1,087","46","48","0","0","3","1","72","48","218","394,787","47,027","667","9","1,206","622","36,366","26,843","507,527","1,247","10,545"
"QUEEN ANNE'S","103","23","2","4","0","0","0","0","2","0","8","11,410","13,836","61","1","84","89","3,984","233","29,698","135","1,794"
"ST. MARY'S","544","215","30","29","0","0","0","0","20","5","84","25,220","22,772","154","3","123","147","9,620","595","58,634","93","3,323"
"SOMERSET","14","5","0","3","0","0","0","0","1","0","4","7,339","4,021","17","1","27","12","1,385","105","12,907","40","861"
"TALBOT","87","32","3","4","1","0","0","0","1","1","10","10,257","10,914","54","0","50","65","3,395","321","25,056","1,538","2,553"
"WASHINGTON","276","69","16","12","0","0","1","0","5","1","35","32,610","36,964","213","6","288","215","12,801","972","84,069","2,020","7,779"
"WICOMICO","129","46","9","7","0","0","0","0","9","2","27","25,125","19,293","93","1","122","114","7,390","591","52,729","429","4,767"
"WORCESTER","277","43","26","33","1","0","0","1","12","4","77","15,712","13,405","71","0","84","89","4,995","483","34,839","1,606","2,743"
"TOTAL","16,607","6,823","569","729","19","1","27","15","686","114","2,160","1,953,650","919,500","8,312","139","14,696","7,344","482,806","45,995","3,432,442","44,033","213,237"
