"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","122","35","6","4","0","0","1","2","0","13","16,511","19,863","129","12","126","5,401","444","42,486","363","2,862"
"ANNE ARUNDEL","1,062","436","103","83","2","1","2","75","6","272","146,359","122,139","856","85","1,169","63,402","156","334,166","1,352","25,898"
"BALTIMORE CITY","2,033","774","92","85","1","0","2","69","4","253","291,284","32,159","1,416","33","723","40,878","1,355","367,848","1,150","11,105"
"BALTIMORE CO.","4,070","842","115","82","2","0","5","87","12","303","287,855","128,101","1,331","91","1,516","64,755","5,491","489,140","11,139","39,257"
"CALVERT","477","36","9","9","0","0","1","5","1","25","23,173","22,576","115","13","157","10,060","515","56,609","1,073","3,690"
"CAROLINE","77","19","0","4","0","0","0","1","0","5","7,140","7,287","33","8","58","2,940","116","17,582","574","981"
"CARROLL","255","79","16","24","0","0","0","11","3","54","33,022","54,501","256","59","322","16,551","781","105,492","407","6,683"
"CECIL","817","64","20","15","0","0","1","7","1","44","24,508","22,997","146","32","212","11,447","862","60,204","195","5,919"
"CHARLES","781","87","28","12","0","0","0","14","2","56","51,920","25,054","137","22","199","14,025","577","91,934","1,157","6,836"
"DORCHESTER","73","11","0","3","0","0","0","1","1","5","10,219","6,937","25","3","44","2,215","144","19,587","235","640"
"FREDERICK","254","116","30","18","0","0","0","21","0","69","50,612","56,717","349","37","449","26,013","53","134,230","2,880","5,204"
"GARRETT","65","12","2","1","0","0","0","4","0","7","4,910","11,291","41","3","45","1,775","183","18,248","200","761"
"HARFORD","1,433","206","31","20","0","1","0","22","1","75","62,211","63,723","284","40","534","22,818","760","150,370","2,407","8,268"
"HOWARD","1,318","178","41","21","0","0","1","27","2","92","86,775","55,479","447","45","591","34,795","1,830","179,962","1,541","14,809"
"KENT","23","23","3","1","0","0","0","1","0","5","5,901","4,338","37","3","33","1,511","129","11,952","113","1,265"
"MONTGOMERY","1,746","890","139","116","2","1","4","133","4","399","326,472","123,590","1,462","65","1,425","124,024","592","577,630","2,535","19,635"
"PR. GEORGE'S","2,574","1,097","139","74","2","0","2","131","69","417","407,646","46,687","727","62","746","44,400","22,302","522,570","90","6,276"
"QUEEN ANNE'S","52","20","7","10","0","0","0","9","0","26","11,105","14,128","64","8","94","4,357","206","29,962","0","2,082"
"ST. MARY'S","236","103","25","19","0","0","0","15","2","61","24,773","23,766","150","15","202","10,433","521","59,860","49","4,852"
"SOMERSET","21","13","7","1","0","0","0","1","1","10","7,164","4,365","21","3","30","1,535","118","13,236","17","885"
"TALBOT","64","14","6","4","0","0","0","3","1","14","10,164","11,051","51","7","85","3,651","315","25,324","418","3,155"
"WASHINGTON","883","83","14","17","0","0","1","9","0","41","31,299","37,100","221","28","240","14,462","87","83,437","901","5,788"
"WICOMICO","221","65","16","6","0","0","1","14","0","37","25,494","19,990","119","10","161","8,296","672","54,742","193","4,200"
"WORCESTER","478","40","11","5","0","0","0","1","1","18","15,754","14,085","68","5","109","5,413","431","35,865","800","2,773"
"TOTAL","19,135","5,243","860","634","9","3","21","663","111","2,301","1,962,271","927,924","8,485","689","9,270","535,157","38,640","3,482,436","29,789","183,824"
