"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","309","60","25","19","0","2","0","5","0","51","15,394","20,156","1","115","164","6,022","399","42,251","697","2,883"
"ANNE ARUNDEL","3,272","609","149","146","1","4","7","76","4","387","149,635","125,113","26","833","1,472","73,292","248","350,619","2,615","21,298"
"BALTIMORE CITY","3,704","1,193","89","77","1","5","3","65","15","255","299,118","30,762","56","1,236","903","44,891","1,406","378,372","404","35,718"
"BALTIMORE CO.","4,575","1,554","250","167","0","6","8","85","51","567","302,243","133,911","28","1,332","1,955","80,728","5,650","525,847","4,679","24,931"
"CALVERT","477","146","18","16","0","1","2","11","6","54","23,438","23,596","2","137","212","11,486","486","59,357","24","3,670"
"CAROLINE","130","24","9","6","0","0","0","3","0","18","7,304","7,748","2","33","62","3,248","145","18,542","7","1,292"
"CARROLL","881","132","40","58","0","0","1","15","4","118","32,754","57,582","9","266","449","20,371","981","112,412","401","4,089"
"CECIL","321","99","24","16","0","0","0","12","0","52","23,552","23,969","8","130","244","12,717","696","61,316","47","5,203"
"CHARLES","921","211","34","33","0","2","1","21","1","92","56,345","24,828","6","114","255","15,778","542","97,868","224","6,749"
"DORCHESTER","237","47","10","9","0","1","0","3","0","23","10,541","7,201","2","26","49","2,562","124","20,505","93","1,220"
"FREDERICK","1,265","460","59","64","0","4","1","32","2","162","54,786","60,832","12","404","639","32,547","92","149,312","65","7,577"
"GARRETT","68","30","4","8","0","0","0","2","0","14","4,713","11,783","0","40","64","2,154","193","18,947","2","987"
"HARFORD","2,290","344","98","71","0","2","1","30","14","216","62,489","67,227","8","291","708","27,935","1,210","159,868","429","7,685"
"HOWARD","1,418","305","58","55","0","2","4","41","23","183","92,416","56,531","8","479","774","41,110","2,405","193,723","71","10,415"
"KENT","76","16","0","1","0","0","0","0","1","2","6,151","4,569","0","33","54","1,804","134","12,745","56","681"
"MONTGOMERY","4,101","1,461","144","154","0","4","8","130","33","473","352,314","124,839","29","1,506","1,896","144,170","3,204","627,958","972","33,461"
"PR. GEORGE'S","4,187","890","73","59","0","2","1","51","51","237","453,361","46,944","47","770","1,002","58,819","18,572","579,515","11,621","9,402"
"QUEEN ANNE'S","250","60","16","15","0","1","0","2","0","34","11,407","15,564","4","57","126","5,707","205","33,070","3","797"
"ST. MARY'S","300","90","14","15","0","1","0","6","2","38","25,680","25,994","10","138","266","12,630","450","65,168","439","2,657"
"SOMERSET","125","29","8","0","0","0","0","4","0","12","6,982","4,587","6","17","24","1,622","114","13,352","0","1,118"
"TALBOT","187","64","9","9","0","0","1","4","1","24","10,042","11,086","1","51","98","4,216","257","25,751","2","1,457"
"WASHINGTON","685","150","43","40","0","3","2","24","2","114","31,458","38,523","18","219","346","16,629","325","87,518","379","6,240"
"WICOMICO","709","189","30","22","0","0","0","16","5","73","26,374","21,073","12","115","211","9,962","629","58,376","21","3,296"
"WORCESTER","334","100","15","17","0","0","0","6","4","42","15,122","14,702","8","71","135","6,316","353","36,707","23","2,522"
"TOTAL","30,822","8,263","1,219","1,077","2","40","40","644","219","3,241","2,073,619","959,120","303","8,413","12,108","636,716","38,820","3,729,099","23,274","195,348"
