COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,113,63,20,11,0,0,0,0,5,1,37,"16,699","19,306",132,5,190,98,"4,756",468,"41,654","1,069","2,904"
ANNE ARUNDEL,881,539,60,73,2,0,5,1,73,2,216,"144,051","117,626",808,31,"2,514",939,"56,780",88,"322,837","1,450","24,433"
BALTIMORE CITY,"1,043",749,30,27,3,0,2,0,43,4,109,"289,937","31,549","1,428",14,"1,117",615,"37,440","1,372","363,472",649,"21,329"
BALTIMORE CO.,"1,266","1,580",112,97,2,0,6,7,65,16,305,"292,136","127,750","1,309",33,"2,560","1,271","59,939","5,858","490,856",502,"34,338"
CALVERT,127,68,11,15,1,0,0,0,5,0,32,"22,893","21,508",114,7,283,129,"9,024",533,"54,491",28,"5,432"
CAROLINE,44,28,8,5,0,0,0,0,3,0,16,"7,560","7,114",34,3,130,53,"2,776",86,"17,756",106,937
CARROLL,324,118,28,24,0,0,1,0,17,0,70,"33,798","52,794",239,8,759,253,"15,502",31,"103,384",485,"6,117"
CECIL,200,70,20,16,0,0,0,0,21,1,58,"23,998","21,791",134,11,323,183,"10,230",761,"57,431",30,"6,091"
CHARLES,384,183,23,23,0,0,0,0,13,4,63,"48,187","24,524",128,6,674,172,"12,230",569,"86,490",571,"6,936"
DORCHESTER,52,34,1,3,0,0,0,0,3,0,7,"10,244","6,747",23,1,76,37,"2,006",156,"19,290",19,"1,194"
FREDERICK,"1,041",221,30,56,1,0,3,1,52,1,144,"51,178","55,906",337,15,872,372,"24,170",37,"132,887","1,803","13,484"
GARRETT,52,92,5,2,0,0,1,0,1,1,10,"5,064","10,955",32,2,91,36,"1,558",205,"17,943",4,"1,420"
HARFORD,379,"3,779",47,28,0,0,1,0,14,3,93,"63,519","61,603",266,13,959,445,"20,473",671,"147,949",333,"7,352"
HOWARD,"1,162",433,23,28,2,1,0,0,35,3,92,"84,477","54,176",447,12,"1,615",443,"30,767","1,854","173,791","2,111","13,929"
KENT,38,91,5,1,0,0,0,0,3,1,10,"6,204","4,292",38,2,63,27,"1,484",125,"12,235",21,771
MONTGOMERY,"1,951","1,010",136,121,2,0,17,3,188,7,474,"319,441","123,781","1,408",24,"6,031","1,187","109,997","2,573","564,442",877,"46,773"
PR. GEORGE'S,743,416,35,26,0,0,1,1,32,17,112,"395,879","46,685",666,14,"1,683",646,"36,851","26,402","508,826",40,"10,327"
QUEEN ANNE'S,33,7,4,2,0,0,2,2,4,1,15,"11,054","13,395",61,2,127,88,"3,878",218,"28,823",34,"2,350"
ST. MARY'S,226,45,9,9,0,0,1,0,14,2,35,"24,852","22,423",145,5,268,154,"9,495",571,"57,913","1,092","4,576"
SOMERSET,24,20,2,1,0,0,0,0,6,0,9,"7,323","4,056",20,1,50,14,"1,389",107,"12,960",4,897
TALBOT,64,27,5,6,0,1,0,0,1,1,14,"10,236","10,887",53,0,90,72,"3,426",317,"25,081",17,"2,687"
WASHINGTON,365,255,21,26,0,0,1,2,12,3,65,"32,128","36,510",213,13,550,210,"12,678",924,"83,226",48,"6,926"
WICOMICO,175,111,14,10,0,0,0,1,5,3,33,"24,948","19,181",97,4,299,121,"7,339",560,"52,549",59,"4,323"
WORCESTER,72,41,5,13,0,0,0,0,8,0,26,"15,433","13,184",67,0,199,84,"4,754",459,"34,180",9,"3,000"
TOTAL,"10,759","9,980",654,623,13,2,41,18,623,71,"2,045","1,941,239","907,743","8,199",226,"21,523","7,649","478,942","44,945","3,410,466","11,361","228,526"
