"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","172","45","16","11","0","0","0","6","1","34","15,246","20,112","1","113","184","6,233","398","42,287","5","2,989"
"ANNE ARUNDEL","7,387","598","206","153","1","3","6","93","9","471","148,974","124,535","24","827","1,609","75,070","267","351,306","6,576","24,118"
"BALTIMORE CITY","1,990","1,063","110","74","0","10","4","77","4","279","297,380","30,720","56","1,244","1,035","46,066","1,353","377,854","131","38,516"
"BALTIMORE CO.","2,642","1,913","280","197","0","4","6","96","36","619","293,858","130,337","26","1,283","2,102","81,162","4,992","513,760","653","37,347"
"CALVERT","442","167","14","22","0","0","0","17","6","59","23,443","23,675","3","133","240","11,792","487","59,773","98","3,968"
"CAROLINE","90","45","13","3","0","0","1","2","4","23","7,215","7,755","2","31","70","3,314","142","18,529","4","1,478"
"CARROLL","503","235","64","66","1","3","3","38","16","191","32,733","57,880","6","272","539","21,297","966","113,693","29","4,220"
"CECIL","403","267","41","27","0","0","0","14","4","86","23,215","24,004","9","135","274","12,969","669","61,275","48","5,980"
"CHARLES","496","223","44","49","0","1","2","22","13","131","57,083","24,614","6","118","299","16,135","541","98,796","105","7,362"
"DORCHESTER","105","46","14","2","0","0","1","3","1","21","10,481","7,165","2","27","56","2,641","123","20,495","10","1,373"
"FREDERICK","657","342","58","67","0","2","5","26","1","159","53,839","59,827","10","398","702","32,793","152","147,721","352","11,627"
"GARRETT","60","27","15","5","0","0","0","1","2","23","4,665","11,817","0","38","67","2,233","187","19,007","6","1,038"
"HARFORD","1,324","375","116","76","0","1","1","49","18","261","62,672","67,707","7","312","802","29,355","1,212","162,067","450","7,905"
"HOWARD","1,178","317","79","94","0","1","2","47","16","239","93,218","56,250","8","489","845","42,524","2,315","195,649","144","11,220"
"KENT","38","20","3","4","0","0","0","2","2","11","6,067","4,532","0","32","55","1,860","128","12,674","1","799"
"MONTGOMERY","4,151","2,100","290","235","1","5","8","261","57","857","351,587","122,507","28","1,521","2,044","145,789","3,266","626,742","1,783","42,752"
"PR. GEORGE'S","3,876","1,422","127","85","0","2","2","79","56","351","444,962","44,464","50","785","1,064","59,390","16,782","567,497","3,445","28,455"
"QUEEN ANNE'S","126","79","18","17","0","0","0","6","4","45","11,048","15,269","4","53","136","5,733","193","32,436","366","1,725"
"ST. MARY'S","719","251","29","28","0","1","1","23","1","83","25,110","25,567","11","134","277","12,574","444","64,117","417","4,788"
"SOMERSET","51","33","10","2","0","0","0","1","1","14","6,784","4,580","6","15","24","1,673","108","13,190","6","1,248"
"TALBOT","123","77","7","17","0","0","0","9","1","34","10,024","11,024","0","52","104","4,351","236","25,791","19","1,604"
"WASHINGTON","455","189","38","37","0","1","0","13","4","93","31,484","38,688","17","227","380","17,360","326","88,482","77","6,570"
"WICOMICO","687","200","80","53","0","0","2","27","6","168","26,238","20,929","11","117","244","10,189","596","58,324","253","3,897"
"WORCESTER","197","120","22","20","0","0","1","11","1","55","15,087","14,719","8","75","161","6,478","350","36,878","12","2,773"
"TOTAL","27,872","10,154","1,694","1,344","3","34","45","923","264","4,307","2,052,413","948,677","295","8,431","13,313","648,981","36,233","3,708,343","14,990","253,752"
