"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","115","54","23","8","0","0","1","1","8","2","43","16,650","19,368","128","6","362","100","4,801","455","41,870","22","3,018"
"ANNE ARUNDEL","897","380","117","66","1","1","8","2","91","3","289","144,135","117,736","813","45","4,112","998","57,071","88","324,998","568","26,887"
"BALTIMORE CITY","1,013","567","83","26","2","1","3","2","52","4","173","287,264","31,340","1,408","21","1,841","657","37,471","1,327","361,329","1,440","21,473"
"BALTIMORE CO.","1,135","1,954","203","121","0","1","7","3","99","11","445","285,670","124,720","1,279","52","4,258","1,330","58,505","5,579","481,393","799","36,650"
"CALVERT","104","48","14","11","0","0","0","0","5","0","30","23,013","21,714","117","9","527","139","9,165","516","55,200","26","3,826"
"CAROLINE","32","23","9","3","0","0","1","0","4","1","18","7,481","7,086","36","3","184","55","2,772","82","17,699","35","1,128"
"CARROLL","171","118","48","23","0","0","1","2","24","1","99","33,259","52,562","239","35","1,263","274","15,496","11","103,139","47","6,657"
"CECIL","175","46","35","16","2","1","1","0","23","1","79","24,145","22,113","136","20","593","191","10,488","748","58,434","35","6,006"
"CHARLES","158","105","22","29","0","0","2","0","17","2","72","49,101","24,497","128","10","1,021","182","12,399","564","87,902","13","7,291"
"DORCHESTER","59","20","13","3","0","0","1","0","1","2","20","10,245","6,786","26","1","141","38","2,049","153","19,439","25","1,169"
"FREDERICK","402","186","37","23","0","0","1","0","29","0","90","51,411","56,229","347","22","1,463","403","24,461","42","134,378","173","11,388"
"GARRETT","41","15","8","2","0","0","0","0","5","2","17","5,048","10,959","32","3","152","39","1,577","198","18,008","14","1,398"
"HARFORD","401","4,110","91","32","1","1","3","3","23","1","155","62,825","61,598","273","19","1,520","466","20,610","652","147,963","226","131"
"HOWARD","495","229","50","48","2","0","7","0","52","7","166","83,968","53,623","427","21","2,386","482","30,622","1,758","173,287","402","15,853"
"KENT","21","12","6","2","0","0","0","0","0","0","8","6,154","4,324","41","2","120","30","1,494","126","12,291","27","750"
"MONTGOMERY","1,330","553","143","116","4","0","9","3","151","11","437","318,339","121,997","1,394","37","7,960","1,232","109,850","2,519","563,328","943","51,718"
"PR. GEORGE'S","2,835","1,243","119","70","1","0","6","2","67","58","323","397,415","46,425","682","26","2,626","670","37,982","25,749","511,575","10,153","6,194"
"QUEEN ANNE'S","51","22","22","10","0","0","0","0","5","1","38","11,071","13,499","60","3","256","95","3,923","218","29,125","90","2,362"
"ST. MARY'S","294","119","73","25","0","0","2","0","37","1","138","24,541","22,430","144","7","502","167","9,416","541","57,748","36","5,092"
"SOMERSET","31","12","10","2","0","0","0","0","1","1","14","7,271","4,053","19","1","97","18","1,394","107","12,960","18","676"
"TALBOT","63","36","14","3","0","0","2","0","4","1","24","10,016","10,754","51","1","192","70","3,334","304","24,722","10","3,321"
"WASHINGTON","1,294","104","39","19","1","0","3","2","17","1","82","31,490","36,082","215","19","1,677","220","12,618","51","82,372","1,582","8,082"
"WICOMICO","169","68","32","12","0","0","0","0","8","1","53","24,890","19,222","104","10","528","135","7,446","544","52,879","110","4,364"
"WORCESTER","99","47","21","5","0","0","0","0","8","0","34","15,373","13,319","66","1","344","95","4,823","455","34,476","18","2,958"
"TOTAL","11,385","10,071","1,232","675","14","5","58","20","731","112","2,847","1,930,775","902,436","8,165","374","34,125","8,086","479,767","42,787","3,406,515","16,812","228,392"
