COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,153,47,30,20,0,3,1,0,17,2,73,12204,22640,78,223,42,19,8118,401,"43,725",4,2608
ANNE ARUNDEL,2071,1186,200,170,3,14,3,2,159,20,571,175493,131026,619,2148,274,124,95699,2896,"408,279",40,27239
BALTIMORE CITY,2672,1722,211,53,5,6,3,1,72,15,366,304968,28558,843,1019,456,162,54674,3724,"394,404",1,23449
BALTIMORE CO.,2167,1685,261,139,4,14,2,1,149,70,640,310830,138361,850,2375,439,133,104414,6076,"563,478",192,35705
CALVERT,297,215,32,26,1,2,1,0,29,8,99,24162,27413,93,389,38,23,15185,568,"67,871",32,5233
CAROLINE,99,44,6,9,0,0,0,0,3,1,19,6490,10208,34,104,25,2,4488,165,"21,516",0,1110
CARROLL,538,285,79,45,0,7,0,0,47,12,190,33818,63599,181,759,64,34,27965,1094,"127,514",24,6436
CECIL,322,299,50,29,2,1,0,0,27,9,118,21115,31376,99,417,64,13,16237,713,"70,034",4,4876
CHARLES,449,346,74,30,0,1,2,0,31,6,144,73705,23579,118,384,100,20,21237,834,"119,977",49,8520
DORCHESTER,113,70,18,13,0,1,0,2,4,2,40,9693,8870,19,101,23,6,3642,176,"22,530",2,925
FREDERICK,980,615,105,72,1,3,2,1,74,15,273,75152,67722,290,1069,121,59,47095,964,"192,472",11,11741
GARRETT,60,44,12,4,0,0,0,0,2,2,20,3836,13538,26,93,17,5,2762,160,"20,437",1,1063
HARFORD,916,670,108,94,1,2,3,1,80,11,300,65891,79207,234,1139,113,57,40457,1615,"188,713",57,11726
HOWARD,1080,606,117,73,2,4,0,1,69,13,279,120796,49798,318,870,88,54,55518,2048,"229,490",19,12717
KENT,61,26,2,3,0,0,0,0,2,0,7,5869,5090,18,54,12,3,2526,113,"13,685",1,777
MONTGOMERY,2742,2289,389,178,4,17,4,2,268,44,906,410606,99689,1046,2146,299,194,155764,5878,"675,622",80,66390
PR. GEORGE'S,3409,2438,404,102,6,1,6,3,173,57,752,467110,37767,718,1243,378,156,82287,11086,"600,745",102,33329
QUEEN ANNE'S,174,84,19,10,0,0,0,0,13,0,42,11124,19258,39,223,20,7,7850,307,"38,828",2,1693
ST. MARY'S,334,178,61,30,0,2,1,1,21,5,121,26312,30758,110,445,57,17,16669,636,"75,004",55,6560
SOMERSET,69,34,11,5,0,0,0,0,2,0,18,5601,5843,21,59,10,6,2230,107,"13,877",10,497
TALBOT,135,83,17,12,0,0,0,0,14,2,45,10856,11605,37,132,16,4,5550,267,"28,467",6,1236
WASHINGTON,553,266,72,31,0,3,1,0,38,10,155,31826,43860,141,590,81,30,21631,884,"99,043",52,9512
WICOMICO,338,183,40,30,0,4,1,0,24,4,103,27073,23672,88,324,70,14,13151,671,"65,063",7,3983
WORCESTER,239,101,22,19,0,1,1,0,11,4,58,14008,18625,55,199,17,9,8176,488,"41,577",14,2679
TOTAL,"19,971","13,516","2,340","1,197",29,86,31,15,"1,329",312,"5,339","2,248,538","992,062","6,075","16,505","2,824","1,151","813,325","41,871","4,122,351",765,"280,004"
