COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,246,102,84,26,2,0,1,34,3,150,"16,610","19,828",129,12,119,"5,305",449,"42,452",0,"2,888"
ANNE ARUNDEL,"2,577",890,352,148,8,0,8,217,4,737,"145,475","120,848",842,76,"1,114","62,244",138,"330,737",3,"26,873"
BALTIMORE CITY,"2,659","1,322",186,115,8,0,5,182,17,513,"289,979","32,042","1,407",30,703,"40,269","1,337","365,767",74,"20,776"
BALTIMORE CO.,"1,847","1,245",296,111,3,1,7,169,25,612,"291,137","128,704","1,326",80,"1,502","64,780","5,623","493,152",2,"34,307"
CALVERT,327,115,30,10,1,0,2,28,4,75,"23,168","22,462",119,11,149,"9,861",526,"56,296",0,"3,691"
CAROLINE,280,14,4,1,0,0,0,7,0,12,"7,409","7,460",36,5,59,"2,950",120,"18,039",0,"1,114"
CARROLL,445,87,48,16,1,0,0,14,3,82,"33,152","54,316",255,51,304,"16,304",799,"105,181",1,"6,499"
CECIL,240,85,32,9,0,0,1,27,2,71,"24,525","22,852",143,25,208,"11,222",860,"59,835",28,"5,966"
CHARLES,188,64,33,14,0,0,0,22,4,73,"50,784","24,687",131,19,198,"13,616",577,"90,012",7,"7,001"
DORCHESTER,447,26,12,2,0,0,0,8,0,22,"10,395","6,982",26,2,41,"2,187",150,"19,783",150,"1,093"
FREDERICK,567,403,104,40,3,0,2,82,0,231,"52,206","57,976",359,32,453,"26,648",77,"137,751",95,"11,142"
GARRETT,168,41,20,9,1,0,1,35,2,68,"4,994","11,380",39,3,45,"1,789",186,"18,436",1,"1,345"
HARFORD,510,227,69,24,3,0,3,56,3,158,"62,112","63,112",274,38,512,"22,314",735,"149,097",67,"8,233"
HOWARD,"1,632",474,107,66,4,1,2,114,19,313,"86,096","55,029",440,41,571,"34,177","1,810","178,164",3,"15,416"
KENT,26,14,3,2,0,0,0,1,0,6,"6,171","4,477",42,3,35,"1,621",135,"12,484",9,716
MONTGOMERY,"4,557","2,555",537,296,12,0,14,759,11,"1,629","324,401","123,314","1,434",59,"1,368","122,642",540,"573,758",31,"52,096"
PR. GEORGE'S,"6,322","1,886",204,106,8,0,2,208,499,"1,027","403,842","46,677",715,55,733,"43,175","22,703","517,900",3,"6,440"
QUEEN ANNE'S,89,33,27,6,1,0,0,11,1,46,"11,063","13,989",64,8,95,"4,292",207,"29,718",13,"2,268"
ST. MARY'S,232,90,50,21,0,0,2,35,3,111,"24,638","23,462",150,14,192,"10,247",526,"59,229",2,"4,986"
SOMERSET,120,19,7,2,0,0,0,4,0,13,"7,234","4,331",21,3,26,"1,538",120,"13,273",466,808
TALBOT,81,26,5,6,0,0,0,8,1,20,"10,166","11,075",51,7,79,"3,615",315,"25,308",11,"3,209"
WASHINGTON,355,195,111,48,1,0,2,100,2,264,"31,340","37,030",219,20,234,"14,350",89,"83,282",3,"8,433"
WICOMICO,199,95,22,10,0,0,0,17,2,51,"25,379","19,789",113,9,151,"8,179",669,"54,289",1,"4,167"
WORCESTER,126,44,15,3,0,0,1,5,0,24,"15,713","13,900",68,5,105,"5,275",441,"35,507",1,"2,860"
TOTAL,"24,240","10,052","2,358","1,091",56,2,53,"2,143",605,"6,308","1,957,989","925,722","8,403",608,"8,996","528,600","39,132","3,469,450",971,"232,327"
