COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,254,68,25,11,1,3,24,3,67,"13,663","21,643",138,294,"7,265",295,"43,298",8,"3,035"
ANNE ARUNDEL,"3,793","1,417",283,199,5,22,371,20,900,"162,981","135,621",832,"2,875","84,524","1,352","388,185",5,"22,226"
BALTIMORE CITY,"4,929","1,732",232,105,11,20,206,15,589,"304,930","30,776","1,258","1,452","47,023","1,749","387,188",36,"25,883"
BALTIMORE CO.,"5,639","2,237",382,214,14,27,352,40,"1,029","311,012","143,282","1,413","3,224","92,838","4,541","556,310",10,"27,291"
CALVERT,433,175,41,42,0,2,51,9,145,"23,847","27,662",139,487,"13,539",377,"66,051",10,"3,990"
CAROLINE,124,54,9,8,0,1,9,0,27,"6,828","9,465",25,119,"3,879",114,"20,430",0,"1,026"
CARROLL,658,302,52,72,7,6,79,8,224,"32,514","63,781",257,946,"24,442",821,"122,761",7,"7,234"
CECIL,498,208,54,30,3,3,59,7,156,"21,501","28,444",154,436,"14,420",559,"65,514",3,"7,397"
CHARLES,889,361,76,38,1,1,83,4,203,"68,493","25,077",166,512,"18,390",506,"113,144",6,"7,355"
DORCHESTER,223,38,12,8,0,3,6,0,29,"9,966","8,219",27,106,"3,043",107,"21,468",2,"1,324"
FREDERICK,"2,157",579,112,140,8,16,243,10,529,"64,942","67,637",446,"1,352","39,911",348,"174,636",33,"10,770"
GARRETT,76,35,7,5,1,1,7,0,21,"4,204","12,866",36,112,"2,519",131,"19,868",0,"1,332"
HARFORD,"1,951",580,130,97,3,17,138,22,407,"64,963","78,516",397,"1,396","35,711","1,111","182,094",13,"9,296"
HOWARD,"1,643",753,138,139,5,19,218,17,536,"108,681","55,799",503,"1,270","48,833","1,814","216,900",24,"13,536"
KENT,64,40,12,4,1,0,6,1,24,"6,031","4,802",30,80,"2,094",102,"13,139",3,855
MONTGOMERY,"9,283","4,992",747,526,34,46,963,99,"2,415","391,412","113,905","1,583","3,124","144,643","4,747","659,414",156,"78,218"
PR. GEORGE'S,"4,677","2,169",296,109,16,10,268,61,760,"457,480","40,484","1,040","1,673","68,243","11,319","580,239",40,"42,902"
QUEEN ANNE'S,232,102,14,20,0,1,29,1,65,"10,851","18,074",70,256,"6,666",175,"36,092",1,"2,096"
ST. MARY'S,697,186,34,44,2,5,45,4,134,"25,769","29,748",134,558,"14,678",411,"71,298",1,"6,280"
SOMERSET,70,25,6,0,0,0,6,0,12,"5,904","5,329",19,63,"1,839",74,"13,228",1,899
TALBOT,202,78,15,22,0,2,21,1,61,"10,291","11,631",46,164,"4,896",200,"27,228",1,"1,484"
WASHINGTON,"1,116",333,102,60,6,4,126,5,303,"32,306","42,744",250,720,"19,526",523,"96,069",2,"9,454"
WICOMICO,959,173,37,29,1,3,29,7,106,"26,626","22,990",138,411,"11,243",429,"61,837",4,"4,095"
WORCESTER,255,100,16,27,0,1,17,4,65,"14,101","17,162",84,252,"7,003",316,"38,918",151,"2,380"
TOTAL,"40,822","16,737","2,832","1,949",119,213,"3,356",338,"8,807","2,179,296","1,015,657","9,185","21,882","717,168","32,121","3,975,309",517,"290,358"
