COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,WCP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,348,135,47,18,0,0,0,0,38,9,112,12908,22975,77,206,24,22,7865,398,"44,475",34,2691
ANNE ARUNDEL,2087,1641,250,156,4,15,7,3,316,63,814,177019,137684,570,1982,210,115,92382,2713,"412,675",436,25096
BALTIMORE CITY,2504,797,117,41,5,6,5,2,162,26,364,314793,30573,813,971,298,130,53206,3292,"404,076",0,10882
BALTIMORE CO.,2082,990,23,8,1,0,0,0,19,3,54,317502,144573,909,2279,316,140,102535,5894,"574,148",0,32256
CALVERT,544,331,75,57,0,3,0,0,74,16,225,24928,28703,94,359,32,22,14642,583,"69,363",821,2244
CAROLINE,378,117,32,15,0,2,1,0,29,7,86,6701,10348,34,89,18,3,4353,168,"21,714",13,905
CARROLL,522,258,27,12,0,0,0,0,14,1,54,34028,65114,157,675,40,30,26568,1081,"127,693",102,6524
CECIL,672,332,125,41,1,3,3,0,73,11,257,21887,31735,105,367,49,9,15581,735,"70,468",28,6020
CHARLES,591,423,65,21,1,0,1,1,70,10,169,73747,25111,114,358,86,21,20383,757,"120,577",38,8028
DORCHESTER,221,109,19,7,0,0,1,0,7,3,37,9956,8913,19,82,13,4,3464,153,"22,604",8,456
FREDERICK,957,330,28,14,0,1,0,0,23,1,67,73738,69963,287,962,83,58,44261,815,"190,167",10,11139
GARRETT,243,107,31,8,0,1,0,0,14,3,57,4004,13700,21,88,13,5,2676,155,"20,662",10,568
HARFORD,1255,741,201,137,1,11,1,1,214,37,603,67338,81424,239,995,83,52,39067,1548,"190,746",371,10043
HOWARD,717,418,35,19,1,2,1,1,80,13,152,120844,53538,315,821,59,53,53370,2026,"231,026",64,11687
KENT,164,51,12,9,0,0,0,0,2,1,24,6072,5103,19,50,11,2,2364,118,"13,739",118,424
MONTGOMERY,2318,2813,6,2,0,0,0,0,9,2,19,418782,107241,1059,2091,236,181,152363,5855,"687,808",3,72953
PR. GEORGE'S,2229,2521,9,4,0,0,1,0,17,5,36,480467,40558,716,1193,290,140,79604,11210,"614,178",0,33093
QUEEN ANNE'S,349,151,24,16,0,0,0,0,12,4,56,11263,19460,43,193,12,4,7390,284,"38,649",14,790
ST. MARY'S,694,359,88,43,2,4,2,0,65,10,214,26912,31473,103,396,41,21,16096,611,"75,653",133,6766
SOMERSET,293,62,12,4,0,1,0,0,4,1,22,5807,5842,21,51,8,4,2122,94,"13,949",2,479
TALBOT,430,196,24,24,0,0,1,0,21,7,77,10905,11943,30,119,13,4,5331,256,"28,601",158,654
WASHINGTON,742,303,96,28,0,4,2,1,94,15,240,33226,45131,133,521,50,24,21000,871,"100,956",1501,8738
WICOMICO,585,361,66,53,1,6,2,0,60,15,203,27640,24086,96,316,44,13,12635,649,"65,479",0,3602
WORCESTER,275,74,18,12,1,0,0,0,3,2,36,14290,18641,49,183,12,8,7748,450,"41,381",89,2460
TOTAL,"21,200","13,620","1,430",749,18,59,28,9,"1,420",265,"3,978","2,294,757","1,033,832","6,023","15,347","2,041","1,065","787,006","40,716","4,180,787","3,953","258,498"
