"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","341","128","26","28","1","0","0","0","11","2","68","17,030","19,658","132","2","55","93","4,938","492","42,400","758","2,525"
"ANNE ARUNDEL","928","613","103","142","3","0","5","5","398","1","657","147,892","121,717","854","20","1,576","928","58,922","95","332,004","67","25,266"
"BALTIMORE CITY","3,453","489","32","31","3","0","3","0","31","7","107","295,906","32,449","1,490","7","720","602","38,190","1,402","370,766","1,269","15,035"
"BALTIMORE CO.","1,705","910","77","79","2","0","2","1","64","8","233","292,293","128,277","1,303","12","1,514","1,209","59,494","6,008","490,110","19,621","22,579"
"CALVERT","347","31","4","6","0","0","0","0","3","0","13","22,709","21,360","108","5","132","118","8,822","547","53,801","3,305","3,824"
"CAROLINE","75","29","6","5","0","0","0","0","3","0","14","7,554","7,108","31","3","91","55","2,770","93","17,705","34","1,238"
"CARROLL","766","111","16","24","0","0","2","0","12","0","54","33,893","52,868","237","3","495","228","15,399","28","103,151","1,333","5,997"
"CECIL","624","123","33","26","0","0","0","0","21","2","82","24,832","22,568","139","7","130","174","10,630","819","59,299","11","3,157"
"CHARLES","563","85","6","15","0","0","1","0","18","3","43","48,075","25,091","121","4","451","158","12,347","607","86,854","2,190","5,521"
"DORCHESTER","54","13","4","1","0","0","0","0","2","0","7","10,299","6,801","25","1","52","34","2,011","166","19,389","48","1,410"
"FREDERICK","806","665","47","67","2","0","1","1","37","11","166","52,290","57,324","357","12","562","365","24,974","41","135,925","190","10,281"
"GARRETT","171","10","1","4","0","0","0","0","1","1","7","5,134","11,073","32","1","27","35","1,582","206","18,090","141","929"
"HARFORD","1,590","1,709","37","47","0","0","1","2","108","19","214","63,899","61,745","272","13","605","413","20,398","681","148,026","3,705","9,597"
"HOWARD","1,011","243","13","35","0","0","2","1","25","7","83","83,864","54,266","447","9","1,155","413","30,560","1,920","172,634","6,995","16,820"
"KENT","21","34","1","4","0","0","0","0","1","0","6","6,278","4,328","39","2","33","24","1,506","130","12,340","55","536"
"MONTGOMERY","3,410","2,469","302","436","14","0","20","13","993","28","1,806","317,225","124,244","1,387","12","4,705","1,093","109,027","2,617","560,310","35","46,972"
"PR. GEORGE'S","1,605","1,361","107","180","0","0","2","5","72","86","452","393,311","46,887","662","9","1,163","612","35,854","26,878","505,376","2","11,645"
"QUEEN ANNE'S","56","37","15","16","0","0","0","2","15","0","48","11,377","13,801","61","1","85","87","3,957","233","29,602","97","1,892"
"ST. MARY'S","193","70","14","8","1","0","0","0","4","3","30","25,120","22,690","153","3","117","142","9,550","593","58,368","4","3,522"
"SOMERSET","10","9","2","2","0","0","0","0","0","0","4","7,314","4,013","17","1","23","12","1,377","105","12,862","16","847"
"TALBOT","90","67","5","7","0","0","0","0","1","0","13","10,261","10,928","54","0","44","65","3,393","319","25,064","79","3,576"
"WASHINGTON","976","124","16","22","0","0","0","1","16","0","55","32,685","37,129","216","5","271","217","12,842","977","84,342","1,103","7,144"
"WICOMICO","134","80","11","11","0","0","0","0","5","0","27","25,029","19,241","92","1","113","112","7,350","591","52,529","38","5,534"
"WORCESTER","163","35","7","13","0","0","0","0","11","2","33","15,668","13,371","71","0","75","88","4,982","484","34,739","1,331","3,024"
"TOTAL","19,092","9,445","885","1,209","26","0","39","31","1,852","180","4,222","1,949,938","918,937","8,300","133","14,194","7,277","480,875","46,032","3,425,686","42,427","208,871"
