"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","497","79","53","29","0","1","0","15","6","104","11985","22514","78","224","48","8234","411","43,494","296","2995"
"ANNE ARUNDEL","4837","1987","745","487","2","4","2","158","30","1,428","173463","129543","629","2176","334","97284","3044","406,473","10697","31818"
"BALTIMORE CITY","8492","2678","426","142","4","2","6","120","29","729","302844","28361","894","1043","542","55535","3921","393,140","3970","25334"
"BALTIMORE CO.","9022","3121","936","454","3","17","2","216","36","1,664","309549","137363","881","2452","563","106917","6335","564,060","6284","37678"
"CALVERT","795","329","141","72","1","3","0","41","5","263","23852","27195","97","404","53","15452","588","67,641","721","5830"
"CAROLINE","243","46","36","6","0","2","0","16","3","63","6358","10239","34","108","32","4556","169","21,496","211","1267"
"CARROLL","1284","364","158","149","1","4","1","49","16","378","33834","63685","190","787","80","28596","1111","128,283","9687","6396"
"CECIL","827","329","122","69","1","3","0","27","7","229","20772","31265","101","428","81","16532","716","69,895","1347","5655"
"CHARLES","1703","515","181","63","1","1","2","35","8","291","73314","23242","127","398","122","21572","868","119,643","6843","9753"
"DORCHESTER","370","78","36","26","0","0","0","13","4","79","9630","8864","21","102","29","3709","185","22,540","191","1056"
"FREDERICK","2914","822","267","183","1","1","0","79","9","540","74936","67316","305","1084","144","47853","1058","192,696","10097","13703"
"GARRETT","191","47","14","14","0","1","0","4","1","34","3767","13477","26","94","19","2800","165","20,348","158","1202"
"HARFORD","2543","688","282","156","3","2","0","93","12","548","65063","78837","236","1174","150","41009","1690","188,159","3771","13493"
"HOWARD","2803","1493","405","231","1","4","0","86","19","746","120179","49147","331","880","105","56357","2109","229,108","3429","14307"
"KENT","161","40","19","7","0","0","0","8","0","34","5797","5114","19","59","18","2571","117","13,695","97","883"
"MONTGOMERY","9454","5710","1,124","572","7","11","2","244","64","2,024","405216","97598","1056","2159","352","157433","6064","669,878","18625","75568"
"PR. GEORGE'S","7532","3074","603","145","4","5","1","138","54","950","463587","37379","743","1280","469","83768","11258","598,484","16932","38245"
"QUEEN ANNE'S","435","115","19","17","0","3","0","17","2","58","11022","19253","43","215","29","7955","315","38,832","330","2011"
"ST. MARY'S","942","275","195","86","1","2","1","54","7","346","26030","30764","111","457","64","16982","653","75,061","2652","7100"
"SOMERSET","200","49","14","7","0","0","0","5","1","27","5565","5849","21","62","12","2250","117","13,876","270","549"
"TALBOT","324","106","29","20","0","2","0","13","1","65","10743","11523","41","140","19","5648","272","28,386","306","1407"
"WASHINGTON","1552","413","122","91","0","3","1","45","7","269","31190","43229","151","594","101","21923","913","98,101","3526","11046"
"WICOMICO","905","200","71","39","0","2","0","19","2","133","26800","23521","94","330","85","13352","699","64,881","728","4531"
"WORCESTER","628","174","112","58","0","0","1","29","4","204","13845","18630","54","205","26","8320","499","41,579","379","3052"
"TOTAL","58,654","22,732","6,110","3,123","30","73","19","1,524","327","11,206","2,229,341","983,908","6,283","16,855","3,477","826,608","43,277","4,109,749","101,547","314,879"
