"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","261","166","38","23","0","2","85","13","161","10967","22756","3","265","9001","571","43,563","0","3518"
"ANNE ARUNDEL","2186","2756","376","224","1","16","848","61","1,526","173333","129488","50","2514","105265","4331","414,981","3","33614"
"BALTIMORE CITY","4496","3106","368","146","0","15","653","65","1,247","296628","28557","83","1198","62638","5920","395,024","1","25657"
"BALTIMORE CO.","3740","4260","588","239","1","21","895","112","1,856","306808","137606","83","2690","117801","7863","572,851","0","33118"
"CALVERT","276","482","59","51","0","1","140","16","267","23546","28137","18","463","16412","735","69,311","0","5591"
"CAROLINE","128","84","12","16","0","1","29","1","59","6068","10722","1","127","4880","263","22,061","0","1445"
"CARROLL","505","683","89","90","1","15","401","31","627","33337","63784","15","848","30168","1333","129,485","0","7040"
"CECIL","327","601","466","32","0","9","397","16","920","19146","34623","16","491","17361","926","72,563","0","5653"
"CHARLES","620","701","130","38","0","5","194","16","383","75031","23097","21","442","24429","1212","124,232","0","10111"
"DORCHESTER","194","114","23","10","0","0","31","2","66","9523","9276","1","114","4230","261","23,405","0","1067"
"FREDERICK","1036","1403","167","102","1","12","446","37","765","77898","68181","39","1258","52931","1734","202,041","0","15050"
"GARRETT","111","91","20","14","0","1","26","2","63","3529","13770","2","110","3110","209","20,730","0","1250"
"HARFORD","941","1095","181","114","1","9","356","30","691","64534","80783","16","1275","44713","2256","193,577","0","12761"
"HOWARD","1199","1749","227","121","2","6","668","50","1,074","121728","48312","39","976","61690","2489","235,234","0","14982"
"KENT","65","72","12","7","0","1","19","0","39","5771","5308","0","70","2777","147","14,073","0","846"
"MONTGOMERY","3592","6482","906","349","3","26","1,538","123","2,945","407590","98514","132","2413","171465","7213","687,327","0","65682"
"PR. GEORGE'S","3455","3905","632","106","3","11","756","104","1,612","455084","38833","73","1551","98132","12540","606,213","2","42378"
"QUEEN ANNE'S","278","202","22","25","1","0","55","7","110","11080","20077","3","237","8889","392","40,678","0","2165"
"ST. MARY'S","428","391","70","38","0","3","139","7","257","24899","32098","16","501","17984","846","76,344","0","7841"
"SOMERSET","77","61","15","2","0","0","19","1","37","5430","6173","1","70","2531","169","14,374","0","527"
"TALBOT","157","159","11","14","0","1","50","6","82","10597","11677","4","166","6048","274","28,766","0","1724"
"WASHINGTON","620","570","104","40","0","4","169","14","331","30924","44410","7","661","23871","1194","101,067","0","10946"
"WICOMICO","489","278","60","24","0","3","83","11","181","26200","24039","4","364","14819","913","66,339","0","4700"
"WORCESTER","277","151","25","19","0","2","53","9","108","13643","19555","3","240","9079","564","43,084","0","3011"
"TOTAL","25,458","29,562","4,601","1,844","14","164","8,050","734","15,407","2,213,294","999,776","630","","19,044 910,224","54,355","4,197,323","6","310,677"
