"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","LIB","UNAF","OTH","TOTAL","DEM","REP","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","294","72","17","9","0","20","3","49","11526","22845","239","8674","563","43,847","186","2610"
"ANNE ARUNDEL","3239","1096","177","102","8","127","30","444","175700","129826","2392","101661","4169","413,748","3967","28317"
"BALTIMORE CITY","4720","1490","190","39","8","80","35","352","300709","28119","1130","59358","5761","395,077","4004","22701"
"BALTIMORE CO.","5813","1970","292","127","8","129","63","619","309660","136820","2608","112652","7720","569,460","4587","30295"
"CALVERT","457","152","23","12","1","13","6","55","23869","27954","464","15838","725","68,850","368","5040"
"CAROLINE","144","43","9","4","1","5","2","21","6187","10627","122","4728","251","21,915","100","1277"
"CARROLL","845","255","30","44","4","42","15","135","33638","63780","837","29666","1333","129,254","815","6077"
"CECIL","455","213","33","21","4","26","6","90","20561","32499","487","17262","927","71,736","668","4932"
"CHARLES","1045","356","71","25","3","26","10","135","74941","22974","437","23051","1192","122,595","848","8919"
"DORCHESTER","156","58","13","6","1","5","6","31","9603","9109","113","4002","255","23,082","253","976"
"FREDERICK","1590","557","84","66","8","78","20","256","77565","67750","1184","50693","1685","198,877","688","13227"
"GARRETT","148","34","4","4","1","9","1","19","3689","13728","112","2959","206","20,694","108","984"
"HARFORD","1453","448","95","50","11","62","18","236","65236","80302","1228","43068","2161","191,995","900","11495"
"HOWARD","1713","497","109","47","3","70","14","243","122074","48216","932","59385","2487","233,094","1173","13314"
"KENT","67","23","6","6","0","1","1","14","5823","5240","68","2691","153","13,975","97","732"
"MONTGOMERY","4189","1652","292","82","12","173","38","597","410189","96496","2268","163369","7098","679,420","3161","60861"
"PR. GEORGE'S","4989","1810","350","46","5","120","55","576","458878","37607","1416","90789","12361","601,051","7713","38254"
"QUEEN ANNE'S","331","61","15","4","1","15","0","35","11147","19926","230","8446","395","40,144","180","1879"
"ST. MARY'S","670","196","35","22","1","27","11","96","25165","31764","473","17193","837","75,432","848","7079"
"SOMERSET","111","32","3","1","0","0","2","6","5532","6090","70","2384","155","14,231","81","456"
"TALBOT","220","62","13","16","0","5","2","36","10761","11722","151","5845","284","28,763","1036","1373"
"WASHINGTON","1034","295","54","30","2","32","14","132","31285","44191","639","22883","1137","100,135","872","9874"
"WICOMICO","637","148","30","13","0","20","7","70","26760","24040","343","14205","890","66,238","499","3912"
"WORCESTER","352","86","16","13","0","8","2","39","13755","19336","231","8755","573","42,650","216","2659"
"TOTAL","34,672","11,606","1,961","789","82
1,093","","361","4,286","2,234,253","990,961","18,174","869,557","53,318","4,166,263","33,368","277,243"
