"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","567","144","90","35","0","5","0","76","10","216","11862","22855","77","229","72","8409","389","43,893","398","3036"
"ANNE ARUNDEL","5564","2856","541","423","5","37","7","1,003","118","2,134","174324","130305","645","2255","402","98038","3172","409,141","8478","34322"
"BALTIMORE CITY","5947","1245","216","86","10","12","6","315","45","690","302871","28080","892","1061","616","55835","3905","393,260","2692","26660"
"BALTIMORE CO.","7926","4775","781","425","9","37","26","1,316","191","2,785","310596","137831","887","2510","645","107987","6239","566,695","8049","39523"
"CALVERT","789","664","134","65","1","8","1","261","26","496","23953","28007","93","413","66","15389","553","68,474","862","5955"
"CAROLINE","283","105","39","25","1","5","1","108","13","192","6262","10574","34","106","37","4534","170","21,717","188","1351"
"CARROLL","1193","671","162","164","4","13","0","284","30","657","33815","64280","192","796","93","28644","1045","128,865","2843","7244"
"CECIL","720","476","155","76","2","4","1","202","21","461","20784","32118","114","450","101","16568","690","70,825","799","5905"
"CHARLES","1508","860","186","69","0","3","3","268","22","551","74527","23411","130","423","139","21980","866","121,476","1237","10080"
"DORCHESTER","344","128","30","33","0","0","2","53","6","124","9645","9001","23","107","31","3764","192","22,763","354","1092"
"FREDERICK","2407","1260","207","164","4","13","1","270","27","686","76955","68618","324","1150","174","48935","1059","197,215","0","13101"
"GARRETT","208","93","34","15","0","1","0","59","7","116","3742","13696","26","101","21","2815","160","20,561","130","1242"
"HARFORD","2211","1170","341","243","1","22","3","471","67","1,148","65520","80458","244","1185","191","41481","1657","190,736","1299","13526"
"HOWARD","1994","1261","231","196","5","10","3","516","50","1,011","121373","49265","349","890","124","56705","2019","230,725","1822","14751"
"KENT","168","67","12","11","0","2","1","27","3","56","5842","5235","18","66","22","2570","110","13,863","124","886"
"MONTGOMERY","1631","2118","387","188","17","16","7","1,217","163","1,995","408646","97414","1086","2226","420","157664","5560","673,016","15678","77390"
"PR. GEORGE'S","6855","4896","778","192","24","27","29","1,822","326","3,198","464986","37704","779","1319","563","85776","11148","602,275","7583","40529"
"QUEEN ANNE'S","548","212","61","51","0","3","0","148","7","270","11146","19696","46","219","34","8015","302","39,458","224","2021"
"ST. MARY'S","1144","481","145","146","0","7","1","189","12","500","25484","31884","110","477","84","16908","655","75,602","6822","7808"
"SOMERSET","296","82","15","3","0","2","1","36","6","63","5590","6002","23","62","15","2321","115","14,128","156","554"
"TALBOT","371","198","34","18","2","2","2","115","15","188","10807","11692","41","139","22","5662","259","28,622","1741","1478"
"WASHINGTON","1868","664","183","61","2","9","3","306","21","585","31462","44069","164","620","115","22308","933","99,671","851","11091"
"WICOMICO","1209","408","96","70","0","5","2","140","14","327","26884","24022","106","345","107","13512","679","65,655","797","4552"
"WORCESTER","539","216","51","42","0","4","2","90","17","206","13899","19069","57","215","29","8505","484","42,258","474","3155"
"TOTAL","46,290","25,050","4,909","2,801","87","247","102","9,292","1,217","18,655","2,240,975","995,286","6,460","17,364","4,123","834,325","42,361","4,140,894","63,601","327,252"
