COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,187,61,18,11,0,0,9,3,41,"15,184","20,323",118,210,"6,607",379,"42,821",0,"2,788"
ANNE ARUNDEL,"2,190",718,139,122,5,10,145,9,430,"147,979","125,022",833,"1,796","76,252",332,"352,214",11,"30,376"
BALTIMORE CITY,"2,107",923,146,68,8,7,105,13,347,"293,960","30,218","1,220","1,106","46,270","1,372","374,146",4,"41,007"
BALTIMORE CO.,"2,632","1,902",226,153,2,6,226,57,670,"298,925","132,176","1,312","2,364","84,821","4,875","524,473",9,"36,821"
CALVERT,293,151,32,40,0,2,14,6,94,"23,339","24,106",130,275,"12,113",468,"60,431",4,"4,211"
CAROLINE,257,33,9,4,0,0,2,1,16,"6,974","7,814",31,91,"3,444",149,"18,503",0,"1,761"
CARROLL,498,163,59,42,1,2,30,7,141,"31,372","59,696",269,607,"21,626",884,"114,454",7,"5,585"
CECIL,222,165,21,14,0,0,24,8,67,"22,967","24,813",129,301,"13,409",664,"62,283",3,"6,226"
CHARLES,544,223,41,22,0,1,32,5,101,"59,369","24,538",124,333,"16,576",540,"101,480",0,"7,341"
DORCHESTER,343,50,5,3,0,0,5,1,14,"10,365","7,299",30,70,"2,734",117,"20,615",3,"1,448"
FREDERICK,944,516,51,63,0,3,77,5,199,"54,891","61,755",410,792,"34,456",199,"152,503",10,"10,802"
GARRETT,71,31,8,8,0,0,4,0,20,"4,640","12,109",36,74,"2,385",188,"19,432",0,982
HARFORD,771,406,89,48,1,1,75,12,226,"63,258","69,737",326,929,"31,173","1,242","166,665",1,"7,974"
HOWARD,"1,164",558,85,62,2,6,129,50,334,"94,195","56,010",487,941,"43,713","2,219","197,565",21,"11,855"
KENT,192,36,3,5,0,0,6,2,16,"6,035","4,575",28,55,"1,958",130,"12,781",1,892
MONTGOMERY,"5,703","3,338",348,217,5,18,556,140,"1,284","359,051","122,183","1,620","2,239","149,650","3,818","638,561",12,"43,464"
PR. GEORGE'S,"3,118","1,753",185,55,3,1,152,73,469,"430,508","41,904",754,"1,077","58,999","14,744","547,986",18,"55,970"
QUEEN ANNE'S,145,71,9,9,0,1,15,0,34,"11,031","16,029",56,158,"6,030",201,"33,505",1,"1,631"
ST. MARY'S,556,163,21,20,1,0,18,4,64,"25,146","25,964",128,327,"12,916",449,"64,930",1,"5,434"
SOMERSET,65,15,5,3,0,0,3,1,12,"6,450","4,779",15,33,"1,727",101,"13,105",3,"1,550"
TALBOT,134,52,12,13,0,0,10,1,36,"9,706","11,237",48,119,"4,534",221,"25,865",1,"1,875"
WASHINGTON,530,233,30,16,1,4,40,7,98,"32,046","39,390",241,434,"18,200",331,"90,642",4,"6,298"
WICOMICO,271,102,16,11,0,0,18,5,50,"25,500","20,748",120,273,"10,121",532,"57,294",2,"5,750"
WORCESTER,282,127,22,17,1,0,14,4,58,"14,490","14,526",76,167,"6,381",360,"36,000",4,"4,162"
TOTAL,"23,219","11,790","1,580","1,026",30,62,"1,709",414,"4,821","2,047,381","956,951","8,541","14,771","666,095","34,515","3,728,254",120,"296,203"
