"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","385","92","70","18","0","0","50","13","151","12833","22145","2","14","7584","659","43,237","618","2786"
"ANNE ARUNDEL","4068","3582","412","388","0","3","643","154","1,600","170064","133528","45","70","88734","4716","397,157","7789","28017"
"BALTIMORE CITY","4378","2019","255","105","2","2","604","95","1,063","306518","29425","55","76","50654","4630","391,358","3859","22330"
"BALTIMORE CO.","4752","4800","536","290","2","3","551","214","1,596","307354","140128","76","113","98908","8746","555,325","7302","36355"
"CALVERT","475","348","64","61","0","1","79","23","228","24180","27650","11","13","14049","923","66,826","1332","4270"
"CAROLINE","140","71","18","13","0","0","13","8","52","6590","9797","5","1","4103","260","20,756","92","1016"
"CARROLL","1479","605","137","143","0","0","153","50","483","33415","63889","7","22","25701","1809","124,843","3458","6367"
"CECIL","395","330","75","43","0","1","89","22","230","21296","29949","11","7","14979","1087","67,329","91","6490"
"CHARLES","1002","755","124","50","0","0","130","31","335","71252","24287","18","16","19469","1126","116,168","402","8847"
"DORCHESTER","220","62","15","12","0","0","15","8","50","9736","8557","3","4","3286","221","21,807","62","413"
"FREDERICK","1882","1380","176","163","0","0","254","46","639","70239","67990","18","39","42413","1756","182,455","2503","12002"
"GARRETT","160","58","18","13","0","0","11","2","44","3984","13122","1","5","2580","240","19,932","93","1244"
"HARFORD","2248","594","206","143","0","1","245","68","663","65475","79061","18","38","37521","2572","184,685","3952","10937"
"HOWARD","2344","1028","191","162","0","0","259","57","669","116125","52983","13","34","51047","3191","223,393","3950","12707"
"KENT","98","64","7","9","0","0","8","3","27","5918","4863","1","2","2262","177","13,223","27","832"
"MONTGOMERY","6905","5430","695","511","2","3","1,129","267","2,607","404995","106826","44","98","147484","9113","668,560","41785","70384"
"PR. GEORGE'S","3647","2166","296","98","2","0","281","104","781","466627","39179","61","113","74912","13404","594,296","14212","36474"
"QUEEN ANNE'S","416","195","22","32","0","0","35","9","98","10901","18595","1","4","7096","483","37,080","138","1838"
"ST. MARY'S","528","313","67","54","0","0","80","13","214","25803","29851","4","10","15224","1002","71,894","241","7619"
"SOMERSET","109","49","10","5","0","0","6","6","27","5654","5562","2","0","1992","151","13,361","4","574"
"TALBOT","219","169","23","22","0","0","21","13","79","10483","11560","4","3","5031","377","27,458","64","1397"
"WASHINGTON","662","446","108","47","0","1","99","28","283","32348","43225","10","22","20233","1463","97,301","256","9423"
"WICOMICO","569","303","65","28","0","0","54","17","164","26561","23294","7","12","12085","975","62,934","2203","4057"
"WORCESTER","549","175","25","26","0","0","37","9","97","13852","17818","0","6","7451","604","39,731","530","2811"
"TOTAL","37,630","25,034","3,615","2,436","8","15","4,846","1,260","12,180","2,222,203","1,003,284","417","722","754,798","59,685","4,041,109","94,963","289,190"
