"","","","","","","","","","","","","","","","",""
"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","BAR","UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","219","116","47","25","0","42","21","135","13102","22136","8","7644","666","43,556","0","2446"
"ANNE ARUNDEL","2707","2013","290","414","1","614","118","1,437","170452","135424","62","89588","4665","400,191","1","22289"
"BALTIMORE CITY","6354","3790","382","301","6","822","179","1,690","307701","30095","70","51750","4490","394,106","0","19348"
"BALTIMORE CO.","4212","3778","516","392","4","859","206","1,977","316333","143575","106","99845","8695","568,554","0","22568"
"CALVERT","343","261","61","71","0","89","26","247","24336","27832","9","14233","927","67,337","1","3390"
"CAROLINE","115","80","13","10","0","25","2","50","6684","9801","0","4139","261","20,885","0","856"
"CARROLL","528","478","77","154","2","155","52","440","33466","63885","19","25652","1805","124,827","0","5880"
"CECIL","331","321","67","57","0","84","21","229","21604","29754","11","15219","1111","67,699","0","5774"
"CHARLES","680","400","86","55","0","113","20","274","71195","24519","11","19758","1116","116,599","0","7399"
"DORCHESTER","142","82","20","8","1","15","7","51","9799","8554","4","3294","221","21,872","0","943"
"FREDERICK","1443","930","130","189","0","389","67","775","69398","68115","29","42324","1726","181,592","0","10818"
"GARRETT","78","42","18","7","0","9","5","39","4047","13131","3","2611","252","20,044","0","1067"
"HARFORD","1077","577","136","166","1","230","73","606","65518","79237","30","37740","2552","185,077","0","9212"
"HOWARD","1812","1317","93","244","0","453","84","874","115981","53837","28","51450","3227","224,523","0","10564"
"KENT","85","40","10","12","0","13","6","41","5967","4893","2","2290","178","13,330","0","717"
"MONTGOMERY","4139","5481","405","591","2","1,437","313","2,748","406734","108744","76","149511","9254","674,319","0","61280"
"PR. GEORGE'S","4332","3386","380","141","2","504","201","1,228","467080","39591","96","76380","13415","596,562","0","32367"
"QUEEN ANNE'S","860","135","32","33","1","54","10","130","10882","18535","4","7103","472","36,996","0","1627"
"ST. MARY'S","503","289","44","63","0","97","19","223","26081","30146","7","15410","1016","72,660","0","6582"
"SOMERSET","104","47","11","8","0","8","1","28","5749","5565","0","1994","148","13,456","0","494"
"TALBOT","137","158","15","25","0","36","10","86","10451","11602","3","5053","375","27,484","0","1221"
"WASHINGTON","672","389","97","74","0","117","43","331","32689","43403","18","20530","1470","98,110","3","8065"
"WICOMICO","446","274","49","46","1","67","25","188","26770","23429","9","12252","966","63,426","0","3357"
"WORCESTER","318","139","37","36","0","52","17","142","13915","17747","5","7464","601","39,732","0","2430"
"TOTAL","31,637","24,523","3,016","3,122","21","6,284","1,526","13,969","2,235,934","1,013,550","610","763,234","59,609","4,072,937","5","240,694"
