COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,114,58,10,7,1,0,0,0,9,1,28,"17,035","19,622",134,3,140,94,"4,898",480,"42,406","1,079","2,745"
ANNE ARUNDEL,"2,971","1,878",68,80,4,1,8,0,86,0,247,"146,217","119,682",824,29,"2,077",934,"57,882",93,"327,738","4,807","27,341"
BALTIMORE CITY,831,917,35,28,0,0,1,1,32,3,100,"291,734","31,738","1,450",10,911,591,"37,538","1,392","365,364","1,578","20,486"
BALTIMORE CO.,939,"1,832",77,78,3,0,1,3,49,15,226,"292,252","127,886","1,296",21,"2,053","1,233","59,626","5,920","490,287","1,574","33,551"
CALVERT,119,52,6,15,0,0,0,0,3,1,25,"22,786","21,413",109,5,192,122,"8,951",538,"54,116",44,"5,481"
CAROLINE,12,16,3,2,0,0,0,0,0,0,5,"7,591","7,140",32,3,109,53,"2,798",88,"17,814",22,"1,318"
CARROLL,133,90,22,27,0,0,0,0,12,0,61,"33,955","52,968",243,5,635,244,"15,544",31,"103,625",89,"5,697"
CECIL,78,21,14,6,0,0,0,0,4,2,26,"24,103","21,877",134,8,208,180,"10,287",776,"57,573",26,"5,348"
CHARLES,174,94,15,11,0,1,2,0,4,2,35,"47,737","24,524",121,3,562,163,"12,116",577,"85,803",35,"6,967"
DORCHESTER,47,153,0,3,0,0,0,0,1,0,4,"10,275","6,761",22,1,62,38,"2,003",159,"19,321",149,"1,460"
FREDERICK,531,177,14,29,0,0,0,0,15,3,61,"51,262","56,082",340,13,712,362,"24,212",41,"133,024","1,307","13,134"
GARRETT,37,13,5,9,0,0,0,0,3,0,17,"5,036","10,888",31,1,65,36,"1,530",207,"17,794",13,"1,490"
HARFORD,324,"4,058",26,33,1,0,0,0,25,1,86,"63,634","61,545",271,14,779,437,"20,379",676,"147,735",343,"7,227"
HOWARD,468,364,18,30,0,0,1,1,22,12,84,"84,470","54,294",452,13,"1,396",430,"30,797","1,918","173,770","3,030","19,217"
KENT,25,91,3,3,0,0,0,0,1,1,8,"6,199","4,291",38,2,48,23,"1,479",126,"12,206",172,784
MONTGOMERY,664,464,36,70,0,0,6,0,69,9,190,"317,192","123,789","1,387",16,"5,136","1,125","109,112","2,573","560,330","1,016","45,872"
PR. GEORGE'S,729,"1,622",22,28,0,0,3,0,27,13,93,"395,108","46,747",658,10,"1,443",638,"36,645","26,555","507,804",684,"10,261"
QUEEN ANNE'S,32,10,2,2,0,0,0,0,1,0,5,"11,481","13,912",64,2,105,90,"4,057",230,"29,941",141,"1,852"
ST. MARY'S,184,126,6,11,0,0,0,0,9,1,27,"25,183","22,733",151,3,192,151,"9,653",586,"58,652",52,"3,344"
SOMERSET,15,25,3,0,0,0,0,0,2,0,5,"7,325","4,048",20,1,35,13,"1,388",106,"12,936",0,868
TALBOT,51,42,1,5,0,0,0,0,4,0,10,"10,205","10,843",52,0,63,66,"3,392",318,"24,939",33,"2,704"
WASHINGTON,124,107,4,12,0,0,0,0,8,0,24,"32,412","36,662",210,13,382,210,"12,725",953,"83,567","2,412","8,534"
WICOMICO,507,79,6,6,0,0,0,0,7,1,20,"25,173","19,335",102,3,211,120,"7,415",579,"52,938",85,"4,953"
WORCESTER,74,33,5,14,2,0,0,0,3,1,25,"15,344","13,074",64,0,138,83,"4,715",460,"33,878",24,"3,625"
TOTAL,"9,183","12,322",401,509,11,2,22,5,396,66,"1,412","1,943,709","911,854","8,205",179,"17,654","7,436","479,142","45,382","3,413,561","18,715","234,259"
