"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","104","40","22","13","2","0","0","1","15","1","54","16,596","19,273","124","6","315","99","4,787","459","41,659","17","3,022"
"ANNE ARUNDEL","1,800","581","150","111","2","1","9","3","121","20","417","144,019","117,540","809","45","3,906","985","56,963","88","324,355","340","26,854"
"BALTIMORE CITY","982","580","60","51","2","0","3","2","42","2","162","287,955","31,345","1,415","22","1,713","658","37,519","1,338","361,965","1,853","21,393"
"BALTIMORE CO.","1,272","1,278","248","135","1","2","12","4","107","17","526","285,791","124,686","1,280","50","4,014","1,317","58,371","5,602","481,111","552","36,863"
"CALVERT","92","51","16","8","0","0","0","0","12","3","39","22,990","21,666","113","9","482","138","9,119","516","55,033","25","3,794"
"CAROLINE","35","27","3","3","0","0","1","0","3","0","10","7,489","7,089","36","3","179","55","2,759","83","17,693","7","1,124"
"CARROLL","426","112","68","38","0","0","2","1","30","17","156","33,271","52,489","239","35","1,203","271","15,455","9","102,972","384","6,688"
"CECIL","144","28","24","16","1","0","2","1","13","4","61","24,139","22,043","135","20","558","191","10,446","749","58,281","21","6,023"
"CHARLES","207","227","25","36","3","0","1","0","24","1","90","48,968","24,515","127","8","971","180","12,377","561","87,707","29","7,328"
"DORCHESTER","65","32","14","1","0","0","0","1","1","0","17","10,255","6,766","25","1","128","38","2,033","154","19,400","62","1,173"
"FREDERICK","360","245","32","44","1","0","2","1","39","0","119","51,362","56,208","348","21","1,387","399","24,433","41","134,199","52","11,293"
"GARRETT","37","14","6","5","0","0","0","0","8","0","19","5,050","10,943","32","3","146","38","1,574","199","17,985","0","1,398"
"HARFORD","487","4,080","120","47","1","1","2","1","42","2","216","62,973","61,520","275","20","1,430","462","20,564","657","147,901","571","6,917"
"HOWARD","392","249","53","42","2","0","0","2","41","9","149","83,888","53,590","432","17","2,248","478","30,565","1,766","172,984","993","15,896"
"KENT","29","18","4","4","0","0","0","0","2","0","10","6,166","4,323","42","2","109","30","1,491","127","12,290","15","753"
"MONTGOMERY","1,893","834","178","147","2","0","6","6","192","12","543","318,181","122,043","1,395","34","7,680","1,221","109,826","2,526","562,906","2,823","51,170"
"PR. GEORGE'S","2,264","1,054","96","50","3","0","2","0","57","33","241","397,172","46,476","681","26","2,434","663","37,841","25,849","511,142","37","9,563"
"QUEEN ANNE'S","101","12","11","15","1","0","0","0","5","0","32","11,082","13,494","60","3","234","93","3,922","217","29,105","196","2,331"
"ST. MARY'S","287","30","24","10","0","0","2","0","14","1","51","24,639","22,402","143","7","439","161","9,466","549","57,806","20","4,761"
"SOMERSET","25","12","1","2","0","0","0","0","3","0","6","7,285","4,050","19","1","93","17","1,393","108","12,966","2","882"
"TALBOT","46","44","8","7","0","0","1","0","5","1","22","10,010","10,721","51","1","173","69","3,335","305","24,665","39","3,336"
"WASHINGTON","1,550","139","43","25","3","0","1","3","16","0","91","31,810","36,350","217","19","1,649","220","12,769","53","83,087","1,405","7,486"
"WICOMICO","276","97","21","13","0","0","1","0","16","2","53","25,029","19,289","102","9","497","133","7,464","549","53,072","264","4,194"
"WORCESTER","85","37","16","13","0","0","2","2","5","0","38","15,390","13,286","68","1","335","92","4,812","456","34,440","11","2,976"
"TOTAL","12,959","9,821","1,243","836","24","4","49","28","813","125","3,122","1,931,510","902,107","8,168","363","32,323","8,008","479,284","42,961","3,404,724","9,718","237,218"
