"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","394","150","60","29","0","7","59","9","164","14,572","21,267","119","250","6,947","323","43,478","0","2,739"
"ANNE ARUNDEL","8,720","4,346","618","525","16","48","1,027","47","2,281","160,300","137,190","832","2,427","80,720","994","382,463","13","24,699"
"BALTIMORE CITY","8,506","4,147","522","245","19","27","625","31","1,469","310,586","32,518","1,226","1,367","45,780","1,523","393,000","21","40,205"
"BALTIMORE CO.","10,218","5,421","812","413","13","39","1,050","107","2,434","310,021","144,557","1,422","2,959","89,184","4,513","552,656","58","29,153"
"CALVERT","908","530","75","68","1","3","123","7","277","23,749","26,259","146","409","12,752","398","63,713","5","4,545"
"CAROLINE","402","117","21","6","1","2","23","3","56","6,897","8,901","26","116","3,641","132","19,713","0","1,212"
"CARROLL","1,274","488","116","105","6","7","767","14","1,015","32,679","63,556","255","788","23,097","841","121,216","10","5,542"
"CECIL","1,053","621","137","79","1","9","145","8","379","22,638","27,873","149","414","13,956","578","65,608","10","6,362"
"CHARLES","1,719","913","131","65","1","4","172","12","385","65,003","26,453","143","438","17,477","497","110,011","11","7,022"
"DORCHESTER","245","117","20","13","0","4","19","1","57","10,286","7,943","27","108","2,939","112","21,415","4","1,308"
"FREDERICK","2,905","1,396","202","187","8","18","339","11","765","61,523","66,857","424","1,123","37,037","285","167,249","10","10,239"
"GARRETT","189","141","20","9","0","0","22","4","55","4,444","12,643","41","93","2,402","153","19,776","4","1,069"
"HARFORD","2,459","1,016","203","140","10","12","335","35","735","64,558","76,580","349","1,198","33,133","1,148","176,966","12","9,234"
"HOWARD","3,948","2,217","273","229","5","17","558","90","1,172","104,197","57,715","488","1,167","45,206","1,895","210,668","23","11,694"
"KENT","204","82","13","8","0","2","11","5","39","6,111","4,739","22","58","1,994","116","13,040","0","860"
"MONTGOMERY","20,073","11,709","1,443","928","43","99","2,933","271","5,717","388,979","122,923","1,641","2,842","144,634","4,771","665,790","43","59,397"
"PR. GEORGE'S","14,581","8,177","827","361","14","31","1,282","207","2,722","457,902","43,319","958","1,465","64,409","12,324","580,377","93","59,229"
"QUEEN ANNE'S","468","236","33","44","0","3","63","4","147","10,882","17,519","81","220","6,375","180","35,257","0","2,029"
"ST. MARY'S","1,425","584","89","75","5","9","109","11","298","25,937","29,508","127","497","13,908","421","70,398","6","5,406"
"SOMERSET","359","62","14","7","0","1","18","1","41","6,113","5,120","16","42","1,730","79","13,100","8","1,509"
"TALBOT","309","213","36","30","1","1","33","6","107","10,080","11,729","43","141","4,809","193","26,995","4","1,458"
"WASHINGTON","1,407","657","135","83","1","6","199","13","437","32,465","42,478","246","631","18,686","410","94,916","12","7,332"
"WICOMICO","950","458","68","55","1","5","88","18","235","26,389","22,582","146","366","10,616","443","60,542","9","4,907"
"WORCESTER","619","340","35","28","0","2","49","0","114","14,489","16,404","82","224","6,854","312","38,365","7","2,856"
"TOTAL","83,335","44,138","5,903","3,732","146","356","10,049","915","21,101","2,170,800","1,026,633","9,009","19,343","688,286","32,641","3,946,712","363","300,006"
