year,month,county,dem,rep,unaf,other
2009,10,HARFORD,63148,61387,20424,660
2009,10,HOWARD,84453,53992,30745,1823
2009,10,KENT,6153,4270,1468,126
2009,10,MONTGOMERY,319572,123403,110238,2561
2009,10,PR. GEORGE'S,396568,46700,37229,26264
2009,10,QUEEN ANNE'S,11100,13465,3904,219
2009,10,ST. MARY'S,24631,22218,9368,561
2009,10,SOMERSET,7302,4042,1387,107
2009,10,TALBOT,9960,10658,3294,308
2009,10,WASHINGTON,32179,36572,12763,922
2009,10,WICOMICO,24972,19202,7361,553
2009,10,WORCESTER,15466,13219,4779,459
2024,05,ALLEGANY,10957,22760,0,572
2024,05,ANNE ARUNDEL,173325,129487,0,4326
2024,05,BALTIMORE CITY,296923,28556,0,5912
2024,05,BALTIMORE CO.,307367,137983,0,7761
2024,05,CALVERT,23555,28185,0,728
2024,05,CAROLINE,6065,10745,0,259
2024,05,CARROLL,33316,63898,0,1326
2024,05,CECIL,19134,34648,0,926
2024,05,CHARLES,75082,23093,0,1211
2024,05,DORCHESTER,9511,9278,0,260
2024,05,FREDERICK,77906,68198,0,1731
2024,05,GARRETT,3522,13804,0,205
2024,05,HARFORD,64524,80880,0,2238
2024,05,HOWARD,122073,48463,0,2469
2024,05,KENT,5758,5307,0,144
2024,05,MONTGOMERY,407995,98486,0,7205
2024,05,PR. GEORGE'S,455152,38819,0,12534
2024,05,QUEEN ANNE'S,11077,20094,0,391
2024,05,ST. MARY'S,24912,32142,0,845
2024,05,SOMERSET,5424,6163,0,168
2024,05,TALBOT,10615,11673,0,275
2024,05,WASHINGTON,30920,44448,0,1186
2024,05,WICOMICO,26169,24020,0,910
2024,05,WORCESTER,13633,19538,0,564
2006,10,ALLEGANY,16961,19715,4291,423
2006,10,ANNE ARUNDEL,135121,119161,53690,71
2006,10,BALTIMORE CITY,262485,31434,33612,930
2006,10,BALTIMORE CO.,271469,126367,53346,5803
2006,10,CALVERT,20632,21113,7927,473
2006,10,CAROLINE,6904,6650,2426,141
2006,10,CARROLL,32775,52221,13894,14
2006,10,CECIL,22116,20514,8933,692
2006,10,CHARLES,38634,25879,11736,887
2006,10,DORCHESTER,9604,6618,1843,183
2006,10,FREDERICK,46143,57293,22541,49
2006,10,GARRETT,5102,11088,1346,200
2006,10,HARFORD,59600,58754,17682,237
2006,10,HOWARD,77113,55890,29691,1711
2006,10,KENT,6047,4302,1425,125
2006,10,MONTGOMERY,275143,125291,104578,991
2006,10,PR. GEORGE'S,327740,48846,27459,35013
2006,10,QUEEN ANNE'S,10848,13223,3736,230
2006,10,ST. MARY'S,22462,20954,8228,574
2006,10,SOMERSET,6966,3985,1273,99
2006,10,TALBOT,10201,11352,3513,314
2006,10,WASHINGTON,30501,36566,11381,928
2006,10,WICOMICO,23096,18874,6940,579
2006,10,WORCESTER,15463,13185,4698,439
2013,02,ALLEGANY,15637,20213,6073,402
2013,02,ANNE ARUNDEL,150876,126045,73559,249
2013,02,BALTIMORE CITY,315028,33010,47871,1523
2013,02,BALTIMORE CO.,303305,134288,78520,5966
2013,02,CALVERT,23572,23558,11462,524
2013,02,CAROLINE,7261,7689,3181,142
2013,02,CARROLL,32842,57463,19931,1013
2013,02,CECIL,24058,24262,12880,713
2013,02,CHARLES,56329,25091,15844,544
2013,02,DORCHESTER,10543,7177,2512,124
2013,02,FREDERICK,54103,60425,31599,87
2013,02,GARRETT,4705,11704,2070,195
2013,02,HARFORD,63061,67398,27400,1186
2013,02,HOWARD,92582,57065,40481,2528
2013,02,KENT,6137,4561,1750,136
2013,02,MONTGOMERY,351074,125305,142565,3230
2013,02,PR. GEORGE'S,452504,47388,57831,19077
2013,02,QUEEN ANNE'S,11546,15653,5612,207
2013,02,ST. MARY'S,25890,26141,12617,457
2013,02,SOMERSET,7016,4550,1616,113
2013,02,TALBOT,10081,11114,4163,261
2013,02,WASHINGTON,31817,38595,16440,306
2013,02,WICOMICO,26170,20867,9643,660
2013,02,WORCESTER,15113,14622,6247,362
2024,02,ALLEGANY,10964,22584,8940,570
2024,02,ANNE ARUNDEL,172633,128754,104664,4312
2024,02,BALTIMORE CITY,295429,28148,61422,5844
2024,02,BALTIMORE CO.,306665,136855,116837,7849
2024,02,CALVERT,23448,27960,16321,734
2024,02,CAROLINE,6070,10680,4852,261
2024,02,CARROLL,33162,63402,30203,1345
2024,02,CECIL,19684,33267,17611,929
2024,02,CHARLES,74747,22907,24136,1209
2024,02,DORCHESTER,9502,9191,4177,259
2024,02,FREDERICK,77501,67799,52608,1729
2024,02,GARRETT,3545,13672,3069,207
2024,02,HARFORD,64423,80394,44372,2231
2024,02,HOWARD,121200,48118,61380,2504
2024,02,KENT,5772,5266,2761,144
2024,02,MONTGOMERY,406131,97384,169295,7198
2024,02,PR. GEORGE'S,453715,38016,95630,12464
2024,02,QUEEN ANNE'S,11049,20007,8777,394
2024,02,ST. MARY'S,24711,31794,17789,841
2024,02,SOMERSET,5447,6122,2493,166
2024,02,TALBOT,10540,11592,6012,276
2024,02,WASHINGTON,30823,44050,23632,1167
2024,02,WICOMICO,26300,23972,14667,901
2024,02,WORCESTER,13578,19463,9011,570
2011,03,ALLEGANY,16493,19898,5460,437
2011,03,ANNE ARUNDEL,146132,122099,63638,168
2011,03,BALTIMORE CITY,291754,32276,41129,1370
2011,03,BALTIMORE CO.,280055,125349,62941,5329
2011,03,CALVERT,22563,21991,9741,501
2011,03,CAROLINE,7077,7272,2814,110
2011,03,CARROLL,32819,54318,16577,776
2011,03,CECIL,24388,22947,11489,854
2011,03,CHARLES,52236,25113,14170,586
2011,03,DORCHESTER,10127,6909,2186,145
2011,03,FREDERICK,50855,56898,26282,55
2011,03,GARRETT,4807,11110,1742,180
2011,03,HARFORD,61616,63412,22674,758
2011,03,HOWARD,85345,54655,34269,1811
2011,03,KENT,5929,4343,1535,127
2011,03,MONTGOMERY,324948,122686,123923,608
2011,03,PR. GEORGE'S,408737,46731,44858,22214
2011,03,QUEEN ANNE'S,11133,14255,4442,205
2011,03,ST. MARY'S,24482,23573,10361,508
2011,03,SOMERSET,7147,4371,1549,118
2011,03,TALBOT,10150,11072,3678,317
2011,03,WASHINGTON,30934,36805,14274,83
2011,03,WICOMICO,25545,20037,8406,675
2011,03,WORCESTER,15130,13638,5180,412
2009,11,ALLEGANY,16615,19274,4749,460
2009,11,ANNE ARUNDEL,144642,117938,57069,89
2009,11,BALTIMORE CITY,288775,31424,37351,1352
2009,11,BALTIMORE CO.,290652,126992,59806,5785
2009,11,CALVERT,22967,21609,9070,524
2009,11,CAROLINE,7481,7046,2751,83
2009,11,CARROLL,33609,52729,15531,31
2009,11,CECIL,24076,21930,10300,756
2009,11,CHARLES,48414,24491,12248,561
2009,11,DORCHESTER,10257,6749,2018,155
2009,11,FREDERICK,51115,55962,24174,39
2009,11,GARRETT,5076,10950,1562,204
2009,11,HARFORD,63079,61377,20444,661
2009,11,HOWARD,84181,53820,30653,1809
2009,11,KENT,6182,4299,1480,126
2009,11,MONTGOMERY,319594,123149,110253,2551
2009,11,PR. GEORGE'S,396714,46661,37318,26196
2009,11,QUEEN ANNE'S,11085,13455,3910,218
2009,11,ST. MARY'S,24614,22246,9379,562
2009,11,SOMERSET,7314,4051,1390,107
2009,11,TALBOT,9969,10673,3303,307
2009,11,WASHINGTON,32191,36598,12803,918
2009,11,WICOMICO,24990,19234,7374,551
2009,11,WORCESTER,15459,13225,4785,458
2010,07,ALLEGANY,16625,19501,5223,462
2010,07,ANNE ARUNDEL,144310,118501,61348,129
2010,07,BALTIMORE CITY,286805,31490,39597,1345
2010,07,BALTIMORE CO.,287765,126150,63557,5688
2010,07,CALVERT,22993,21945,9732,523
2010,07,CAROLINE,7475,7271,2941,122
2010,07,CARROLL,33239,53187,16042,798
2010,07,CECIL,24269,22425,11132,810
2010,07,CHARLES,49902,24509,13495,589
2010,07,DORCHESTER,10283,6872,2161,156
2010,07,FREDERICK,51788,56898,26228,75
2010,07,GARRETT,5038,11112,1778,193
2010,07,HARFORD,61852,61740,21864,688
2010,07,HOWARD,84956,54227,33601,1802
2010,07,KENT,6142,4382,1601,132
2010,07,MONTGOMERY,320202,122189,120938,494
2010,07,PR. GEORGE'S,398735,46176,41226,25127
2010,07,QUEEN ANNE'S,10996,13616,4193,212
2010,07,ST. MARY'S,24522,22732,10047,540
2010,07,SOMERSET,7257,4196,1518,107
2010,07,TALBOT,10072,10862,3554,315
2010,07,WASHINGTON,31291,36306,14205,85
2010,07,WICOMICO,25047,19402,8015,612
2010,07,WORCESTER,15587,13550,5186,448
2019,07,ALLEGANY,13239,21954,0,695
2019,07,ANNE ARUNDEL,166332,136114,0,4765
2019,07,BALTIMORE CITY,304562,30480,0,4420
2019,07,BALTIMORE CO.,313207,143681,0,8897
2019,07,CALVERT,23908,27831,0,962
2019,07,CAROLINE,6718,9665,0,258
2019,07,CARROLL,32667,64019,0,1863
2019,07,CECIL,21476,29146,0,1144
2019,07,CHARLES,69864,24793,0,1126
2019,07,DORCHESTER,9815,8413,0,219
2019,07,FREDERICK,66809,67939,0,1899
2019,07,GARRETT,4064,13013,0,261
2019,07,HARFORD,64637,79006,0,2644
2019,07,HOWARD,111506,54883,0,3362
2019,07,KENT,6026,4868,0,192
2019,07,MONTGOMERY,396613,111345,0,9687
2019,07,PR. GEORGE'S,463838,40079,0,13598
2019,07,QUEEN ANNE'S,10740,18369,0,497
2019,07,ST. MARY'S,25565,29848,0,1029
2019,07,SOMERSET,5814,5457,0,157
2019,07,TALBOT,10357,11627,0,396
2019,07,WASHINGTON,32240,43137,0,1516
2019,07,WICOMICO,26504,23309,0,945
2019,07,WORCESTER,13937,17502,0,614
2016,05,ALLEGANY,14842,20920,6774,319
2016,05,ANNE ARUNDEL,156187,134116,76974,591
2016,05,BALTIMORE CITY,300906,31351,44604,1336
2016,05,BALTIMORE CO.,306171,141131,87783,4374
2016,05,CALVERT,23683,25472,12445,397
2016,05,CAROLINE,6888,8614,3569,137
2016,05,CARROLL,32558,62599,22709,759
2016,05,CECIL,22593,26535,13598,565
2016,05,CHARLES,62114,25798,16874,457
2016,05,DORCHESTER,10229,7721,2850,107
2016,05,FREDERICK,59307,64919,35698,245
2016,05,GARRETT,4541,12423,2434,153
2016,05,HARFORD,63786,74150,32243,1048
2016,05,HOWARD,100619,57721,44858,1811
2016,05,KENT,6135,4749,2018,116
2016,05,MONTGOMERY,372725,122392,143770,3777
2016,05,PR. GEORGE'S,440611,42888,61702,12658
2016,05,QUEEN ANNE'S,10749,16926,6154,180
2016,05,ST. MARY'S,25737,28485,13596,421
2016,05,SOMERSET,5989,4963,1652,74
2016,05,TALBOT,9955,11629,4577,196
2016,05,WASHINGTON,32323,41079,18731,346
2016,05,WICOMICO,25855,21853,10326,437
2016,05,WORCESTER,14461,15649,6762,304
2020,07,ALLEGANY,12833,22145,7584,659
2020,07,ANNE ARUNDEL,170064,133528,88734,4716
2020,07,BALTIMORE CITY,306518,29425,50654,4630
2020,07,BALTIMORE CO.,307354,140128,98908,8746
2020,07,CALVERT,24180,27650,14049,923
2020,07,CAROLINE,6590,9797,4103,260
2020,07,CARROLL,33415,63889,25701,1809
2020,07,CECIL,21296,29949,14979,1087
2020,07,CHARLES,71252,24287,19469,1126
2020,07,DORCHESTER,9736,8557,3286,221
2020,07,FREDERICK,70239,67990,42413,1756
2020,07,GARRETT,3984,13122,2580,240
2020,07,HARFORD,65475,79061,37521,2572
2020,07,HOWARD,116125,52983,51047,3191
2020,07,KENT,5918,4863,2262,177
2020,07,MONTGOMERY,404995,106826,147484,9113
2020,07,PR. GEORGE'S,466627,39179,74912,13404
2020,07,QUEEN ANNE'S,10901,18595,7096,483
2020,07,ST. MARY'S,25803,29851,15224,1002
2020,07,SOMERSET,5654,5562,1992,151
2020,07,TALBOT,10483,11560,5031,377
2020,07,WASHINGTON,32348,43225,20233,1463
2020,07,WICOMICO,26561,23294,12085,975
2020,07,WORCESTER,13852,17818,7451,604
2020,11,ALLEGANY,12908,22975,7865,398
2020,11,ANNE ARUNDEL,177019,137684,92382,2713
2020,11,BALTIMORE CITY,314793,30573,53206,3292
2020,11,BALTIMORE CO.,317502,144573,102535,5894
2020,11,CALVERT,24928,28703,14642,583
2020,11,CAROLINE,6701,10348,4353,168
2020,11,CARROLL,34028,65114,26568,1081
2020,11,CECIL,21887,31735,15581,735
2020,11,CHARLES,73747,25111,20383,757
2020,11,DORCHESTER,9956,8913,3464,153
2020,11,FREDERICK,73738,69963,44261,815
2020,11,GARRETT,4004,13700,2676,155
2020,11,HARFORD,67338,81424,39067,1548
2020,11,HOWARD,120844,53538,53370,2026
2020,11,KENT,6072,5103,2364,118
2020,11,MONTGOMERY,418782,107241,152363,5855
2020,11,PR. GEORGE'S,480467,40558,79604,11210
2020,11,QUEEN ANNE'S,11263,19460,7390,284
2020,11,ST. MARY'S,26912,31473,16096,611
2020,11,SOMERSET,5807,5842,2122,94
2020,11,TALBOT,10905,11943,5331,256
2020,11,WASHINGTON,33226,45131,21000,871
2020,11,WICOMICO,27640,24086,12635,649
2020,11,WORCESTER,14290,18641,7748,450
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2017,10,nan,0,0,0,0
2012,02,ALLEGANY,15881,19782,5554,409
2012,02,ANNE ARUNDEL,144035,121679,64918,262
2012,02,BALTIMORE CITY,290760,32205,41977,1453
2012,02,BALTIMORE CO.,284807,127805,68059,5442
2012,02,CALVERT,22622,22523,10140,514
2012,02,CAROLINE,7154,7468,2974,120
2012,02,CARROLL,32488,55170,17446,870
2012,02,CECIL,23544,22966,11602,795
2012,02,CHARLES,52062,24672,14259,569
2012,02,DORCHESTER,9985,6938,2221,133
2012,02,FREDERICK,51968,58799,28269,168
2012,02,GARRETT,4803,11395,1910,193
2012,02,HARFORD,61780,64603,24146,826
2012,02,HOWARD,87248,56006,36869,1890
2012,02,KENT,5900,4437,1598,141
2012,02,MONTGOMERY,325520,121509,127982,961
2012,02,PR. GEORGE'S,415455,46927,48836,21411
2012,02,QUEEN ANNE'S,11116,14615,4719,205
2012,02,ST. MARY'S,24273,24205,10841,474
2012,02,SOMERSET,6928,4471,1586,116
2012,02,TALBOT,9760,10822,3734,299
2012,02,WASHINGTON,30880,37192,15026,144
2012,02,WICOMICO,24726,19973,8419,684
2012,02,WORCESTER,15122,13993,5477,400
2025,02,ALLEGANY,10828,23647,0,786
2025,02,ANNE ARUNDEL,173564,131403,0,6792
2025,02,BALTIMORE CITY,300359,29792,0,6638
2025,02,BALTIMORE CO.,309799,142326,0,10274
2025,02,CALVERT,23592,29071,0,1156
2025,02,CAROLINE,6003,11227,0,373
2025,02,CARROLL,33197,64877,0,2121
2025,02,CECIL,19015,35975,0,1346
2025,02,CHARLES,76795,23945,0,1700
2025,02,DORCHESTER,9578,9695,0,391
2025,02,FREDERICK,79237,70075,0,2971
2025,02,GARRETT,3443,14111,0,308
2025,02,HARFORD,64526,82547,0,3509
2025,02,HOWARD,123555,49232,0,3501
2025,02,KENT,5696,5558,0,215
2025,02,MONTGOMERY,409102,101982,0,9726
2025,02,PR. GEORGE'S,462824,42645,0,14254
2025,02,QUEEN ANNE'S,11225,20857,0,605
2025,02,ST. MARY'S,25016,33587,0,1294
2025,02,SOMERSET,5353,6366,0,239
2025,02,TALBOT,10546,11787,0,456
2025,02,WASHINGTON,30614,45571,0,1706
2025,02,WICOMICO,26217,24864,0,1284
2025,02,WORCESTER,13620,20176,0,797
2013,03,ALLEGANY,15636,20247,6100,403
2013,03,ANNE ARUNDEL,149767,125306,72821,247
2013,03,BALTIMORE CITY,310931,32502,47120,1494
2013,03,BALTIMORE CO.,304150,134590,79629,5864
2013,03,CALVERT,23443,23496,11390,510
2013,03,CAROLINE,7281,7717,3196,142
2013,03,CARROLL,32820,57416,19923,1007
2013,03,CECIL,23878,24086,12804,705
2013,03,CHARLES,56087,24896,15623,538
2013,03,DORCHESTER,10570,7178,2522,124
2013,03,FREDERICK,54284,60463,31807,87
2013,03,GARRETT,4701,11713,2085,197
2013,03,HARFORD,63218,67513,27632,1195
2013,03,HOWARD,92589,57065,40668,2492
2013,03,KENT,6132,4562,1759,135
2013,03,MONTGOMERY,350600,125064,142519,3223
2013,03,PR. GEORGE'S,454268,47439,58415,18985
2013,03,QUEEN ANNE'S,11531,15624,5658,208
2013,03,ST. MARY'S,25711,26029,12575,456
2013,03,SOMERSET,7022,4574,1620,114
2013,03,TALBOT,10049,11046,4161,259
2013,03,WASHINGTON,31895,38655,16574,303
2013,03,WICOMICO,26115,20804,9658,653
2013,03,WORCESTER,15042,14566,6131,358
2009,02,ALLEGANY,17055,19677,4958,493
2009,02,ANNE ARUNDEL,148331,121994,59294,96
2009,02,BALTIMORE CITY,296627,32581,38384,1412
2009,02,BALTIMORE CO.,293192,128546,59797,6006
2009,02,CALVERT,22759,21387,8869,546
2009,02,CAROLINE,7571,7120,2792,94
2009,02,CARROLL,33931,52889,15441,30
2009,02,CECIL,24932,22661,10711,818
2009,02,CHARLES,47293,24544,12054,596
2009,02,DORCHESTER,10316,6814,2020,165
2009,02,FREDERICK,52409,57400,25065,42
2009,02,GARRETT,5138,11083,1587,207
2009,02,HARFORD,63773,61637,20373,678
2009,02,HOWARD,84084,54348,30677,1925
2009,02,KENT,6280,4331,1499,128
2009,02,MONTGOMERY,317499,124256,109349,2616
2009,02,PR. GEORGE'S,394787,47027,36366,26843
2009,02,QUEEN ANNE'S,11410,13836,3984,233
2009,02,ST. MARY'S,25220,22772,9620,595
2009,02,SOMERSET,7339,4021,1385,105
2009,02,TALBOT,10257,10914,3395,321
2009,02,WASHINGTON,32610,36964,12801,972
2009,02,WICOMICO,25125,19293,7390,591
2009,02,WORCESTER,15712,13405,4995,483
2023,10,ALLEGANY,11454,22888,8820,568
2023,10,ANNE ARUNDEL,175103,129254,102609,4210
2023,10,BALTIMORE CITY,298732,28070,60237,5770
2023,10,BALTIMORE CO.,309073,136341,114160,7770
2023,10,CALVERT,23706,27897,16004,724
2023,10,CAROLINE,6164,10666,4793,257
2023,10,CARROLL,33538,63458,29886,1332
2023,10,CECIL,20533,32575,17474,938
2023,10,CHARLES,74927,22857,23350,1197
2023,10,DORCHESTER,9587,9131,4068,261
2023,10,FREDERICK,77689,67551,51443,1719
2023,10,GARRETT,3676,13756,2987,199
2023,10,HARFORD,65063,80209,43461,2191
2023,10,HOWARD,121839,48025,59957,2483
2023,10,KENT,5813,5233,2730,152
2023,10,MONTGOMERY,409192,96452,165323,7127
2023,10,PR. GEORGE'S,457148,37659,92743,12431
2023,10,QUEEN ANNE'S,11151,19950,8597,395
2023,10,ST. MARY'S,25129,31703,17363,837
2023,10,SOMERSET,5499,6093,2410,157
2023,10,TALBOT,10723,11701,5910,278
2023,10,WASHINGTON,31117,44109,23123,1139
2023,10,WICOMICO,26628,24021,14333,901
2023,10,WORCESTER,13710,19394,8890,572
2021,10,ALLEGANY,12276,22634,8085,405
2021,10,ANNE ARUNDEL,175606,131364,95148,2880
2021,10,BALTIMORE CITY,305767,28682,54328,3718
2021,10,BALTIMORE CO.,312192,138983,104216,6034
2021,10,CALVERT,24232,27433,15058,570
2021,10,CAROLINE,6505,10217,4454,168
2021,10,CARROLL,33918,63617,27778,1097
2021,10,CECIL,21240,31318,16106,722
2021,10,CHARLES,73797,23698,21139,831
2021,10,DORCHESTER,9727,8866,3616,181
2021,10,FREDERICK,74908,67735,46623,946
2021,10,GARRETT,3858,13505,2740,165
2021,10,HARFORD,66018,79318,40197,1611
2021,10,HOWARD,120791,50050,55210,2041
2021,10,KENT,5885,5095,2509,116
2021,10,MONTGOMERY,411047,100019,154764,5852
2021,10,PR. GEORGE'S,467937,37872,81608,11077
2021,10,QUEEN ANNE'S,11162,19202,7810,303
2021,10,ST. MARY'S,26395,30725,16571,623
2021,10,SOMERSET,5607,5821,2212,106
2021,10,TALBOT,10871,11625,5522,269
2021,10,WASHINGTON,31940,43864,21487,875
2021,10,WICOMICO,27145,23654,13039,671
2021,10,WORCESTER,14081,18565,8130,487
2016,07,ALLEGANY,14599,20970,6833,310
2016,07,ANNE ARUNDEL,157493,135387,78816,689
2016,07,BALTIMORE CITY,304091,31700,43901,1335
2016,07,BALTIMORE CO.,304837,142008,87200,4269
2016,07,CALVERT,23465,25649,12395,387
2016,07,CAROLINE,6824,8652,3585,132
2016,07,CARROLL,32477,62690,22479,754
2016,07,CECIL,22368,26999,13537,563
2016,07,CHARLES,63028,26006,16968,441
2016,07,DORCHESTER,10217,7802,2848,107
2016,07,FREDERICK,60045,65878,35954,251
2016,07,GARRETT,4479,12443,2377,144
2016,07,HARFORD,63764,74982,32324,1018
2016,07,HOWARD,101293,57420,43792,1774
2016,07,KENT,6047,4675,1957,113
2016,07,MONTGOMERY,375767,121830,141567,3737
2016,07,PR. GEORGE'S,446776,43025,62221,12374
2016,07,QUEEN ANNE'S,10786,17172,6186,180
2016,07,ST. MARY'S,25639,28736,13410,411
2016,07,SOMERSET,5988,5015,1686,75
2016,07,TALBOT,9887,11591,4672,195
2016,07,WASHINGTON,32080,41474,18276,359
2016,07,WICOMICO,25788,21990,10283,422
2016,07,WORCESTER,14401,16078,6732,301
2023,03,ALLEGANY,11594,22814,8548,548
2023,03,ANNE ARUNDEL,174891,129603,99315,4120
2023,03,BALTIMORE CITY,301095,27909,57819,5708
2023,03,BALTIMORE CO.,309548,136901,110371,7671
2023,03,CALVERT,23791,27902,15518,722
2023,03,CAROLINE,6184,10587,4610,242
2023,03,CARROLL,33515,63642,29165,1328
2023,03,CECIL,20535,32311,16915,928
2023,03,CHARLES,74463,23012,22405,1155
2023,03,DORCHESTER,9612,9064,3896,251
2023,03,FREDERICK,76800,67584,49415,1668
2023,03,GARRETT,3697,13655,2887,204
2023,03,HARFORD,65111,80291,42217,2148
2023,03,HOWARD,121482,48308,58159,2492
2023,03,KENT,5827,5222,2639,154
2023,03,MONTGOMERY,410387,96644,160437,7066
2023,03,PR. GEORGE'S,458555,37292,87395,12178
2023,03,QUEEN ANNE'S,11109,19793,8258,381
2023,03,ST. MARY'S,25057,31615,16720,847
2023,03,SOMERSET,5561,6092,2327,158
2023,03,TALBOT,10744,11683,5723,288
2023,03,WASHINGTON,31097,43906,22209,1144
2023,03,WICOMICO,26714,24024,13817,885
2023,03,WORCESTER,13737,19232,8587,573
2024,06,ALLEGANY,10827,22824,0,566
2024,06,ANNE ARUNDEL,170657,128052,0,4251
2024,06,BALTIMORE CITY,294942,28293,0,5735
2024,06,BALTIMORE CO.,307069,138092,0,7801
2024,06,CALVERT,23236,28005,0,718
2024,06,CAROLINE,5964,10691,0,259
2024,06,CARROLL,33081,63510,0,1323
2024,06,CECIL,19062,35071,0,906
2024,06,CHARLES,74821,23027,0,1199
2024,06,DORCHESTER,9498,9341,0,261
2024,06,FREDERICK,77691,68073,0,1710
2024,06,GARRETT,3465,13716,0,207
2024,06,HARFORD,64201,80792,0,2233
2024,06,HOWARD,121928,48237,0,2472
2024,06,KENT,5730,5335,0,144
2024,06,MONTGOMERY,405476,98097,0,7139
2024,06,PR. GEORGE'S,451183,38584,0,12291
2024,06,QUEEN ANNE'S,11110,20206,0,380
2024,06,ST. MARY'S,24533,31960,0,819
2024,06,SOMERSET,5382,6185,0,170
2024,06,TALBOT,10599,11704,0,274
2024,06,WASHINGTON,30423,44115,0,1173
2024,06,WICOMICO,25911,24020,0,888
2024,06,WORCESTER,13469,19381,0,552
2010,12,ALLEGANY,16623,19932,5386,449
2010,12,ANNE ARUNDEL,146807,122065,63324,150
2010,12,BALTIMORE CITY,291282,32104,40467,1331
2010,12,BALTIMORE CO.,292330,129559,65696,5586
2010,12,CALVERT,23302,22671,10076,521
2010,12,CAROLINE,7386,7511,2966,118
2010,12,CARROLL,33226,54698,16596,787
2010,12,CECIL,24580,23040,11396,865
2010,12,CHARLES,51884,25027,13950,575
2010,12,DORCHESTER,10381,7003,2246,148
2010,12,FREDERICK,52200,58165,26917,54
2010,12,GARRETT,4953,11364,1798,187
2010,12,HARFORD,62292,63720,22717,757
2010,12,HOWARD,86675,55372,34642,1820
2010,12,KENT,5956,4361,1535,133
2010,12,MONTGOMERY,326751,123915,124001,576
2010,12,PR. GEORGE'S,406436,46628,43690,22409
2010,12,QUEEN ANNE'S,11117,14081,4303,207
2010,12,ST. MARY'S,24755,23679,10342,524
2010,12,SOMERSET,7186,4357,1519,120
2010,12,TALBOT,10186,11080,3636,318
2010,12,WASHINGTON,31504,37309,14571,90
2010,12,WICOMICO,25546,19998,8259,671
2010,12,WORCESTER,15797,14072,5403,433
2018,10,ALLEGANY,13662,21797,7284,321
2018,10,ANNE ARUNDEL,164370,136355,85006,1444
2018,10,BALTIMORE CITY,307561,31013,48361,1786
2018,10,BALTIMORE CO.,312943,144100,93738,4671
2018,10,CALVERT,23964,27819,13598,386
2018,10,CAROLINE,6846,9496,3903,111
2018,10,CARROLL,32661,63926,24511,840
2018,10,CECIL,21628,28622,14455,570
2018,10,CHARLES,68932,25149,18536,515
2018,10,DORCHESTER,9959,8288,3086,105
2018,10,FREDERICK,65666,67977,40133,361
2018,10,GARRETT,4203,12927,2520,142
2018,10,HARFORD,65275,78832,35888,1122
2018,10,HOWARD,109943,55966,49254,1835
2018,10,KENT,6076,4832,2129,101
2018,10,MONTGOMERY,396374,114405,145513,5268
2018,10,PR. GEORGE'S,460724,40713,69474,11354
2018,10,QUEEN ANNE'S,10845,18153,6705,181
2018,10,ST. MARY'S,26011,29904,14767,413
2018,10,SOMERSET,5911,5353,1846,72
2018,10,TALBOT,10374,11664,4911,209
2018,10,WASHINGTON,32453,42938,19510,590
2018,10,WICOMICO,26798,23100,11352,434
2018,10,WORCESTER,14184,17282,7047,320
2022,07,ALLEGANY,11951,22756,8364,385
2022,07,ANNE ARUNDEL,174194,130453,98405,3151
2022,07,BALTIMORE CITY,304190,28341,56216,3945
2022,07,BALTIMORE CO.,309949,137776,108024,6283
2022,07,CALVERT,23992,27840,15490,560
2022,07,CAROLINE,6323,10481,4579,174
2022,07,CARROLL,33686,63996,28561,1049
2022,07,CECIL,20830,31886,16627,691
2022,07,CHARLES,74276,23376,21905,860
2022,07,DORCHESTER,9621,8962,3766,196
2022,07,FREDERICK,76234,68169,48168,1050
2022,07,GARRETT,3755,13648,2823,163
2022,07,HARFORD,65412,80050,41301,1654
2022,07,HOWARD,121076,49322,56630,2027
2022,07,KENT,5843,5226,2562,113
2022,07,MONTGOMERY,411577,98227,159152,5681
2022,07,PR. GEORGE'S,463819,37494,85906,11325
2022,07,QUEEN ANNE'S,11092,19534,8033,302
2022,07,ST. MARY'S,25636,31854,16857,642
2022,07,SOMERSET,5582,5939,2304,116
2022,07,TALBOT,10798,11642,5699,270
2022,07,WASHINGTON,31410,43728,22313,934
2022,07,WICOMICO,26908,23905,13500,678
2022,07,WORCESTER,13905,18941,8467,492
2022,12,ALLEGANY,11759,22890,8450,381
2022,12,ANNE ARUNDEL,175135,130080,98261,2964
2022,12,BALTIMORE CITY,303227,28032,57034,3982
