,County,DEM,OTH,REP,UNA
0,Allegany,0.3272046305754171,0.556830031282586,0.24803514570150337,0.4898984719515947
1,Anne Arundel,0.25898749945364746,0.47095332671300894,0.23468655027598662,0.3930447573019542
2,Baltimore City,0.40536101502400745,0.6587958956607739,0.5030931821110968,0.5787133159576504
3,Baltimore County,0.2827709417220581,0.5047651176520199,0.24313904772302358,0.4364920151010157
4,Calvert,0.2434065485425002,0.4116777531411678,0.19931806144067796,0.3715676838589141
5,Caroline,0.32644299570678964,0.5168539325842697,0.20680107294280523,0.45724623881165494
6,Carroll,0.21921668894183277,0.3809132044426162,0.18859955683119434,0.36049933401480655
7,Cecil,0.34126239944726844,0.4943820224719101,0.21795181693658852,0.4681058269761402
8,Charles,0.27506245998167006,0.4972893050763923,0.25037767353104873,0.4361631995312042
9,Dorchester,0.3475076297049847,0.5488888888888889,0.19434628975265017,0.4821935765785449
10,Frederick,0.24312868321901265,0.44931662870159456,0.22413346246709134,0.37825302757021384
11,Garrett,0.26526664824537166,0.45042492917847027,0.22699175824175824,0.4477252184392889
12,Harford,0.2569397980879314,0.4417101665423813,0.18579042933286477,0.3819019672673169
13,Howard,0.2293407468724132,0.4481827111984283,0.22878855959520972,0.35350072715400827
14,Kent,0.2331922099915326,0.4435483870967742,0.1846288209606987,0.37622094981475246
15,Montgomery,0.24696020655080989,0.4786733983286908,0.2830099908670744,0.3902699954453495
16,Prince George's,0.3497933056121271,0.6841176112497717,0.43401727861771056,0.5242382453952165
17,Queen Anne's,0.2380209687202149,0.3706896551724138,0.18514018691588785,0.35586734693877553
18,Saint Mary's,0.29469962005793177,0.4505703422053232,0.20876589209021873,0.40370813397129185
19,Somerset,0.3799854967367658,0.5126353790613718,0.22096799134065254,0.5020731247644177
20,Talbot,0.24325991189427312,0.4672897196261682,0.20060668955057076,0.3835575485799701
21,Washington,0.3247454113055674,0.5128926394749179,0.2360264015373047,0.47021660649819497
22,Wicomico,0.3531530875877879,0.5562870309414089,0.23132211818640974,0.4816502463054187
23,Worcester,0.2902102771201783,0.4318429661941112,0.2248977096364577,0.4163576225318232
