,age_bracket,Legislative,Party,Count,voted_2024,voted_2020,voted_2016
0,18-24,36,DEM,739,427,233,0
1,18-24,36,OTH,72,28,7,0
2,18-24,36,REP,1475,871,373,0
3,18-24,36,UNA,1123,440,174,0
4,18-24,01A,DEM,486,312,131,0
5,18-24,01A,OTH,74,26,14,0
6,18-24,01A,REP,1861,1026,406,0
7,18-24,01A,UNA,856,338,106,0
8,18-24,01B,DEM,701,394,168,0
9,18-24,01B,OTH,98,37,9,0
10,18-24,01B,REP,1409,764,302,0
11,18-24,01B,UNA,1124,409,124,0
12,18-24,01C,DEM,605,325,130,0
13,18-24,01C,OTH,98,34,11,0
14,18-24,01C,REP,1625,963,339,0
15,18-24,01C,UNA,1122,444,141,0
16,18-24,02A,DEM,1827,1043,453,0
17,18-24,02A,OTH,170,85,23,0
18,18-24,02A,REP,2729,1581,649,0
19,18-24,02A,UNA,2709,1085,360,0
20,18-24,02B,DEM,1196,543,250,0
21,18-24,02B,OTH,118,38,11,0
22,18-24,02B,REP,609,266,97,0
23,18-24,02B,UNA,1344,388,139,0
24,18-24,03,DEM,4777,2752,1224,0
25,18-24,03,OTH,308,117,39,0
26,18-24,03,REP,1701,901,347,0
27,18-24,03,UNA,4442,1802,672,0
28,18-24,04,DEM,3747,2286,996,0
29,18-24,04,OTH,276,107,46,0
30,18-24,04,REP,4210,2517,1035,1
31,18-24,04,UNA,5058,2155,792,1
32,18-24,05,DEM,2920,1849,875,0
33,18-24,05,OTH,250,113,59,0
34,18-24,05,REP,4779,2951,1245,0
35,18-24,05,UNA,4334,1916,732,0
36,18-24,06,DEM,3272,1603,690,0
37,18-24,06,OTH,335,102,34,0
38,18-24,06,REP,1991,1155,386,0
39,18-24,06,UNA,3556,1188,373,0
40,18-24,07A,DEM,2337,1411,608,1
41,18-24,07A,OTH,161,57,22,0
42,18-24,07A,REP,1828,1095,438,0
43,18-24,07A,UNA,2342,1044,335,0
44,18-24,07B,DEM,896,511,244,0
45,18-24,07B,OTH,95,44,16,0
46,18-24,07B,REP,1549,923,391,0
47,18-24,07B,UNA,1405,638,204,0
48,18-24,08,DEM,4913,2721,1168,1
49,18-24,08,OTH,279,92,25,0
50,18-24,08,REP,1316,748,290,1
51,18-24,08,UNA,3105,1222,417,0
52,18-24,09A,DEM,3871,2334,1081,0
53,18-24,09A,OTH,168,67,26,0
54,18-24,09A,REP,2114,1212,584,0
55,18-24,09A,UNA,4073,1708,658,0
56,18-24,09B,DEM,1997,1232,571,0
57,18-24,09B,OTH,64,26,9,0
58,18-24,09B,REP,516,299,127,0
59,18-24,09B,UNA,1581,692,270,0
60,18-24,10,DEM,6126,3591,1684,0
61,18-24,10,OTH,255,76,31,0
62,18-24,10,REP,1007,537,227,0
63,18-24,10,UNA,2883,1253,475,0
64,18-24,11A,DEM,1967,1173,541,1
65,18-24,11A,OTH,67,20,11,0
66,18-24,11A,REP,327,162,77,0
67,18-24,11A,UNA,898,403,153,0
68,18-24,11B,DEM,3411,2033,895,0
69,18-24,11B,OTH,108,46,19,0
70,18-24,11B,REP,1631,883,362,0
71,18-24,11B,UNA,2111,872,320,0
72,18-24,12A,DEM,3782,2328,1090,0
73,18-24,12A,OTH,169,77,28,0
74,18-24,12A,REP,986,589,255,0
75,18-24,12A,UNA,2782,1279,449,0
76,18-24,12B,DEM,1307,674,327,0
77,18-24,12B,OTH,119,40,5,0
78,18-24,12B,REP,553,301,125,0
79,18-24,12B,UNA,1167,406,133,0
80,18-24,13,DEM,6038,3685,1622,0
81,18-24,13,OTH,268,109,36,0
82,18-24,13,REP,1171,675,276,0
83,18-24,13,UNA,4182,1856,693,0
84,18-24,14,DEM,5851,3578,1691,0
85,18-24,14,OTH,285,116,46,0
86,18-24,14,REP,1618,931,429,0
87,18-24,14,UNA,4362,1931,739,0
88,18-24,15,DEM,6615,3745,1866,2
89,18-24,15,OTH,221,85,41,0
90,18-24,15,REP,1575,799,373,0
91,18-24,15,UNA,5436,2146,927,1
92,18-24,16,DEM,6779,3859,1673,2
93,18-24,16,OTH,137,54,24,0
94,18-24,16,REP,1330,679,281,0
95,18-24,16,UNA,3903,1487,594,0
96,18-24,17,DEM,4862,2818,1338,0
97,18-24,17,OTH,194,76,29,0
98,18-24,17,REP,899,456,199,0
99,18-24,17,UNA,3426,1423,535,0
100,18-24,18,DEM,5864,3339,1507,1
101,18-24,18,OTH,213,71,36,1
102,18-24,18,REP,1012,543,219,0
103,18-24,18,UNA,3265,1377,427,0
104,18-24,19,DEM,4782,2859,1339,0
105,18-24,19,OTH,227,78,27,0
106,18-24,19,REP,1057,585,252,0
107,18-24,19,UNA,3509,1528,581,0
108,18-24,20,DEM,5384,3165,1341,0
109,18-24,20,OTH,188,62,20,0
110,18-24,20,REP,507,264,98,0
111,18-24,20,UNA,2689,1135,392,0
112,18-24,21,DEM,5309,3272,1263,0
113,18-24,21,OTH,223,88,25,0
114,18-24,21,REP,951,534,181,0
115,18-24,21,UNA,3288,1428,472,0
116,18-24,22,DEM,5407,2913,1365,2
117,18-24,22,OTH,293,85,18,0
118,18-24,22,REP,552,248,74,0
119,18-24,22,UNA,2946,1037,342,2
120,18-24,23,DEM,7915,4798,2225,2
121,18-24,23,OTH,257,105,36,0
122,18-24,23,REP,674,338,142,0
123,18-24,23,UNA,3404,1395,574,1
124,18-24,24,DEM,7135,3895,1854,1
125,18-24,24,OTH,312,104,25,0
126,18-24,24,REP,406,183,64,0
127,18-24,24,UNA,2911,1088,353,1
128,18-24,25,DEM,6936,3744,1875,2
129,18-24,25,OTH,257,79,26,0
130,18-24,25,REP,332,146,61,0
131,18-24,25,UNA,2635,980,355,1
132,18-24,26,DEM,5932,3169,1606,0
133,18-24,26,OTH,223,72,23,0
134,18-24,26,REP,359,129,54,0
135,18-24,26,UNA,2367,845,308,2
136,18-24,27A,DEM,2590,1368,683,1
137,18-24,27A,OTH,71,27,10,0
138,18-24,27A,REP,308,166,71,0
139,18-24,27A,UNA,1151,434,154,1
140,18-24,27B,DEM,1909,1131,554,0
141,18-24,27B,OTH,76,22,9,0
142,18-24,27B,REP,860,514,199,1
143,18-24,27B,UNA,1479,594,205,0
144,18-24,27C,DEM,1198,744,347,0
145,18-24,27C,OTH,108,46,19,0
146,18-24,27C,REP,1660,1003,390,1
147,18-24,27C,UNA,1516,674,244,0
148,18-24,28,DEM,7459,4296,2029,3
149,18-24,28,OTH,237,96,32,0
150,18-24,28,REP,1768,1013,413,0
151,18-24,28,UNA,4173,1753,608,1
152,18-24,29A,DEM,803,463,226,0
153,18-24,29A,OTH,88,38,6,0
154,18-24,29A,REP,1853,1183,444,0
155,18-24,29A,UNA,1327,594,194,0
156,18-24,29B,DEM,1393,758,350,0
157,18-24,29B,OTH,97,33,12,0
158,18-24,29B,REP,789,434,167,0
159,18-24,29B,UNA,1281,481,175,0
160,18-24,29C,DEM,1076,630,289,0
161,18-24,29C,OTH,120,44,20,0
162,18-24,29C,REP,1426,877,306,0
163,18-24,29C,UNA,1504,614,224,0
164,18-24,30A,DEM,2452,1473,664,0
165,18-24,30A,OTH,173,64,23,0
166,18-24,30A,REP,1334,653,304,0
167,18-24,30A,UNA,2174,877,357,0
168,18-24,30B,DEM,985,617,280,0
169,18-24,30B,OTH,105,38,12,0
170,18-24,30B,REP,1255,720,310,0
171,18-24,30B,UNA,1464,601,210,0
172,18-24,31,DEM,3295,2033,884,0
173,18-24,31,OTH,298,121,33,0
174,18-24,31,REP,3591,2103,874,1
175,18-24,31,UNA,4399,1838,661,1
176,18-24,32,DEM,4550,2627,1201,0
177,18-24,32,OTH,302,113,33,0
178,18-24,32,REP,1428,840,313,0
179,18-24,32,UNA,3692,1529,513,0
180,18-24,33A,DEM,1689,1010,431,0
181,18-24,33A,OTH,102,37,13,0
182,18-24,33A,REP,614,331,122,0
183,18-24,33A,UNA,1520,661,198,0
184,18-24,33B,DEM,1424,834,364,1
185,18-24,33B,OTH,91,23,13,0
186,18-24,33B,REP,1293,698,307,0
187,18-24,33B,UNA,1776,778,276,0
188,18-24,33C,DEM,1609,994,438,0
189,18-24,33C,OTH,97,44,21,0
190,18-24,33C,REP,1193,649,300,0
191,18-24,33C,UNA,1781,756,245,0
192,18-24,34A,DEM,3166,1674,776,0
193,18-24,34A,OTH,261,65,31,0
194,18-24,34A,REP,1251,656,276,0
195,18-24,34A,UNA,2799,1048,358,1
196,18-24,34B,DEM,1136,684,314,0
197,18-24,34B,OTH,94,45,20,0
198,18-24,34B,REP,1262,733,343,0
199,18-24,34B,UNA,1485,656,244,0
200,18-24,35A,DEM,1749,1135,503,0
201,18-24,35A,OTH,183,75,29,0
202,18-24,35A,REP,3675,2257,912,0
203,18-24,35A,UNA,3093,1359,521,0
204,18-24,35B,DEM,722,377,165,0
205,18-24,35B,OTH,103,35,12,0
206,18-24,35B,REP,1876,1130,409,0
207,18-24,35B,UNA,1483,555,182,0
208,18-24,36,DEM,1936,997,442,0
209,18-24,36,OTH,216,84,27,0
210,18-24,36,REP,3097,1795,679,0
211,18-24,36,UNA,2841,1029,343,1
212,18-24,37A,DEM,1424,554,233,0
213,18-24,37A,OTH,140,29,8,0
214,18-24,37A,REP,647,306,131,0
215,18-24,37A,UNA,1185,344,108,0
216,18-24,37B,DEM,1741,933,441,0
217,18-24,37B,OTH,184,58,16,0
218,18-24,37B,REP,2808,1618,668,0
219,18-24,37B,UNA,2464,909,336,0
220,18-24,38A,DEM,1048,454,228,0
221,18-24,38A,OTH,100,27,12,0
222,18-24,38A,REP,1298,704,273,0
223,18-24,38A,UNA,1118,422,119,0
224,18-24,38B,DEM,1334,728,315,0
225,18-24,38B,OTH,106,30,8,0
226,18-24,38B,REP,878,489,204,0
227,18-24,38B,UNA,1288,489,163,0
228,18-24,38C,DEM,666,369,197,0
229,18-24,38C,OTH,88,36,10,0
230,18-24,38C,REP,1491,805,336,0
231,18-24,38C,UNA,1114,465,179,0
232,18-24,39,DEM,5592,3251,1509,1
233,18-24,39,OTH,301,95,30,0
234,18-24,39,REP,957,510,202,0
235,18-24,39,UNA,4185,1744,661,0
236,18-24,40,DEM,4694,2237,825,0
237,18-24,40,OTH,263,67,13,0
238,18-24,40,REP,352,119,35,0
239,18-24,40,UNA,1921,635,176,0
240,18-24,41,DEM,5747,2965,1302,0
241,18-24,41,OTH,219,74,11,0
242,18-24,41,REP,703,326,96,1
243,18-24,41,UNA,1949,702,232,0
244,18-24,42A,DEM,1197,755,360,0
245,18-24,42A,OTH,72,31,14,0
246,18-24,42A,REP,1527,850,373,0
247,18-24,42A,UNA,1422,617,233,0
248,18-24,42B,DEM,1448,864,383,0
249,18-24,42B,OTH,64,21,12,0
250,18-24,42B,REP,714,374,178,0
251,18-24,42B,UNA,1090,468,183,0
252,18-24,42C,DEM,809,495,246,0
253,18-24,42C,OTH,76,39,12,0
254,18-24,42C,REP,1656,1052,460,0
255,18-24,42C,UNA,1269,572,193,0
256,18-24,43A,DEM,4410,2629,757,0
257,18-24,43A,OTH,156,62,9,0
258,18-24,43A,REP,237,108,23,0
259,18-24,43A,UNA,1398,679,156,1
260,18-24,43B,DEM,1987,1245,495,0
261,18-24,43B,OTH,63,28,17,0
262,18-24,43B,REP,396,199,108,0
263,18-24,43B,UNA,1043,487,159,0
264,18-24,44A,DEM,1206,645,297,0
265,18-24,44A,OTH,117,31,14,0
266,18-24,44A,REP,414,237,77,0
267,18-24,44A,UNA,1054,389,125,0
268,18-24,44B,DEM,3706,2131,940,0
269,18-24,44B,OTH,190,59,25,0
270,18-24,44B,REP,636,349,123,0
271,18-24,44B,UNA,1767,762,261,0
272,18-24,45,DEM,5759,2807,1166,3
273,18-24,45,OTH,236,51,17,0
274,18-24,45,REP,376,146,44,0
275,18-24,45,UNA,2118,739,214,1
276,18-24,46,DEM,3123,1771,678,0
277,18-24,46,OTH,198,52,18,0
278,18-24,46,REP,497,242,88,0
279,18-24,46,UNA,1601,643,184,0
280,18-24,47A,DEM,3091,1577,736,0
281,18-24,47A,OTH,177,44,12,0
282,18-24,47A,REP,318,137,30,0
283,18-24,47A,UNA,1649,535,173,0
284,18-24,47B,DEM,1173,606,245,0
285,18-24,47B,OTH,80,22,1,0
286,18-24,47B,REP,147,59,14,0
287,18-24,47B,UNA,680,244,68,0
288,25-34,36,DEM,1023,632,622,424
289,25-34,36,OTH,117,66,54,37
290,25-34,36,REP,1948,1401,1262,894
291,25-34,36,UNA,1237,642,570,349
292,25-34,01A,DEM,741,418,384,266
293,25-34,01A,OTH,88,35,34,19
294,25-34,01A,REP,2647,1710,1573,1095
295,25-34,01A,UNA,1066,441,360,203
296,25-34,01B,DEM,1260,673,630,432
297,25-34,01B,OTH,185,69,46,45
298,25-34,01B,REP,2012,1252,1050,820
299,25-34,01B,UNA,1507,592,498,319
300,25-34,01C,DEM,970,529,480,342
301,25-34,01C,OTH,134,52,51,40
302,25-34,01C,REP,2267,1431,1238,940
303,25-34,01C,UNA,1393,555,435,361
304,25-34,02A,DEM,2551,1467,1446,937
305,25-34,02A,OTH,266,122,96,76
306,25-34,02A,REP,3780,2491,2121,1615
307,25-34,02A,UNA,2836,1296,1082,754
308,25-34,02B,DEM,2157,1001,895,588
309,25-34,02B,OTH,195,66,47,44
310,25-34,02B,REP,1090,553,402,348
311,25-34,02B,UNA,1880,601,437,320
312,25-34,03,DEM,8990,5754,5334,3592
313,25-34,03,OTH,433,199,164,99
314,25-34,03,REP,3577,2176,1895,1315
315,25-34,03,UNA,5681,2811,2359,1428
316,25-34,04,DEM,4630,3006,3056,2007
317,25-34,04,OTH,325,169,168,122
318,25-34,04,REP,5245,3513,3244,2330
319,25-34,04,UNA,4432,2326,2151,1324
320,25-34,05,DEM,3927,2547,2640,1737
321,25-34,05,OTH,415,205,204,144
322,25-34,05,REP,6558,4465,4310,3145
323,25-34,05,UNA,4685,2404,2231,1455
324,25-34,06,DEM,6158,2900,2759,2148
325,25-34,06,OTH,513,159,132,105
326,25-34,06,REP,3458,2165,1676,1306
327,25-34,06,UNA,4453,1715,1307,959
328,25-34,07A,DEM,3774,2366,2308,1542
329,25-34,07A,OTH,251,107,102,80
330,25-34,07A,REP,2838,1928,1677,1340
331,25-34,07A,UNA,2662,1275,1163,754
332,25-34,07B,DEM,1379,903,915,586
333,25-34,07B,OTH,138,68,51,42
334,25-34,07B,REP,2035,1458,1333,937
335,25-34,07B,UNA,1479,804,703,456
336,25-34,08,DEM,9292,5444,5154,3684
337,25-34,08,OTH,450,171,156,132
338,25-34,08,REP,2643,1658,1338,1031
339,25-34,08,UNA,4491,2053,1661,1190
340,25-34,09A,DEM,3918,2403,2710,1733
341,25-34,09A,OTH,166,84,84,59
342,25-34,09A,REP,2061,1222,1318,872
343,25-34,09A,UNA,2465,1243,1319,754
344,25-34,09B,DEM,2112,1302,1450,940
345,25-34,09B,OTH,71,37,25,20
346,25-34,09B,REP,584,367,330,225
347,25-34,09B,UNA,1074,540,574,319
348,25-34,10,DEM,9814,5795,6001,4327
349,25-34,10,OTH,340,146,128,87
350,25-34,10,REP,1652,989,886,628
351,25-34,10,UNA,3622,1707,1562,1006
352,25-34,11A,DEM,3395,2072,2012,1449
353,25-34,11A,OTH,123,62,44,35
354,25-34,11A,REP,545,315,263,189
355,25-34,11A,UNA,1231,588,528,321
356,25-34,11B,DEM,4711,2960,3002,2129
357,25-34,11B,OTH,179,82,69,53
358,25-34,11B,REP,1905,1191,1101,713
359,25-34,11B,UNA,1988,948,934,540
360,25-34,12A,DEM,6674,4466,4241,2791
361,25-34,12A,OTH,254,121,112,64
362,25-34,12A,REP,1657,1044,923,590
363,25-34,12A,UNA,3521,1891,1566,918
364,25-34,12B,DEM,2542,1414,1338,932
365,25-34,12B,OTH,184,73,57,39
366,25-34,12B,REP,1062,645,524,383
367,25-34,12B,UNA,1738,725,591,358
368,25-34,13,DEM,9435,6252,6080,3991
369,25-34,13,OTH,362,143,129,109
370,25-34,13,REP,2143,1330,1127,751
371,25-34,13,UNA,4622,2442,2152,1282
372,25-34,14,DEM,7875,4938,5407,3524
373,25-34,14,OTH,285,125,139,87
374,25-34,14,REP,1972,1178,1168,781
375,25-34,14,UNA,3843,1917,1994,1154
376,25-34,15,DEM,8230,5067,5337,3270
377,25-34,15,OTH,290,128,122,80
378,25-34,15,REP,1911,1082,1050,659
379,25-34,15,UNA,4268,2090,1983,1044
380,25-34,16,DEM,8618,5301,4865,2981
381,25-34,16,OTH,196,96,92,62
382,25-34,16,REP,1571,886,800,461
383,25-34,16,UNA,3379,1764,1422,766
384,25-34,17,DEM,8992,5931,5224,3186
385,25-34,17,OTH,297,138,112,80
386,25-34,17,REP,1601,988,747,433
387,25-34,17,UNA,4274,2200,1815,966
388,25-34,18,DEM,8319,5434,4903,3055
389,25-34,18,OTH,229,97,94,56
390,25-34,18,REP,1263,779,635,384
391,25-34,18,UNA,3318,1771,1456,807
392,25-34,19,DEM,7255,4605,4610,2925
393,25-34,19,OTH,262,112,111,70
394,25-34,19,REP,1549,927,787,492
395,25-34,19,UNA,3389,1710,1595,888
396,25-34,20,DEM,9784,6417,5115,3101
397,25-34,20,OTH,287,110,106,58
398,25-34,20,REP,819,471,339,216
399,25-34,20,UNA,3306,1673,1269,677
400,25-34,21,DEM,9884,5187,5155,3618
401,25-34,21,OTH,375,123,111,73
402,25-34,21,REP,1835,839,694,502
403,25-34,21,UNA,4916,1937,1671,1051
404,25-34,22,DEM,9983,5317,5229,3630
405,25-34,22,OTH,360,123,98,67
406,25-34,22,REP,948,486,363,222
407,25-34,22,UNA,3498,1433,1270,774
408,25-34,23,DEM,12089,7245,7630,5446
409,25-34,23,OTH,363,144,158,102
410,25-34,23,REP,1220,658,573,413
411,25-34,23,UNA,4101,1841,1783,1144
412,25-34,24,DEM,12758,6586,7027,5109
413,25-34,24,OTH,422,142,140,98
414,25-34,24,REP,708,305,270,192
415,25-34,24,UNA,3633,1460,1326,872
416,25-34,25,DEM,13723,7312,7696,5688
417,25-34,25,OTH,405,134,127,81
418,25-34,25,REP,721,290,246,152
419,25-34,25,UNA,3651,1403,1347,896
420,25-34,26,DEM,12067,5910,6176,4581
421,25-34,26,OTH,350,107,102,63
422,25-34,26,REP,738,323,246,154
423,25-34,26,UNA,3665,1368,1236,791
424,25-34,27A,DEM,3956,2171,2299,1699
425,25-34,27A,OTH,111,38,27,19
426,25-34,27A,REP,534,292,260,183
427,25-34,27A,UNA,1355,562,542,372
428,25-34,27B,DEM,2917,1741,1791,1273
429,25-34,27B,OTH,124,49,42,32
430,25-34,27B,REP,1188,776,672,502
431,25-34,27B,UNA,1426,692,568,362
432,25-34,27C,DEM,1647,975,985,682
433,25-34,27C,OTH,123,65,52,38
434,25-34,27C,REP,2095,1464,1205,969
435,25-34,27C,UNA,1453,698,609,419
436,25-34,28,DEM,10288,5948,6176,4359
437,25-34,28,OTH,383,161,151,109
438,25-34,28,REP,2643,1650,1404,980
439,25-34,28,UNA,4537,2126,1876,1207
440,25-34,29A,DEM,1267,727,726,500
441,25-34,29A,OTH,119,57,53,34
442,25-34,29A,REP,2430,1746,1474,1082
443,25-34,29A,UNA,1574,796,624,442
444,25-34,29B,DEM,2618,1479,1389,893
445,25-34,29B,OTH,202,101,82,46
446,25-34,29B,REP,1564,973,767,487
447,25-34,29B,UNA,2040,970,690,383
448,25-34,29C,DEM,1737,1035,1008,674
449,25-34,29C,OTH,172,90,76,51
450,25-34,29C,REP,2113,1429,1155,859
451,25-34,29C,UNA,1730,840,646,415
452,25-34,30A,DEM,4668,2953,2763,1793
453,25-34,30A,OTH,235,103,92,63
454,25-34,30A,REP,2559,1611,1365,892
455,25-34,30A,UNA,2866,1425,1207,710
456,25-34,30B,DEM,1380,841,875,564
457,25-34,30B,OTH,97,43,42,31
458,25-34,30B,REP,1828,1253,1112,793
459,25-34,30B,UNA,1364,716,625,368
460,25-34,31,DEM,5554,3617,3564,2263
461,25-34,31,OTH,435,230,192,114
462,25-34,31,REP,5524,3825,3373,2412
463,25-34,31,UNA,5103,2660,2254,1386
464,25-34,32,DEM,8924,5400,5007,3240
465,25-34,32,OTH,460,193,143,82
466,25-34,32,REP,2914,1833,1447,947
467,25-34,32,UNA,5773,2629,2136,1191
468,25-34,33A,DEM,2785,1788,1620,1049
469,25-34,33A,OTH,145,70,51,30
470,25-34,33A,REP,1034,647,521,339
471,25-34,33A,UNA,1956,1044,774,443
472,25-34,33B,DEM,1789,1198,1229,793
473,25-34,33B,OTH,126,56,76,38
474,25-34,33B,REP,1441,961,902,610
475,25-34,33B,UNA,1428,749,706,404
476,25-34,33C,DEM,1808,1217,1190,794
477,25-34,33C,OTH,109,47,55,41
478,25-34,33C,REP,1504,980,893,648
479,25-34,33C,UNA,1425,758,688,411
480,25-34,34A,DEM,5166,2932,2854,1941
481,25-34,34A,OTH,399,179,146,101
482,25-34,34A,REP,2387,1492,1193,882
483,25-34,34A,UNA,3713,1670,1344,876
484,25-34,34B,DEM,1928,1345,1277,837
485,25-34,34B,OTH,164,83,67,47
486,25-34,34B,REP,2049,1469,1303,982
487,25-34,34B,UNA,1743,948,841,504
488,25-34,35A,DEM,2316,1496,1563,991
489,25-34,35A,OTH,278,155,143,106
490,25-34,35A,REP,4513,3282,3042,2200
491,25-34,35A,UNA,2764,1484,1380,839
492,25-34,35B,DEM,1238,669,603,396
493,25-34,35B,OTH,175,83,55,38
494,25-34,35B,REP,2527,1748,1403,940
495,25-34,35B,UNA,1680,733,513,359
496,25-34,36,DEM,2971,1596,1417,891
497,25-34,36,OTH,309,136,122,81
498,25-34,36,REP,4279,2980,2432,1697
499,25-34,36,UNA,3299,1498,1106,682
500,25-34,37A,DEM,2592,1084,1041,776
501,25-34,37A,OTH,162,59,41,26
502,25-34,37A,REP,1060,629,523,363
503,25-34,37A,UNA,1483,518,456,266
504,25-34,37B,DEM,2726,1462,1525,976
505,25-34,37B,OTH,248,112,102,73
506,25-34,37B,REP,3842,2647,2377,1735
507,25-34,37B,UNA,2570,1120,1004,618
508,25-34,38A,DEM,1663,818,836,592
509,25-34,38A,OTH,122,50,39,35
510,25-34,38A,REP,1736,1136,1040,754
511,25-34,38A,UNA,1273,481,435,283
512,25-34,38B,DEM,1998,1027,1028,698
513,25-34,38B,OTH,159,55,56,41
514,25-34,38B,REP,1226,739,607,454
515,25-34,38B,UNA,1686,674,584,326
516,25-34,38C,DEM,1133,604,632,375
517,25-34,38C,OTH,154,67,59,38
518,25-34,38C,REP,2084,1342,1221,816
519,25-34,38C,UNA,1507,656,594,323
520,25-34,39,DEM,8505,5095,5262,3303
521,25-34,39,OTH,347,143,142,78
522,25-34,39,REP,1575,901,756,486
523,25-34,39,UNA,4315,2081,1888,1025
524,25-34,40,DEM,13539,6659,5628,4370
525,25-34,40,OTH,552,178,132,101
526,25-34,40,REP,871,308,238,179
527,25-34,40,UNA,3954,1402,1063,744
528,25-34,41,DEM,10578,5161,5131,4008
529,25-34,41,OTH,375,106,84,81
530,25-34,41,REP,1244,579,425,269
531,25-34,41,UNA,3040,1108,920,692
532,25-34,42A,DEM,1299,826,931,596
533,25-34,42A,OTH,104,43,53,41
534,25-34,42A,REP,1658,1086,1105,738
535,25-34,42A,UNA,1036,546,562,335
536,25-34,42B,DEM,2552,1567,1566,981
537,25-34,42B,OTH,116,58,46,29
538,25-34,42B,REP,961,581,532,369
539,25-34,42B,UNA,1226,629,567,358
540,25-34,42C,DEM,1135,725,760,511
541,25-34,42C,OTH,120,66,58,47
542,25-34,42C,REP,2310,1585,1511,1102
543,25-34,42C,UNA,1439,765,709,464
544,25-34,43A,DEM,8757,4685,4270,3246
545,25-34,43A,OTH,283,108,83,63
546,25-34,43A,REP,419,154,123,101
547,25-34,43A,UNA,2214,841,701,511
548,25-34,43B,DEM,2644,1641,1554,989
549,25-34,43B,OTH,96,40,44,24
550,25-34,43B,REP,609,366,357,218
551,25-34,43B,UNA,1057,518,428,272
552,25-34,44A,DEM,2437,1425,1353,957
553,25-34,44A,OTH,184,60,62,41
554,25-34,44A,REP,879,530,446,282
555,25-34,44A,UNA,1403,643,528,347
556,25-34,44B,DEM,6515,3844,3898,2861
557,25-34,44B,OTH,271,105,103,63
558,25-34,44B,REP,1120,684,582,413
559,25-34,44B,UNA,2366,1068,990,689
560,25-34,45,DEM,11533,5320,5000,4181
561,25-34,45,OTH,479,118,113,82
562,25-34,45,REP,814,301,226,176
563,25-34,45,UNA,3334,1089,947,720
564,25-34,46,DEM,16970,11123,8124,4659
565,25-34,46,OTH,555,233,173,80
566,25-34,46,REP,3067,1783,1409,852
567,25-34,46,UNA,6624,3459,2310,1070
568,25-34,47A,DEM,6418,3205,3048,2102
569,25-34,47A,OTH,254,74,59,37
570,25-34,47A,REP,559,268,165,108
571,25-34,47A,UNA,2135,815,644,403
572,25-34,47B,DEM,2144,1059,1049,621
573,25-34,47B,OTH,93,32,26,22
574,25-34,47B,REP,208,104,74,41
575,25-34,47B,UNA,815,290,252,130
576,35-50,36,DEM,1710,1240,1201,1005
577,35-50,36,OTH,136,88,73,61
578,35-50,36,REP,3469,2857,2664,2272
579,35-50,36,UNA,1867,1261,1101,874
580,35-50,01A,DEM,1141,753,660,572
581,35-50,01A,OTH,158,83,68,50
582,35-50,01A,REP,4237,3125,2947,2525
583,35-50,01A,UNA,1528,758,636,534
584,35-50,01B,DEM,2024,1226,1129,1022
585,35-50,01B,OTH,234,88,92,68
586,35-50,01B,REP,3419,2356,2114,1895
587,35-50,01B,UNA,2100,1051,832,708
588,35-50,01C,DEM,1532,963,881,800
589,35-50,01C,OTH,199,90,77,78
590,35-50,01C,REP,3696,2729,2450,2244
591,35-50,01C,UNA,2004,1087,886,807
592,35-50,02A,DEM,3907,2815,2546,2154
593,35-50,02A,OTH,337,196,164,141
594,35-50,02A,REP,6709,5246,4565,4161
595,35-50,02A,UNA,4496,2748,2310,1983
596,35-50,02B,DEM,3128,1759,1632,1394
597,35-50,02B,OTH,251,97,93,79
598,35-50,02B,REP,1950,1160,969,908
599,35-50,02B,UNA,2450,1059,866,733
600,35-50,03,DEM,13082,9781,8981,7210
601,35-50,03,OTH,583,305,260,213
602,35-50,03,REP,5556,3918,3544,2896
603,35-50,03,UNA,8478,5336,4502,3324
604,35-50,04,DEM,9420,7654,7082,5887
605,35-50,04,OTH,538,358,310,261
606,35-50,04,REP,10300,8414,7734,6782
607,35-50,04,UNA,8778,6106,5324,4157
608,35-50,05,DEM,6836,5417,5184,4488
609,35-50,05,OTH,621,412,378,323
610,35-50,05,REP,11479,9347,8836,7826
611,35-50,05,UNA,7728,5260,4824,3953
612,35-50,06,DEM,9103,5043,4851,4684
613,35-50,06,OTH,727,280,266,216
614,35-50,06,REP,6412,4499,4022,3549
615,35-50,06,UNA,6326,3028,2635,2297
616,35-50,07A,DEM,6701,5009,4795,4224
617,35-50,07A,OTH,391,218,198,172
618,35-50,07A,REP,5300,4148,3825,3533
619,35-50,07A,UNA,4520,2815,2580,2150
620,35-50,07B,DEM,2514,1951,1936,1642
621,35-50,07B,OTH,195,130,114,88
622,35-50,07B,REP,4209,3498,3358,2975
623,35-50,07B,UNA,2514,1735,1573,1274
624,35-50,08,DEM,13279,8761,8450,7830
625,35-50,08,OTH,672,347,293,273
626,35-50,08,REP,4348,2953,2632,2437
627,35-50,08,UNA,6244,3319,2981,2538
628,35-50,09A,DEM,7383,5989,5600,4546
629,35-50,09A,OTH,283,157,154,119
630,35-50,09A,REP,4356,3470,3220,2685
631,35-50,09A,UNA,5730,4178,3660,2550
632,35-50,09B,DEM,3863,3080,2857,2311
633,35-50,09B,OTH,118,65,54,50
634,35-50,09B,REP,1189,905,799,644
635,35-50,09B,UNA,2515,1778,1488,1067
636,35-50,10,DEM,14312,9988,10045,9053
637,35-50,10,OTH,524,243,228,197
