COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,127,42,43,11,1,1,31,5,92,"13,772","21,447",142,288,"7,220",291,"43,160",2,"2,985"
ANNE ARUNDEL,"1,503",830,196,126,11,19,289,10,651,"161,365","135,191",841,"2,782","83,945","1,255","385,379",44,"20,743"
BALTIMORE CITY,"2,743","1,772",233,211,26,10,241,18,739,"302,321","30,851","1,261","1,433","46,472","1,694","384,032",27,"26,544"
BALTIMORE CO.,"2,202","1,359",277,193,22,14,270,26,802,"307,754","142,558","1,436","3,158","91,922","4,503","551,331",33,"26,931"
CALVERT,239,142,133,23,2,9,73,4,244,"23,579","27,023",140,492,"13,408",383,"65,025",5,"4,253"
CAROLINE,170,55,34,4,1,1,31,2,73,"6,816","9,294",26,109,"3,858",117,"20,220",0,"1,050"
CARROLL,350,190,73,47,5,5,76,6,212,"32,263","63,407",265,924,"24,247",824,"121,930",3,"7,138"
CECIL,252,204,51,27,3,6,53,9,149,"21,406","27,989",159,436,"14,266",551,"64,807",1,"7,442"
CHARLES,464,282,49,143,1,2,72,6,273,"67,231","25,096",159,499,"18,238",500,"111,723",5,"7,736"
DORCHESTER,67,42,26,8,0,1,12,1,48,"9,929","8,142",26,116,"3,023",103,"21,339",2,"1,342"
FREDERICK,639,343,93,83,8,9,147,9,349,"63,040","66,681",446,"1,306","39,017",336,"170,826",7,"11,437"
GARRETT,48,29,17,6,0,0,9,0,32,"4,236","12,783",37,105,"2,491",132,"19,784",0,"1,314"
HARFORD,668,334,115,70,6,10,121,6,328,"64,333","77,545",391,"1,376","35,119","1,115","179,879",9,"9,406"
HOWARD,713,446,87,86,2,13,176,20,384,"106,347","55,840",503,"1,250","48,018","1,817","213,775",11,"14,022"
KENT,36,24,7,13,0,2,18,0,40,"5,998","4,726",29,77,"2,067",104,"13,001",0,860
MONTGOMERY,"3,702","2,411",282,487,33,33,"1,038",46,"1,919","381,727","114,150","1,619","3,049","143,315","4,680","648,540",65,"81,258"
PR. GEORGE'S,"3,292","1,865",241,129,25,12,261,40,708,"452,688","40,792","1,039","1,619","67,644","11,532","575,314",45,"43,078"
QUEEN ANNE'S,110,61,22,9,4,2,33,2,72,"10,707","17,817",74,257,"6,625",182,"35,662",1,"2,114"
ST. MARY'S,405,161,50,31,1,2,53,2,139,"25,675","29,527",133,550,"14,420",410,"70,715",4,"5,801"
SOMERSET,66,33,20,5,0,0,15,1,41,"5,883","5,245",20,60,"1,825",73,"13,106",0,"1,052"
TALBOT,127,73,20,20,2,2,50,3,97,"10,120","11,618",47,160,"4,872",187,"27,004",6,"1,451"
WASHINGTON,787,200,50,23,5,3,55,0,136,"32,102","42,487",259,701,"19,402",481,"95,432",8,"8,968"
WICOMICO,287,122,30,24,3,1,25,6,89,"26,526","22,811",142,413,"11,029",435,"61,356",5,"4,064"
WORCESTER,146,89,70,8,1,1,35,4,119,"14,055","16,745",82,249,"6,968",291,"38,390",0,"2,333"
TOTAL,"19,143","11,109","2,219","1,787",162,158,"3,184",226,"7,736","2,149,873","1,009,765","9,276","21,409","709,411","31,996","3,931,730",283,"293,322"
