COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,346,28,19,7,0,0,8,3,37,"13,800","21,314",138,287,"7,169",300,"43,008",286,"3,036"
ANNE ARUNDEL,"1,840",460,91,98,2,5,115,10,321,"160,652","134,693",837,"2,754","83,406","1,243","383,585","7,274","21,162"
BALTIMORE CITY,"4,410",688,86,61,9,2,85,12,255,"300,438","30,819","1,262","1,412","45,798","1,656","381,385","3,423","27,452"
BALTIMORE CO.,"4,638",817,162,125,3,10,119,15,434,"306,746","142,293","1,453","3,120","91,330","4,472","549,414","6,329","27,802"
CALVERT,400,81,46,15,0,5,34,5,105,"23,634","26,646",138,490,"13,329",389,"64,626","3,705","4,348"
CAROLINE,74,23,12,4,0,0,9,0,25,"6,835","9,175",27,109,"3,827",116,"20,089",152,"1,085"
CARROLL,603,105,21,31,0,3,27,2,84,"32,175","63,151",266,909,"24,132",824,"121,457",905,"7,228"
CECIL,416,96,38,13,0,2,23,3,79,"21,288","27,671",157,430,"14,108",560,"64,214",577,"7,564"
CHARLES,803,155,30,43,1,2,25,3,104,"66,546","25,159",159,486,"18,073",494,"110,917",806,"7,904"
DORCHESTER,234,27,6,4,1,2,7,0,20,"9,948","8,084",25,116,"2,995",102,"21,270",106,"1,376"
FREDERICK,"1,199",218,45,47,5,3,61,3,164,"62,515","66,275",450,"1,286","38,697",328,"169,551","4,615","11,637"
GARRETT,116,14,3,3,0,1,4,0,11,"4,243","12,699",37,101,"2,470",132,"19,682",107,"1,341"
HARFORD,"1,307",225,64,37,2,2,40,8,153,"64,127","77,292",393,"1,376","34,926","1,109","179,223",975,"9,551"
HOWARD,"1,163",238,51,51,6,5,64,5,182,"105,567","55,746",503,"1,247","47,593","1,827","212,483","1,065","14,279"
KENT,69,13,5,3,0,1,5,1,15,"5,962","4,708",28,76,"2,061",104,"12,939",67,874
MONTGOMERY,"5,328","1,009",153,178,9,9,279,33,661,"377,811","114,210","1,644","3,008","142,806","4,633","644,112","6,870","82,673"
PR. GEORGE'S,"5,047",919,158,71,7,7,93,14,350,"450,125","40,762","1,053","1,601","66,708","11,538","571,787","10,224","43,829"
QUEEN ANNE'S,197,54,12,8,1,0,13,0,34,"10,666","17,721",79,251,"6,600",178,"35,495",174,"2,160"
ST. MARY'S,550,80,21,15,0,1,13,2,52,"25,538","29,287",133,533,"14,272",411,"70,174",548,"5,935"
SOMERSET,98,23,11,3,0,0,6,0,20,"5,876","5,169",19,58,"1,812",73,"13,007",38,"1,077"
TALBOT,165,29,5,11,2,0,18,1,37,"10,004","11,583",46,157,"4,882",187,"26,859",114,"1,492"
WASHINGTON,891,174,37,14,2,4,34,1,92,"31,911","42,306",258,690,"19,215",465,"94,845",639,"9,122"
WICOMICO,582,78,18,16,0,0,12,0,46,"26,410","22,752",143,410,"10,944",438,"61,097",719,"4,165"
WORCESTER,273,45,29,13,1,1,30,2,76,"14,076","16,512",84,245,"6,953",295,"38,165",249,"2,404"
TOTAL,"30,749","5,599","1,123",871,51,65,"1,124",123,"3,357","2,136,893","1,006,027","9,332","21,152","704,106","31,874","3,909,384","49,967","299,496"
