COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,298,140,25,17,1,0,0,1,21,5,70,"16,688","19,409",123,1,2,82,"4,686",484,"41,475",38,"2,733"
ANNE ARUNDEL,"3,008","2,712",215,289,6,0,4,3,388,20,925,"142,182","119,429",842,12,258,833,"57,062",109,"320,727",389,"27,095"
BALTIMORE CITY,"5,957","3,715",249,321,18,0,0,4,560,36,"1,188","277,731","32,399","1,474",3,96,514,"36,331","1,432","349,980",249,"16,300"
BALTIMORE CO.,"4,896","4,158",453,344,9,0,1,15,562,59,"1,443","288,505","130,036","1,348",5,233,"1,105","59,461","6,287","486,980",938,"20,391"
CALVERT,231,206,32,29,1,0,0,1,52,11,126,"22,359","21,796",120,1,15,114,"8,758",582,"53,745",67,"3,925"
CAROLINE,84,102,14,10,0,0,0,0,11,33,68,"7,189","6,931",30,0,37,50,"2,639",129,"17,005",27,"1,324"
CARROLL,432,459,74,78,2,0,0,2,104,2,262,"33,872","53,244",235,0,92,211,"15,318",28,"103,000",27,"5,516"
CECIL,295,103,43,37,0,0,0,1,46,8,135,"24,014","22,019",125,1,14,146,"10,119",832,"57,270",2,930
CHARLES,612,518,45,93,2,0,9,2,121,263,535,"45,365","25,238",121,2,201,139,"12,024",685,"83,775",115,"6,102"
DORCHESTER,107,78,19,20,1,0,1,1,8,4,54,"9,777","6,656",22,0,10,28,"1,980",183,"18,656",62,"1,403"
FREDERICK,"1,181",648,97,107,3,0,0,5,178,5,395,"49,487","55,790",345,4,87,296,"23,493",45,"129,547",198,"11,045"
GARRETT,79,22,7,8,0,0,0,2,7,2,26,"5,084","11,038",31,1,5,33,"1,511",211,"17,914",0,"1,003"
HARFORD,"1,291","1,526",114,78,4,0,1,4,122,31,354,"62,558","61,201",262,5,68,352,"19,915",731,"145,092",963,"10,067"
HOWARD,"1,373",987,102,133,3,0,2,1,280,41,562,"81,689","54,474",438,4,107,382,"30,349","2,001","169,444",537,"16,775"
KENT,54,79,6,11,0,0,0,0,7,1,25,"6,209","4,417",43,0,7,22,"1,562",138,"12,398",146,219
MONTGOMERY,"5,930","4,884",438,410,34,0,8,14,"1,580",142,"2,626","301,940","122,621","1,347",7,834,974,"105,979","2,640","536,342",178,"50,296"
PR. GEORGE'S,"4,710","2,575",207,233,5,6,0,9,549,383,"1,392","358,679","46,414",625,5,126,531,"32,157","28,156","466,693",96,"13,010"
QUEEN ANNE'S,121,76,25,9,0,0,0,0,17,1,52,"11,005","13,399",60,1,15,79,"3,676",234,"28,469",145,"2,072"
ST. MARY'S,377,124,25,29,2,0,0,4,42,1,103,"23,807","21,844",144,1,10,124,"9,016",609,"55,555",7,"3,803"
SOMERSET,50,41,9,6,1,0,0,0,9,3,28,"6,871","3,976",11,1,4,14,"1,373",111,"12,361",32,727
TALBOT,167,82,14,17,0,0,0,1,19,4,55,"9,702","10,612",51,0,8,60,"3,180",306,"23,919",44,"3,930"
WASHINGTON,859,466,70,69,3,0,4,2,95,27,270,"32,079","37,280",225,2,43,199,"12,673","1,056","83,557",9,"6,642"
WICOMICO,349,253,43,35,2,0,0,3,42,4,129,"23,754","19,019",101,1,17,111,"7,357",622,"50,982",56,"4,238"
WORCESTER,204,97,22,16,1,0,0,0,28,5,72,"15,110","12,927",70,0,3,81,"4,781",486,"33,458",41,"3,275"
TOTAL,"32,665","24,051","2,348","2,399",98,6,30,75,"4,848","1,091","10,895","1,855,656","912,169","8,193",57,"2,292","6,480","465,400","48,097","3,298,344","4,366","212,821"
