"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","440","36","35","17","0","0","0","0","10","8","70","12403","22556","75","222","35","21","7988","407","43,707","411","2410"
"ANNE ARUNDEL","4773","1299","244","253","4","6","1","0","125","42","675","175352","131971","595","2085","245","118","94008","2851","407,225","5044","24348"
"BALTIMORE CITY","6366","1946","235","93","4","4","0","0","87","29","452","307215","29004","832","1008","395","156","53819","3652","396,081","4301","20913"
"BALTIMORE CO.","7350","2895","369","246","4","14","0","1","127","63","824","313859","140010","891","2358","395","135","103752","6093","567,493","5555","30003"
"CALVERT","764","208","49","42","1","2","0","0","22","6","122","24204","27484","87","365","34","20","14795","574","67,563","569","4894"
"CAROLINE","179","46","10","9","0","1","0","0","6","2","28","6539","10210","33","90","23","2","4409","173","21,479","21","975"
"CARROLL","1181","288","66","105","0","0","1","1","28","12","213","33866","63656","173","731","52","35","27446","1100","127,059","3224","5831"
"CECIL","705","190","44","37","0","2","0","0","18","4","105","21276","31252","102","392","58","12","15884","741","69,717","881","4417"
"CHARLES","1451","367","70","40","1","0","1","1","19","9","141","73404","23987","115","369","97","20","20810","823","119,625","997","7675"
"DORCHESTER","270","70","23","10","0","0","0","1","7","0","41","9751","8801","20","97","19","4","3522","174","22,388","211","864"
"FREDERICK","2666","702","101","114","1","5","1","0","64","8","294","74282","67905","296","1045","109","56","45845","918","190,456","3820","10531"
"GARRETT","162","37","13","4","0","0","0","0","0","2","19","3877","13484","25","90","16","5","2681","161","20,339","107","958"
"HARFORD","2301","507","162","95","1","5","0","0","61","21","345","66068","79331","235","1070","90","57","39693","1593","188,137","1166","10578"
"HOWARD","2592","907","108","111","0","5","0","0","57","24","305","120458","50681","320","868","77","51","54509","2026","228,990","1500","11106"
"KENT","140","34","4","6","0","1","0","0","5","1","17","5930","5055","19","50","11","3","2449","118","13,635","86","708"
"MONTGOMERY","7615","2959","333","292","4","14","0","2","188","65","898","411743","101116","1031","2115","281","188","153564","5845","675,883","10260","62146"
"PR. GEORGE'S","6847","2460","328","121","5","4","2","0","92","85","637","470145","38258","715","1225","335","147","80684","11100","602,609","22424","30085"
"QUEEN ANNE'S","500","78","9","20","1","0","0","0","6","1","37","11133","19102","42","212","13","6","7658","305","38,471","211","1484"
"ST. MARY'S","922","225","46","37","0","0","0","1","18","6","108","26442","30720","106","433","44","17","16320","621","74,703","872","6027"
"SOMERSET","173","42","8","4","0","0","0","0","1","2","15","5663","5818","24","57","10","5","2209","99","13,885","131","392"
"TALBOT","221","83","16","20","0","0","0","0","7","4","47","10861","11693","31","130","14","3","5443","271","28,446","204","1096"
"WASHINGTON","1164","320","76","53","0","1","1","0","35","9","175","32013","43807","141","581","72","28","21106","860","98,608","921","8783"
"WICOMICO","877","208","38","19","3","0","2","0","13","10","85","27229","23693","89","316","63","15","12862","664","64,931","526","3587"
"WORCESTER","563","116","15","14","1","1","0","0","7","4","42","14028","18404","52","194","14","6","7968","489","41,155","444","2477"
"TOTAL","50,222","16,023","2,402","1,762","30","65","9","7","1,003","417","5,695","2,257,741","997,998","6,049","16,103","2,502","1,110","799,424","41,658","4,122,585","63,886","252,288"
