"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","128","48","7","10","0","0","0","4","4","25","15,910","19,465","123","14","123","5,303","421","41,359","702","2,640"
"ANNE ARUNDEL","988","365","75","63","1","1","4","47","3","194","141,478","118,838","799","92","1,149","61,609","160","324,125","81","27,077"
"BALTIMORE CITY","1,217","562","64","57","10","0","2","80","3","216","291,146","32,176","1,411","45","732","41,417","1,409","368,336","2,082","16,109"
"BALTIMORE CO.","1,427","809","121","76","1","0","2","63","11","274","279,339","124,989","1,291","97","1,539","64,167","5,291","476,713","638","51,231"
"CALVERT","94","62","11","8","1","0","0","9","0","29","22,464","21,993","117","14","159","9,814","494","55,055","9","4,602"
"CAROLINE","51","20","5","2","0","0","0","1","0","8","7,092","7,333","33","8","51","2,850","110","17,477","17","1,245"
"CARROLL","244","103","23","12","0","0","1","15","1","52","32,694","54,341","250","63","327","16,828","776","105,279","39","6,910"
"CECIL","159","87","16","10","1","0","0","13","4","44","23,353","22,336","134","32","199","11,101","813","57,968","57","8,104"
"CHARLES","155","81","12","9","0","1","0","14","2","38","50,875","24,247","135","22","197","13,703","550","89,729","2","8,950"
"DORCHESTER","34","17","7","1","0","1","0","1","0","10","9,932","6,853","22","3","41","2,152","140","19,143","51","1,163"
"FREDERICK","418","265","27","25","0","1","2","20","0","75","51,215","57,222","367","38","478","26,882","52","136,254","65","8,481"
"GARRETT","32","14","5","2","0","0","0","3","0","10","4,808","11,285","38","5","42","1,809","181","18,168","2","1,137"
"HARFORD","999","224","27","21","0","0","0","21","3","72","61,679","63,671","294","41","557","23,240","752","150,234","1,341","7,628"
"HOWARD","420","270","44","34","2","1","1","34","7","123","85,325","54,663","444","47","607","34,896","1,817","177,799","56","19,431"
"KENT","27","148","2","2","0","0","0","12","1","17","5,922","4,380","36","3","38","1,555","133","12,067","107","1,084"
"MONTGOMERY","1,383","742","140","76","3","0","5","116","0","340","321,596","120,416","1,432","77","1,501","123,581","688","569,291","2,573","35,555"
"PR. GEORGE'S","1,054","1,075","69","30","1","0","2","45","31","178","409,309","46,515","741","71","772","45,810","21,868","525,086","79","8,293"
"QUEEN ANNE'S","94","12","0","4","0","0","0","1","0","5","11,048","14,311","59","8","92","4,499","197","30,214","0","1,301"
"ST. MARY'S","202","76","19","8","0","0","2","4","4","37","24,009","23,419","136","13","195","10,305","490","58,567","114","5,795"
"SOMERSET","19","16","2","5","0","0","0","1","0","8","6,978","4,358","20","4","30","1,546","117","13,053","23","744"
"TALBOT","28","38","1","1","0","0","1","2","1","6","9,835","10,835","52","8","82","3,584","300","24,696","24","3,032"
"WASHINGTON","363","172","21","15","0","0","2","16","1","55","31,029","37,056","230","30","254","14,603","102","83,304","26","7,468"
"WICOMICO","180","60","10","5","0","0","1","4","2","22","25,021","20,028","116","14","166","8,335","672","54,352","166","3,663"
"WORCESTER","62","58","7","4","0","0","0","6","0","17","15,062","13,662","67","5","100","5,241","403","34,540","55","3,226"
"TOTAL","9,778","5,324","715","480","20","5","25","532","78","1,855","1,937,119","914,392","8,347","754","9,431","534,830","37,936","3,442,809","8,309","234,869"
