COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,226,97,25,15,0,1,0,17,2,60,"16,623","19,932",130,12,125,"5,386",449,"42,657",73,"2,847"
ANNE ARUNDEL,"1,164",498,117,109,2,1,1,82,0,312,"146,807","122,065",854,81,"1,161","63,324",150,"334,442",378,"25,936"
BALTIMORE CITY,"7,126","1,149",137,106,9,1,5,138,10,406,"291,282","32,104","1,401",31,705,"40,467","1,331","367,321",681,"20,537"
BALTIMORE CO.,"3,366","1,686",341,222,6,1,6,229,49,854,"292,330","129,559","1,338",90,"1,551","65,696","5,586","496,150","6,122","32,897"
CALVERT,145,70,18,15,0,0,1,15,1,50,"23,302","22,671",117,13,155,"10,076",521,"56,855",197,"3,550"
CAROLINE,23,20,2,2,0,0,0,3,0,7,"7,386","7,511",35,6,59,"2,966",118,"18,081",193,"1,171"
CARROLL,243,154,47,31,0,0,1,28,2,109,"33,226","54,698",257,59,324,"16,596",787,"105,947",158,"6,418"
CECIL,150,62,32,8,0,0,0,11,1,52,"24,580","23,040",144,31,211,"11,396",865,"60,267",9,"5,916"
CHARLES,162,81,13,11,0,0,0,15,1,40,"51,884","25,027",137,22,199,"13,950",575,"91,794",1,"6,871"
DORCHESTER,78,21,4,4,0,0,0,10,0,18,"10,381","7,003",24,3,42,"2,246",148,"19,847",173,"1,108"
FREDERICK,"2,932",144,34,25,1,0,1,24,9,94,"52,200","58,165",363,38,472,"26,917",54,"138,209","2,435","11,197"
GARRETT,135,11,2,2,1,0,0,2,0,7,"4,953","11,364",41,3,45,"1,798",187,"18,391",253,"1,417"
HARFORD,740,270,46,21,0,0,0,16,2,85,"62,292","63,720",279,39,530,"22,717",757,"150,334",848,"8,269"
HOWARD,"1,795",495,122,100,4,0,3,78,7,314,"86,675","55,372",447,45,586,"34,642","1,820","179,587",117,"14,808"
KENT,53,17,2,1,0,0,0,1,0,4,"5,956","4,361",37,3,34,"1,535",133,"12,059","1,352","1,173"
MONTGOMERY,"3,281","1,925",435,328,11,5,4,357,5,"1,145","326,751","123,915","1,448",64,"1,403","124,001",576,"578,158","1,503","51,398"
PR. GEORGE'S,"1,417",832,103,56,1,0,0,78,100,338,"406,436","46,628",722,57,737,"43,690","22,409","520,679","8,788","6,294"
QUEEN ANNE'S,9,4,2,2,0,0,0,1,0,5,"11,117","14,081",62,8,94,"4,303",207,"29,872",0,"2,091"
ST. MARY'S,251,103,11,6,0,0,0,16,0,33,"24,755","23,679",151,15,196,"10,342",524,"59,662",1,"4,874"
SOMERSET,31,5,1,2,0,0,0,1,0,4,"7,186","4,357",20,3,29,"1,519",120,"13,234",244,885
TALBOT,427,91,12,22,0,0,1,9,1,45,"10,186","11,080",52,7,84,"3,636",318,"25,363",686,"3,072"
WASHINGTON,477,161,91,59,1,0,3,50,1,205,"31,504","37,309",224,27,243,"14,571",90,"83,968",18,"8,230"
WICOMICO,266,134,30,12,1,0,2,11,2,58,"25,546","19,998",115,9,155,"8,259",671,"54,753",49,"4,016"
WORCESTER,238,43,16,8,1,0,0,4,3,32,"15,797","14,072",69,5,111,"5,403",433,"35,890",2,"2,765"
TOTAL,"24,735","8,073","1,643","1,167",38,9,28,"1,196",196,"4,277","1,969,155","931,711","8,467",671,"9,251","535,436","38,829","3,493,520","24,281","227,740"
